host,level,size_lower_bytes,size_upper_bytes,line_size,associativity,derived_sets,hit_latency_median,next_level_latency_median,incremental_difference,unit,sharing_scope,inclusion_exclusion,status
sunbird,candidate residency transition 1,32768,40960,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,4.3046875,6.1796875,1.875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
sunbird,candidate residency transition 2,114688,122880,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,10.125,11.34375,1.21875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 3,212992,229376,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,11.8515625,13.6875,1.8359375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 4,245760,262144,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,14.34375,16.796875,2.453125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 5,294912,327680,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,16.4765625,21.34375,4.8671875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 6,4194304,8388608,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,49.671875,57.2578125,7.5859375,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 7,12582912,13631488,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,67.8046875,76.71875,8.9140625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 8,14680064,15728640,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,60.8984375,87.390625,26.4921875,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 9,16777216,18874368,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,95.234375,116.6796875,21.4453125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 10,29360128,31457280,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,79.9140625,164.015625,84.1015625,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
sunbird,candidate residency transition 11,67108864,134217728,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,207.3203125,235.0703125,27.75,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
thunderbird,candidate residency transition 1,65536,81920,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,0.03515625,0.0517578125,0.0166015625,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
thunderbird,candidate residency transition 2,90112,98304,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,0.056640625,0.064453125,0.0078125,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
thunderbird,candidate residency transition 3,524288,589824,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,0.125,0.146484375,0.021484375,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
thunderbird,candidate residency transition 4,786432,851968,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,0.1328125,0.169921875,0.037109375,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
thunderbird,candidate residency transition 5,917504,983040,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,0.17578125,0.2177734375,0.0419921875,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
thunderbird,candidate residency transition 6,1048576,1572864,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,0.2255859375,0.3876953125,0.162109375,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
thunderbird,candidate residency transition 7,16777216,18874368,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,1.04296875,1.2373046875,0.1943359375,CNTVCT_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,candidate effective transition; mapping to a cache level is uncertain
skylark,candidate residency transition 1,32768,40960,unresolved; spatial candidates in host JSON,unresolved; conflict candidates in host JSON,unresolved: independent C/B/A unavailable,3.1875,4.5,1.3125,TSC_ticks/access,effective domain visible to the pinned core; exact sharing domain unverified in Phase I,uncertain,broad candidate transition; no exact capacity claimed
