host,group,mode,size_kib,unit,median_change_percent,percentile_bands_overlap,coarse_mean,refinement_mean,coarse_median,refinement_median,coarse_stddev,refinement_stddev,coarse_q1,refinement_q1,coarse_q3,refinement_q3,coarse_p5,refinement_p5,coarse_p95,refinement_p95,coarse_outliers,refinement_outliers,coarse_zeros,refinement_zeros
sunbird,small,random,16.0,TSC ticks/access,0.0,True,4.0480074655761715,4.053256421875,4.017578125,4.017578125,0.4785739857916437,0.4718983702552679,4.0166015625,4.0166015625,4.017578125,4.017578125,4.015625,4.015625,4.01953125,4.18408203125,51596,79621,0,0
sunbird,small,random,32.0,TSC ticks/access,0.07235890014472002,True,4.0902881374511715,4.101273259765625,4.048828125,4.0517578125,0.5339923788035463,0.5496556548958722,4.041015625,4.0439453125,4.0625,4.0625,4.033203125,4.0361328125,4.0830078125,4.080078125,27689,31117,0,0
sunbird,small,random,64.0,TSC ticks/access,0.04686035613870043,True,8.386148298583985,8.414340408447266,8.3359375,8.33984375,0.4077371323805467,1.3530166066103975,8.314453125,8.3232421875,8.3466796875,8.3505859375,8.30859375,8.3125,8.3603515625,8.3720703125,29757,46905,0,0
sunbird,small,sequential,16.0,TSC ticks/access,0.0,True,4.045772877441406,4.040622646728516,4.017578125,4.017578125,0.8273969598244312,0.48151610004246265,4.0166015625,4.0166015625,4.017578125,4.017578125,4.015625,4.015625,4.0185546875,4.0205078125,34433,51780,0,0
sunbird,small,sequential,32.0,TSC ticks/access,0.02413709872073344,True,4.072999167236328,4.0717194133300785,4.0458984375,4.046875,0.42422750552647787,0.5014973985159997,4.0439453125,4.0400390625,4.0693359375,4.0615234375,4.0205078125,4.01953125,4.0732421875,4.0693359375,24930,25961,0,0
sunbird,small,sequential,64.0,TSC ticks/access,0.12147716229349292,False,4.046065887451172,4.048717913574219,4.01953125,4.0244140625,0.2560905114688578,0.44637092749542717,4.0185546875,4.0234375,4.0205078125,4.025390625,4.0166015625,4.0224609375,4.021484375,4.0263671875,33158,28936,0,0
sunbird,middle,random,128.0,TSC ticks/access,0.01912777352717221,True,10.326735848144532,10.319717959472657,10.2109375,10.212890625,0.887611122137597,0.9158049070761624,10.2021484375,10.1962890625,10.2861328125,10.2939453125,10.185546875,10.1767578125,10.2998046875,10.3046875,33979,33724,0,0
sunbird,middle,random,256.0,TSC ticks/access,26.686775678679165,False,12.646875313476562,15.939396301513671,12.302734375,15.5859375,1.9180100732185388,2.1544342175534092,12.234375,15.4609375,12.384765625,15.7353515625,12.1416015625,15.306640625,14.6865234375,17.91796875,109294,106512,0,0
sunbird,middle,random,512.0,TSC ticks/access,0.08953085830250007,True,33.055913283935546,33.11497994702148,32.72265625,32.751953125,1.9733913097760156,2.2680855361461316,32.5791015625,32.6015625,32.9169921875,33.0068359375,32.173828125,32.388623046875004,35.0380859375,35.109375,123289,98524,0,0
sunbird,middle,random,1024.0,TSC ticks/access,0.022963167080014557,True,42.77443011425781,42.77295939306641,42.52734375,42.537109375,1.678509736777276,2.154513221223885,42.34375,42.337890625,42.69921875,42.697265625,42.12109375,42.0,44.658203125,44.66015625,101588,103152,0,0
