host,family,qualification,cpu,unit,parameters,record,raw_sha256,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,outliers
sunbird,capacity_matched,clean,8,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 16252928, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [15466496, 16252928], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923227, ""series"": ""matched-pair"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/0c3c06a318106153/attempt-1788877673128977992/run.json,50b8e0dca60433c9065529625f858a74806ba24636d1e85df7ed77dfbc329424,1000000,61.199045734375,2.6647753676545043,60.765625,60.171875,61.5234375,59.46875,63.4609375,58.1328125,796.375,47422
sunbird,capacity_matched,clean,7,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 28049408, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [27262976, 30408704], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923327, ""series"": ""matched-refinement"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/1e490d66588de9df/attempt-1788878309034879446/run.json,b526f9b8010c5d3df2e93849aef929db0ceec4cbe2473af28bbca153d5b7b2a4,1000000,79.049590625,11.718563814637484,76.734375,74.640625,79.5390625,72.21875,92.796875,66.9921875,673.125,74524
sunbird,capacity_matched,clean,7,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 27262976, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [27262976, 30408704], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923327, ""series"": ""matched-refinement"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/2bef576559f7b950/attempt-1788878230135737150/run.json,8a03e1ee642ad5aae0ee359f68a637cf24a8c230a2b8bdbb56c6e89fc867b3c2,1000000,77.5936494921875,13.735693050713426,74.890625,73.2265625,77.1328125,71.3046875,88.734375,66.71875,612.03125,77429
sunbird,capacity_matched,clean,8,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 15466496, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [15466496, 16252928], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923227, ""series"": ""matched-pair"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/325a0a66b41eea9f/attempt-1788877695983028915/run.json,c161f73d952d33f7a891b8d57afbc3a7de3f10e3e27c23ba006381f9b15cdde7,1000000,60.4712623984375,2.481179141541758,60.0859375,59.6015625,60.703125,59.0,62.3515625,57.8671875,752.40625,50133
sunbird,capacity_matched,clean,7,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 29622272, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [27262976, 30408704], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923327, ""series"": ""matched-refinement"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/346eafaf05623124/attempt-1788878204074646550/run.json,6eba9cff1987c50a02d3c65484ee38208a58af7f11a8b49342fa7f29057c5d33,1000000,83.9712505546875,5.745725008054867,82.921875,80.6484375,85.7734375,77.875,93.2421875,71.7109375,627.234375,48658
sunbird,capacity_matched,clean,8,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 15466496, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [14680064, 15466496], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923227, ""series"": ""matched-pair"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/45b325d71fb807f1/attempt-1788877626086011074/run.json,e0b8c31f10213e3bed63fe5273a98ac8594baf8e652a492b9ca8dcc3782a99cc,1000000,60.9597477578125,7.140215167429725,60.1640625,59.671875,60.8046875,59.0625,62.9453125,57.8359375,747.8203125,62040
sunbird,capacity_matched,clean,7,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 30408704, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [27262976, 30408704], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923327, ""series"": ""matched-refinement"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/4ef5eaceeb20b4de/attempt-1788878280810441895/run.json,1e24b5599b8fb29fb782fd418b8dcc2e804303a35edf747cdbaa8ef549b1ea75,1000000,94.207684171875,10.581660955774444,92.1953125,89.2890625,95.9453125,85.75,108.609375,75.625,665.4453125,64830
sunbird,capacity_matched,clean,7,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 30408704, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [27262976, 30408704], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923327, ""series"": ""matched-pair"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/5f822c6441325fe1/attempt-1788878149377987894/run.json,8ba48bffdc683ffc0781e190180f8380f0a5fc030beb3b5626f706ecbe05751b,1000000,103.7083743046875,12.359954539903223,101.2890625,97.921875,105.625,93.8515625,119.4140625,83.234375,1016.7578125,61013
sunbird,capacity_matched,clean,6,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 17039360, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [16252928, 17039360], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923227, ""series"": ""matched-pair"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/6ac5689165fffa19/attempt-1788877745714524406/run.json,d5bf8ce2011cbe7812a5e1897c5ee37b94f57290b64aeca8effaa734a89d08c9,1000000,67.501204296875,13.352613127737083,65.046875,64.0859375,66.4453125,63.03125,76.0390625,60.8828125,640.3046875,90791
sunbird,capacity_matched,clean,7,TSC_ticks/access,"{""address_list"": ""-"", ""align"": 0, ""batch"": 512, ""bytes"": 24117248, ""extra_args"": [0, ""base"", ""-"", -1], ""mode"": ""chase"", ""offset"": 0, ""order"": ""random"", ""page"": ""base"", ""repair_interval"": [20971520, 24117248], ""repair_repetition"": 0, ""samples"": 1000000, ""seed"": 5923327, ""series"": ""matched-pair"", ""stride"": 64}",machines/sunbird/uncertainty-v1/capacity_matched/6f1ff135365c98cb/attempt-1788878100510969971/run.json,9c56c971127b6779d58925b8a0499d4bf45fd04b70c651d0283558f54f487367,1000000,68.4636058984375,4.5472872667117805,67.546875,66.5703125,68.8984375,65.46875,73.2421875,63.2421875,566.5546875,61857
