host,stride,class_index,model_class_count,class_working_set_range,class_median_range,representative_bytes,cpu,unit,source,previous_class_same_cpu,incremental_median_penalty,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,outliers,outlier_rule,zero_samples
sunbird,8,1,5,"[1024, 32768]","[4.1328125, 4.296875]",4096,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/fbbff4de05c22abc/attempt-1788861058554425428/run.json,,,1000000,4.1447154921875,0.34710424943189083,4.1328125,4.1328125,4.140625,4.125,4.140625,4.125,30.8515625,1005,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,8,2,5,"[65536, 262144]","[8.640625, 11.4296875]",131072,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/3ade86556c0224c1/attempt-1788861202446405871/run.json,True,6.234375,1000000,10.4180755390625,0.6575831185884217,10.3671875,10.28125,10.4765625,10.1953125,10.6015625,10.1328125,312.3125,2846,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,8,3,5,"[524288, 1048576]","[29.1640625, 36.796875]",524288,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/eb45718f67b19dd5/attempt-1788861231992936021/run.json,True,18.796875,1000000,29.2383553046875,1.4267501522441746,29.1640625,28.5703125,29.6953125,27.9140625,30.6796875,26.4453125,334.9453125,9124,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,8,4,5,"[2097152, 16777216]","[40.5, 61.640625]",4194304,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/21a64f78b9183ef8/attempt-1788861213069484962/run.json,True,13.15625,1000000,42.419768484375,1.4640658382438052,42.3203125,41.9609375,42.640625,41.5390625,43.0859375,40.546875,395.1875,11796,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,8,5,5,"[33554432, 268435456]","[144.8515625, 203.6640625]",67108864,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/70d1a1662f4691e8/attempt-1788861062168356111/run.json,True,132.828125,1000000,175.5196073671875,4.609288172434059,175.1484375,172.65625,177.703125,169.171875,182.6875,159.6171875,607.625,37963,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,64,1,5,"[1024, 32768]","[4.1328125, 4.78125]",4096,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/3ce59bbd207d9f88/attempt-1788861506913165498/run.json,,,1000000,4.1449843359375,0.355512804562587,4.1328125,4.1328125,4.140625,4.125,4.140625,4.125,25.6796875,1074,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,64,2,5,"[65536, 262144]","[12.125, 12.8984375]",131072,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/e05f91aec0a120e8/attempt-1788861578622312636/run.json,True,8.0,1000000,12.16592675,0.7066953043838891,12.1328125,12.1328125,12.1328125,12.125,12.15625,12.109375,373.421875,389608,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,64,3,5,"[524288, 8388608]","[44.0625, 44.09375]",2097152,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/c09142984add42be/attempt-1788861774521181795/run.json,True,31.9296875,1000000,44.206302265625,1.427375641235678,44.0625,43.8671875,44.2578125,43.59375,44.6796875,43.0703125,356.1796875,49883,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,64,4,5,"[16777216, 33554432]","[110.5703125, 203.7265625]",16777216,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/c29e0a8fac95b304/attempt-1788861513807604637/run.json,True,66.5078125,1000000,112.2182209765625,8.24018847478049,110.5703125,107.171875,114.8203125,102.71875,128.6796875,90.8515625,624.4140625,64480,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
sunbird,64,5,5,"[67108864, 268435456]","[204.0859375, 210.96875]",134217728,7,TSC_ticks/access,machines/sunbird/followup-v1/capacity_control/a7eb72d141407117/attempt-1788861665372458840/run.json,True,98.0703125,1000000,209.2173629140625,4.187925734760392,208.640625,207.0625,210.4140625,204.953125,214.140625,199.953125,1084.65625,47301,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,8,1,5,"[1024, 65536]","[0.0341796875, 0.03515625]",8192,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/6f1cdcd280f9c02e/attempt-1788861353197870572/run.json,,,1000000,0.03429000390625,0.0038316841277414877,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.03515625,0.0341796875,3.7646484375,102356,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,8,2,5,"[131072, 1048576]","[0.07421875, 0.1064453125]",262144,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/2cbd72de5f317b8d/attempt-1788861340090077346/run.json,True,0.0576171875,1000000,0.0924178876953125,0.005289249470209879,0.091796875,0.091796875,0.0927734375,0.0908203125,0.0947265625,0.0888671875,3.5947265625,123107,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,8,3,5,"[2097152, 4194304]","[0.47265625, 0.6357421875]",2097152,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/aaf3b5a2265b8025/attempt-1788861449104685192/run.json,True,0.380859375,1000000,0.473290701171875,0.015582555421552298,0.47265625,0.4658203125,0.48046875,0.45703125,0.490234375,0.4404296875,4.111328125,8017,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,8,4,5,"[8388608, 16777216]","[0.712890625, 0.7880859375]",8388608,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/90c0a6752e334b98/attempt-1788861299426857615/run.json,True,0.240234375,1000000,0.7133964111328125,0.0158714838665073,0.712890625,0.7080078125,0.7177734375,0.701171875,0.724609375,0.69140625,4.4775390625,10471,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,8,5,5,"[33554432, 268435456]","[1.654296875, 2.26953125]",67108864,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/ca297ab800d5e121/attempt-1788861101633794583/run.json,True,1.265625,1000000,1.9798883056640626,0.04209964987633075,1.978515625,1.9560546875,2.001953125,1.923828125,2.0390625,1.826171875,5.6953125,11273,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,64,1,5,"[1024, 65536]","[0.0341796875, 0.037109375]",8192,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/797963775ebcf0b8/attempt-1788861802809858144/run.json,,,1000000,0.034319037109375,0.0035492257726338614,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.03515625,0.0341796875,3.5205078125,133213,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,64,2,5,"[131072, 1048576]","[0.11328125, 0.146484375]",262144,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/c63b549c2e93010f/attempt-1788861691664076272/run.json,True,0.0791015625,1000000,0.1134740244140625,0.004898643185868331,0.11328125,0.11328125,0.11328125,0.11328125,0.1142578125,0.1123046875,3.5322265625,172802,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,64,3,5,"[2097152, 16777216]","[0.7802734375, 0.802734375]",4194304,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/5e4c86839c61bc66/attempt-1788861849315290751/run.json,True,0.6689453125,1000000,0.782517951171875,0.014873852281934413,0.7822265625,0.7802734375,0.7841796875,0.77734375,0.7861328125,0.7744140625,4.408203125,12365,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,64,4,5,"[33554432, 67108864]","[1.724609375, 2.0419921875]",33554432,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/e88c087891ef6081/attempt-1788862155431146924/run.json,True,0.9423828125,1000000,1.7271563017578124,0.04415242300633343,1.724609375,1.7021484375,1.748046875,1.6728515625,1.7861328125,1.5830078125,5.7509765625,15443,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
thunderbird,64,5,5,"[134217728, 268435456]","[2.2158203125, 2.3173828125]",134217728,0,CNTVCT_ticks/access,machines/thunderbird/followup-v1/capacity_control/b0b8e8604d212f9f/attempt-1788862053656129650/run.json,True,0.4912109375,1000000,2.21746873046875,0.04251045368255168,2.2158203125,2.193359375,2.2392578125,2.1630859375,2.2763671875,2.0673828125,6.0546875,12264,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,8,1,5,"[1024, 32768]","[3.046875, 3.1875]",4096,0,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/fbbff4de05c22abc/attempt-1788860324165689891/run.json,,,1000000,3.07062721875,1.3679153227630383,3.046875,3.046875,3.046875,3.046875,3.09375,3.046875,964.359375,249274,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,8,2,5,"[65536, 524288]","[6.28125, 8.671875]",131072,0,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/3ade86556c0224c1/attempt-1788860468177961826/run.json,True,4.59375,1000000,7.674642234375,1.6797047237499478,7.640625,7.59375,7.734375,7.453125,7.828125,7.171875,956.109375,16195,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,8,3,5,"[1048576, 16777216]","[18.984375, 28.734375]",4194304,0,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/21a64f78b9183ef8/attempt-1788860478407219607/run.json,True,18.328125,1000000,26.05888209375,6.9389972815830205,25.96875,25.734375,26.15625,25.453125,26.484375,24.65625,6195.84375,22631,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,8,4,5,"[33554432, 67108864]","[158.671875, 218.109375]",33554432,1,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/960ca831e3f1d88e/attempt-1788860559532111656/run.json,False,,1000000,158.888306625,6.514619851536855,158.671875,154.5,163.03125,148.6875,169.828125,129.9375,544.59375,10445,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,8,5,5,"[134217728, 268435456]","[247.875, 264.890625]",134217728,0,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/e945db151abab0b8/attempt-1788860382442094525/run.json,False,,1000000,248.255148515625,17.991176083685534,247.875,244.875,250.96875,240.515625,256.453125,226.3125,6531.515625,22139,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,64,1,4,"[1024, 32768]","[3.046875, 3.65625]",4096,1,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/3ce59bbd207d9f88/attempt-1788860748411121542/run.json,,,1000000,3.06364996875,0.20353415823477908,3.046875,3.046875,3.046875,3.046875,3.09375,3.046875,34.875,188263,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,64,2,4,"[65536, 524288]","[7.21875, 9.09375]",131072,1,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/e05f91aec0a120e8/attempt-1788860788660018609/run.json,True,5.296875,1000000,8.356172859375,0.38405276507311265,8.34375,8.25,8.390625,8.15625,8.484375,7.921875,41.859375,10370,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,64,3,4,"[1048576, 16777216]","[23.296875, 29.953125]",4194304,1,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/6ea2357076fac978/attempt-1788860767894490422/run.json,True,18.65625,1000000,27.070641328125,0.7803271717191348,27.0,26.859375,27.1875,26.625,27.375,26.15625,135.796875,13856,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
skylark,64,4,4,"[33554432, 268435456]","[215.0625, 271.828125]",67108864,1,TSC_ticks/access,machines/skylark/followup-v1/capacity_control/16238961fa322996/attempt-1788860689173786305/run.json,True,218.671875,1000000,245.835638859375,4.931346720820529,245.671875,242.578125,248.8125,238.265625,253.921875,225.375,719.109375,16040,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,8,1,5,"[1024, 32768]","[5.25, 5.25]",4096,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/c09d93d285894e0f/attempt-1788862708557544963/run.json,,,1000000,5.2588746328125,0.48288913038682313,5.25,5.2421875,5.2578125,5.2265625,5.265625,5.1953125,83.2578125,5597,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,8,2,5,"[65536, 131072]","[8.6015625, 12.6328125]",65536,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/ec7dbe3dff88fabe/attempt-1788862905458491168/run.json,True,3.3515625,1000000,8.648891125,0.7405906794518184,8.6015625,8.4140625,8.8125,8.1796875,9.15625,7.5390625,78.671875,9147,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,8,3,5,"[262144, 2097152]","[14.453125, 16.1953125]",524288,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/eba5110c7b7a3e95/attempt-1788862881662117019/run.json,True,6.78125,1000000,15.4226418671875,1.084506597852942,15.3828125,15.2578125,15.5078125,15.0859375,15.6875,14.8359375,644.34375,5273,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,8,4,5,"[4194304, 16777216]","[44.9921875, 63.6796875]",8388608,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/2954d1eb029a24d0/attempt-1788862798204307052/run.json,True,41.6171875,1000000,57.2522792734375,85.24852574318872,57.0,56.015625,58.0078125,54.609375,59.4765625,50.59375,85263.34375,14191,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,8,5,5,"[33554432, 134217728]","[110.5390625, 225.9453125]",67108864,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/4c48a7e19ecb2469/attempt-1788862715514219858/run.json,True,128.9375,1000000,186.7655578984375,117.78107950025935,185.9375,181.4140625,190.65625,175.046875,198.8125,155.890625,47132.2109375,24440,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,64,1,4,"[1024, 32768]","[5.25, 5.25]",4096,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/dc71c055839ed13a/attempt-1788863132291095014/run.json,,,1000000,5.258905828125,0.48587672845159185,5.25,5.2421875,5.2578125,5.2265625,5.265625,5.1953125,73.6640625,5283,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
artemisia,64,2,4,"[65536, 2097152]","[16.2265625, 16.484375]",262144,28,TSC_ticks/access,machines/artemisia/followup-v1/capacity_control/084e1a8165042782/attempt-1788863076042579426/run.json,True,11.0234375,1000000,16.3093955859375,0.9060393678243347,16.2734375,16.25,16.2890625,16.2265625,16.3125,16.140625,95.671875,6630,outside Q1 - 1.5 IQR or Q3 + 1.5 IQR; retained,0
