host,bytes,seed,clean,same_pair,control_pair,pressure_pair,control_median,control_q1,control_q3,pressure_median,pressure_q1,pressure_q3,native_unit,sources
sunbird,262144,5922026,True,True,"[8, 6]","[8, 6]",72.0,72.0,76.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/sunbird/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788865006453940403/run.json"", ""machines/sunbird/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788865016171094686/run.json""]"
sunbird,262144,5922027,True,True,"[8, 6]","[8, 6]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/sunbird/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788865011597987144/run.json"", ""machines/sunbird/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788865026698213282/run.json""]"
sunbird,8388608,5922026,True,True,"[8, 6]","[8, 6]",72.0,72.0,72.0,72.0,72.0,76.0,TSC_ticks/target_reload,"[""machines/sunbird/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788865046635820812/run.json"", ""machines/sunbird/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788865055763727890/run.json""]"
sunbird,8388608,5922027,True,True,"[8, 6]","[8, 6]",72.0,72.0,72.0,72.0,72.0,76.0,TSC_ticks/target_reload,"[""machines/sunbird/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788865051170168997/run.json"", ""machines/sunbird/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788865078921229309/run.json""]"
sunbird,67108864,5922026,True,True,"[8, 6]","[8, 6]",72.0,72.0,76.0,72.0,72.0,76.0,TSC_ticks/target_reload,"[""machines/sunbird/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788865123047153315/run.json"", ""machines/sunbird/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788865134164717014/run.json""]"
sunbird,67108864,5922027,True,True,"[8, 6]","[8, 6]",72.0,72.0,72.0,72.0,72.0,76.0,TSC_ticks/target_reload,"[""machines/sunbird/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788865129193089179/run.json"", ""machines/sunbird/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788865226177826049/run.json""]"
thunderbird,262144,5922026,False,False,"[5, 0]","[1, 2]",1.0,1.0,1.0,1.0,1.0,1.0,CNTVCT_ticks/target_reload,"[""machines/thunderbird/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788865803835660973/run.json"", ""machines/thunderbird/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788865820230302008/run.json""]"
thunderbird,262144,5922027,False,False,"[1, 2]","[1, 0]",1.0,1.0,1.0,1.0,1.0,1.0,CNTVCT_ticks/target_reload,"[""machines/thunderbird/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788865812041850490/run.json"", ""machines/thunderbird/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788865842370756826/run.json""]"
thunderbird,8388608,5922026,False,True,"[1, 0]","[1, 0]",1.0,1.0,1.0,1.0,1.0,1.0,CNTVCT_ticks/target_reload,"[""machines/thunderbird/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788865871720512256/run.json"", ""machines/thunderbird/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788865888174579146/run.json""]"
thunderbird,8388608,5922027,False,True,"[1, 0]","[1, 0]",1.0,1.0,1.0,1.0,1.0,1.0,CNTVCT_ticks/target_reload,"[""machines/thunderbird/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788865879921073692/run.json"", ""machines/thunderbird/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788865992995192118/run.json""]"
thunderbird,67108864,5922026,False,False,"[1, 2]","[1, 0]",1.0,1.0,1.0,1.0,1.0,1.0,CNTVCT_ticks/target_reload,"[""machines/thunderbird/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788866132625140287/run.json"", ""machines/thunderbird/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788866150665692926/run.json""]"
thunderbird,67108864,5922027,False,False,"[1, 0]","[1, 2]",1.0,1.0,1.0,1.0,1.0,1.0,CNTVCT_ticks/target_reload,"[""machines/thunderbird/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788866141696342384/run.json"", ""machines/thunderbird/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788866411450648156/run.json""]"
skylark,262144,5922026,False,False,"[1, 2]","[1, 0]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/skylark/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788863065520178110/run.json"", ""machines/skylark/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788863072046993861/run.json""]"
skylark,262144,5922027,False,True,"[1, 0]","[1, 0]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/skylark/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788863068923967295/run.json"", ""machines/skylark/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788863093950858141/run.json""]"
skylark,8388608,5922026,False,True,"[1, 0]","[1, 0]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/skylark/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788863122851376456/run.json"", ""machines/skylark/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788863129654551701/run.json""]"
skylark,8388608,5922027,False,False,"[1, 2]","[1, 0]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/skylark/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788863125870098905/run.json"", ""machines/skylark/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788863175998541043/run.json""]"
skylark,67108864,5922026,True,False,"[1, 0]","[1, 3]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/skylark/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788863238453006026/run.json"", ""machines/skylark/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788863245083225655/run.json""]"
skylark,67108864,5922027,False,True,"[1, 0]","[1, 0]",72.0,72.0,72.0,72.0,72.0,72.0,TSC_ticks/target_reload,"[""machines/skylark/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788863241807979114/run.json"", ""machines/skylark/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788863357498598618/run.json""]"
artemisia,262144,5922026,True,True,"[30, 28]","[30, 28]",70.0,70.0,72.0,90.0,90.0,92.0,TSC_ticks/target_reload,"[""machines/artemisia/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788866835494786746/run.json"", ""machines/artemisia/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788866844973284518/run.json""]"
artemisia,262144,5922027,True,True,"[30, 28]","[30, 28]",72.0,72.0,72.0,90.0,90.0,92.0,TSC_ticks/target_reload,"[""machines/artemisia/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788866840309808655/run.json"", ""machines/artemisia/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788866859195424531/run.json""]"
artemisia,8388608,5922026,True,True,"[30, 28]","[30, 28]",72.0,70.0,72.0,92.0,90.0,92.0,TSC_ticks/target_reload,"[""machines/artemisia/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788866887200946515/run.json"", ""machines/artemisia/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788866896974165344/run.json""]"
artemisia,8388608,5922027,True,True,"[30, 28]","[30, 28]",72.0,70.0,72.0,92.0,90.0,94.0,TSC_ticks/target_reload,"[""machines/artemisia/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788866892054999053/run.json"", ""machines/artemisia/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788866938304674060/run.json""]"
artemisia,67108864,5922026,True,True,"[30, 28]","[30, 28]",72.0,70.0,72.0,98.0,92.0,102.0,TSC_ticks/target_reload,"[""machines/artemisia/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788867018195295837/run.json"", ""machines/artemisia/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788867029070988776/run.json""]"
artemisia,67108864,5922027,True,True,"[30, 28]","[30, 28]",70.0,70.0,72.0,98.0,92.0,102.0,TSC_ticks/target_reload,"[""machines/artemisia/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788867023873705629/run.json"", ""machines/artemisia/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788867142173831226/run.json""]"
charnwood,262144,5922026,False,True,"[2, 1]","[2, 1]",90.0,88.0,92.0,92.0,90.0,94.0,TSC_ticks/target_reload,"[""machines/charnwood/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788865414591730210/run.json"", ""machines/charnwood/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788865424454415245/run.json""]"
charnwood,262144,5922027,False,False,"[2, 0]","[2, 1]",92.0,90.0,92.0,92.0,90.0,108.0,TSC_ticks/target_reload,"[""machines/charnwood/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788865419527818454/run.json"", ""machines/charnwood/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788865454391393020/run.json""]"
charnwood,8388608,5922026,False,True,"[2, 0]","[2, 0]",92.0,90.0,94.0,150.0,146.0,180.0,TSC_ticks/target_reload,"[""machines/charnwood/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788865493869564122/run.json"", ""machines/charnwood/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788865524219109741/run.json""]"
charnwood,8388608,5922027,False,False,"[2, 1]","[2, 0]",92.0,90.0,96.0,154.0,148.0,182.0,TSC_ticks/target_reload,"[""machines/charnwood/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788865509063182118/run.json"", ""machines/charnwood/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788865731945203219/run.json""]"
charnwood,67108864,5922026,False,False,"[0, 3]","[0, 1]",92.0,90.0,94.0,156.0,148.0,182.0,TSC_ticks/target_reload,"[""machines/charnwood/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788866102972098997/run.json"", ""machines/charnwood/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788866134561238461/run.json""]"
charnwood,67108864,5922027,False,False,"[0, 3]","[3, 0]",92.0,90.0,94.0,152.0,148.0,180.0,TSC_ticks/target_reload,"[""machines/charnwood/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788866118862583086/run.json"", ""machines/charnwood/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788866531487568625/run.json""]"
crux,262144,5922026,True,False,"[2, 3]","[1, 4]",48.0,48.0,49.0,48.0,48.0,50.0,TSC_ticks/target_reload,"[""machines/crux/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788863769315858827/run.json"", ""machines/crux/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788863782919466815/run.json""]"
crux,262144,5922027,True,False,"[2, 4]","[1, 3]",48.0,48.0,49.0,49.0,48.0,50.0,TSC_ticks/target_reload,"[""machines/crux/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788863772729436600/run.json"", ""machines/crux/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788863796431669839/run.json""]"
crux,8388608,5922026,True,True,"[1, 3]","[1, 3]",48.0,48.0,49.0,70.0,69.0,72.0,TSC_ticks/target_reload,"[""machines/crux/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788863816638447540/run.json"", ""machines/crux/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788863823456075079/run.json""]"
crux,8388608,5922027,True,False,"[1, 4]","[1, 2]",48.0,48.0,49.0,71.0,69.0,72.0,TSC_ticks/target_reload,"[""machines/crux/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788863820018906407/run.json"", ""machines/crux/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788863837822409776/run.json""]"
crux,67108864,5922026,True,True,"[1, 2]","[1, 2]",48.0,48.0,49.0,70.0,69.0,72.0,TSC_ticks/target_reload,"[""machines/crux/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788863866761196062/run.json"", ""machines/crux/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788863874050051001/run.json""]"
crux,67108864,5922027,True,False,"[1, 3]","[3, 1]",48.0,48.0,49.0,70.0,69.0,72.0,TSC_ticks/target_reload,"[""machines/crux/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788863870318575122/run.json"", ""machines/crux/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788863946125105453/run.json""]"
ookay,262144,5922026,True,True,"[3, 2]","[3, 2]",66.0,66.0,68.0,68.0,66.0,68.0,TSC_ticks/target_reload,"[""machines/ookay/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788864254781375777/run.json"", ""machines/ookay/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788864265671454581/run.json""]"
ookay,262144,5922027,True,True,"[3, 2]","[3, 2]",68.0,66.0,68.0,68.0,66.0,68.0,TSC_ticks/target_reload,"[""machines/ookay/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788864260213132284/run.json"", ""machines/ookay/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788864273510265101/run.json""]"
ookay,8388608,5922026,True,True,"[3, 2]","[3, 2]",68.0,66.0,68.0,96.0,94.0,98.0,TSC_ticks/target_reload,"[""machines/ookay/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788864289968267184/run.json"", ""machines/ookay/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788864301079922569/run.json""]"
ookay,8388608,5922027,True,True,"[3, 2]","[3, 2]",66.0,66.0,68.0,96.0,94.0,98.0,TSC_ticks/target_reload,"[""machines/ookay/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788864295963558208/run.json"", ""machines/ookay/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788864365303460995/run.json""]"
ookay,67108864,5922026,True,True,"[3, 2]","[3, 2]",66.0,66.0,68.0,96.0,94.0,96.0,TSC_ticks/target_reload,"[""machines/ookay/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788864492401908671/run.json"", ""machines/ookay/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788864502895317195/run.json""]"
ookay,67108864,5922027,False,True,"[3, 2]","[3, 2]",66.0,66.0,68.0,96.0,94.0,100.0,TSC_ticks/target_reload,"[""machines/ookay/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788864497925803143/run.json"", ""machines/ookay/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788864574199139343/run.json""]"
upgrade,262144,5922026,False,True,"[0, 2]","[0, 2]",54.0,53.0,55.0,54.0,53.0,55.0,TSC_ticks/target_reload,"[""machines/upgrade/followup-v1/cross_core_reload/cedf6f8c2448f72a/attempt-1788863538357798183/run.json"", ""machines/upgrade/followup-v1/cross_core_reload/f44582df64fc6c04/attempt-1788863545575966724/run.json""]"
upgrade,262144,5922027,True,False,"[0, 2]","[3, 2]",54.0,53.0,55.0,54.0,54.0,55.0,TSC_ticks/target_reload,"[""machines/upgrade/followup-v1/cross_core_reload/077b0c3aa794498d/attempt-1788863542063323792/run.json"", ""machines/upgrade/followup-v1/cross_core_reload/95d0c3ec66f7be71/attempt-1788863573514541326/run.json""]"
upgrade,8388608,5922026,False,True,"[3, 0]","[3, 0]",54.0,53.0,55.0,77.0,76.0,79.0,TSC_ticks/target_reload,"[""machines/upgrade/followup-v1/cross_core_reload/eda48e9ccd23d8ce/attempt-1788863587584215967/run.json"", ""machines/upgrade/followup-v1/cross_core_reload/d18be66fb1003ee7/attempt-1788863595047673842/run.json""]"
upgrade,8388608,5922027,True,False,"[3, 4]","[3, 2]",54.0,53.0,55.0,77.0,76.0,79.0,TSC_ticks/target_reload,"[""machines/upgrade/followup-v1/cross_core_reload/9cfc53eafc9f4c9f/attempt-1788863591258885546/run.json"", ""machines/upgrade/followup-v1/cross_core_reload/eb541a559e4344f9/attempt-1788863665003702976/run.json""]"
upgrade,67108864,5922026,False,True,"[3, 0]","[3, 0]",54.0,53.0,55.0,77.0,75.0,78.0,TSC_ticks/target_reload,"[""machines/upgrade/followup-v1/cross_core_reload/6bc5c38bb6e31d3a/attempt-1788863732334211285/run.json"", ""machines/upgrade/followup-v1/cross_core_reload/833a308ab62acf94/attempt-1788863740234114010/run.json""]"
upgrade,67108864,5922027,False,False,"[3, 4]","[3, 0]",54.0,53.0,55.0,77.0,76.0,79.0,TSC_ticks/target_reload,"[""machines/upgrade/followup-v1/cross_core_reload/0c2cad467a698ba2/attempt-1788863736244934062/run.json"", ""machines/upgrade/followup-v1/cross_core_reload/e78e1d1f7f182904/attempt-1788863947688271178/run.json""]"
