host,level,prior_capacity_interval_bytes,additional_capacity_departures,line_candidate_bytes,prior_ways_candidate,additional_conditional_ways,additional_conditional_sets_if_64B_line,derived_sets,hit_latency_median,hit_and_next_level_distributions,miss_penalty,unit,sharing_scope,inclusion_exclusion,limitation,additional_evidence
sunbird,L1-like candidate,"[32768, 36864]",[],64,8,,,64,4.1328125,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/sunbird-inference.json
sunbird,L2-like candidate,"[262144, 294912]",[],,8,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,data_processed/uncertainty/sunbird-inference.json
sunbird,LLC-like candidate,"[8388608, 33554432]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/sunbird-inference.json
thunderbird,L1-like candidate,"[65536, 73728]",[],64,4,,,256,0.0341796875,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,CNTVCT_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/thunderbird-inference.json
thunderbird,L2-like candidate,"[1048576, 1179648]",[],,,8,2048,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,CNTVCT_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/thunderbird-inference.json
thunderbird,LLC-like candidate,"[16777216, 18874368]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,CNTVCT_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/thunderbird-inference.json
skylark,L1-like candidate,"[32768, 36864]",[],64,8,,,64,3.046875,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/skylark-inference.json
skylark,L2-like candidate,"[524288, 589824]",[],,8,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model. Way/count geometry also assumes the tested smallest agreeing stride is fundamental and the odd upper scrub avoids target-lower-index conflicts.,data_processed/uncertainty/skylark-inference.json
skylark,LLC-like candidate,"[16777216, 18874368]",[],,,,,,,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Conditional physical-role interpretation; broad brackets can include mixed residency/translation/replacement effects. Individual-load hit latency and separate per-level line size are not established by this model.,data_processed/uncertainty/skylark-inference.json
artemisia,L1-like candidate,"[49152, 53248]",[],64,12,,,64,5.25,data_processed/followup/latency-classes.csv,Descriptive same-core class differences in latency-classes.csv; isolated hardware penalty uncertain,TSC_ticks/access,Exact domain unverified in Phase I,uncertain,Joint candidate assumes the smallest agreeing tested conflict stride is a fundamental indexing period. Other conflict thresholds remain in the raw evidence; incompatible capacity products do not identify the L1-like class.,data_processed/uncertainty/artemisia-inference.json
