host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
artemisia,page_control,page-backing control,16384,8,0,512,random,5922026,1000000,5.142626,0.4975695884441842,5.12890625,5.12109375,5.13671875,5.1171875,5.140625,5.09765625,195.68359375,0,4081,TSC_ticks,TSC_ticks/access (batch average),2.5645199922301645,2.5586604644489834,2.5703795200113455,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,0,0,verified_clean,,machines/artemisia/page_control/page_control/09ef7df9f81f7f93/attempt-1788846950208542833/samples.u64.gz,machines/artemisia/page_control/page_control/09ef7df9f81f7f93/complete.json
artemisia,page_control,page-backing control,67108864,8,0,256,random,5922026,1000000,373.59363815625,56.813356025954,380.171875,366.8984375,389.1171875,317.921875,400.984375,257.234375,25183.03125,0,117472,TSC_ticks,TSC_ticks/access (batch average),190.09097847066818,158.96515305341686,200.49750443848413,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,25,25,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy,machines/artemisia/page_control/page_control/35f1753be415e3c6/attempt-1788847688492678013/samples.u64.gz,machines/artemisia/page_control/page_control/35f1753be415e3c6/attempt-1788847688492678013/run.json
artemisia,page_control,page-backing control,1048576,8,0,256,random,5922026,1000000,15.8592648828125,1.7718899501174126,15.8203125,15.71875,15.921875,15.5625,16.046875,15.2578125,1288.546875,0,12605,TSC_ticks,TSC_ticks/access (batch average),7.910363369440942,7.781453744161164,8.0236475855959,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,0,0,verified_clean,,machines/artemisia/page_control/page_control/4a7aaa360dd764cb/attempt-1788847672360783482/samples.u64.gz,machines/artemisia/page_control/page_control/4a7aaa360dd764cb/complete.json
artemisia,page_control,page-backing control,4096,8,0,256,random,5922026,1000000,5.2601151484375,0.6812139708325656,5.2421875,5.2421875,5.25,5.2265625,5.265625,5.203125,386.0078125,0,140698,TSC_ticks,TSC_ticks/access (batch average),2.621160915673147,2.6133482154773997,2.6328799659667674,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,11,11,0,0,verified_clean,,machines/artemisia/page_control/page_control/4e5cf7726422f2cf/attempt-1788847626175151310/samples.u64.gz,machines/artemisia/page_control/page_control/4e5cf7726422f2cf/complete.json
artemisia,page_control,page-backing control,1024,8,0,256,random,5922026,1000000,5.2617583046875,0.8411912527709413,5.2421875,5.2421875,5.25,5.2265625,5.265625,5.1953125,313.578125,0,144083,TSC_ticks,TSC_ticks/access (batch average),2.6211592229860607,2.613346527835581,2.632878265711781,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,11,11,0,0,verified_clean,,machines/artemisia/page_control/page_control/4fda25358f8dad15/attempt-1788847633114244592/samples.u64.gz,machines/artemisia/page_control/page_control/4fda25358f8dad15/complete.json
artemisia,page_control,page-backing control,268435456,8,0,256,random,5922026,1000000,399.333999578125,122.25996369387347,398.9140625,392.53125,404.0,382.9765625,413.1640625,353.3828125,85965.046875,0,30483,TSC_ticks,TSC_ticks/access (batch average),199.46215188006144,191.49319729955332,206.58733479910399,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy,machines/artemisia/page_control/page_control/568e19603ebf72c9/attempt-1788848043532587121/samples.u64.gz,machines/artemisia/page_control/page_control/568e19603ebf72c9/attempt-1788848043532587121/run.json
artemisia,page_control,page-backing control,4096,8,0,512,random,5922026,1000000,5.15549498046875,0.7693436498604784,5.12890625,5.12109375,5.13671875,5.1171875,5.15625,5.09375,326.828125,0,46303,TSC_ticks,TSC_ticks/access (batch average),2.564524844301763,2.558665305434356,2.578197101659046,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,15,15,0,0,verified_noisy,frequent involuntary context switches,machines/artemisia/page_control/page_control/742a26d8d16caf54/attempt-1788846459704252881/samples.u64.gz,machines/artemisia/page_control/page_control/742a26d8d16caf54/attempt-1788846459704252881/run.json
artemisia,page_control,page-backing control,65536,8,0,256,random,5922026,1000000,8.65677140625,0.8667944084999285,8.625,8.3984375,8.84375,8.1484375,9.15625,7.6484375,393.6328125,0,5932,TSC_ticks,TSC_ticks/access (batch average),4.312613734108133,4.0743261998865785,4.578245739469866,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,24,24,0,0,verified_clean,,machines/artemisia/page_control/page_control/75e57dc22b18f59a/attempt-1788847892647842217/samples.u64.gz,machines/artemisia/page_control/page_control/75e57dc22b18f59a/complete.json
artemisia,page_control,page-backing control,1024,8,0,512,random,5922026,1000000,5.14193540625,0.3862397023556063,5.12890625,5.12109375,5.13671875,5.1171875,5.14453125,5.09765625,70.50390625,0,1824,TSC_ticks,TSC_ticks/access (batch average),2.5645221629880814,2.5586626302470576,2.5723348733094467,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,16,16,0,0,verified_clean,,machines/artemisia/page_control/page_control/7652f53c8295cc01/attempt-1788846501380699927/samples.u64.gz,machines/artemisia/page_control/page_control/7652f53c8295cc01/complete.json
artemisia,page_control,page-backing control,268435456,8,0,512,random,5922026,1000000,404.8928935078125,36.71453694592408,404.06640625,400.9375,407.23046875,395.34765625,414.80859375,377.44140625,9189.80078125,0,46899,TSC_ticks,TSC_ticks/access (batch average),202.03915510173258,197.67965167284976,207.4104070862432,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy,machines/artemisia/page_control/page_control/8dc216dca06e838f/attempt-1788847079578622499/samples.u64.gz,machines/artemisia/page_control/page_control/8dc216dca06e838f/attempt-1788847079578622499/run.json
artemisia,page_control,page-backing control,262144,8,0,256,random,5922026,1000000,14.483878484375,1.6665543699530152,14.453125,14.2890625,14.6171875,14.0,14.8359375,13.4375,670.9375,0,24991,TSC_ticks,TSC_ticks/access (batch average),7.226761750327355,7.0001930035603355,7.4181732777684575,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,24,24,0,0,verified_noisy,frequent involuntary context switches,machines/artemisia/page_control/page_control/928eb8c3854e41c6/attempt-1788847916645255534/samples.u64.gz,machines/artemisia/page_control/page_control/928eb8c3854e41c6/attempt-1788847916645255534/run.json
artemisia,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,45.17339888671875,5.855643821704012,44.87890625,44.0625,45.80078125,42.88671875,47.7109375,39.5078125,1501.4921875,0,38993,TSC_ticks,TSC_ticks/access (batch average),22.440043776819902,21.443923807616475,23.85609667421693,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_noisy,frequent involuntary context switches; SMT sibling became busy,machines/artemisia/page_control/page_control/946ad6dfc55470b4/attempt-1788846393297558978/samples.u64.gz,machines/artemisia/page_control/page_control/946ad6dfc55470b4/attempt-1788846393297558978/run.json
