mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4.0,8,1000000,4096,TSC ticks/timer pair,61.83477,62.0,45.23519812347734,60.0,62.0,60.0,64.0,40052,0
random,4.0,8,1000000,4096,TSC ticks/access,5.046747997558594,5.02783203125,1.9167848094713795,5.02197265625,5.033203125,5.01904296875,5.03662109375,18013,0
random,8.0,8,1000000,4096,TSC ticks/access,5.05897757421875,5.03173828125,2.235165550057969,5.02392578125,5.03662109375,5.01904296875,5.09814453125,88490,0
random,16.0,8,1000000,4096,TSC ticks/access,5.04312261328125,5.02734375,1.2740754171909712,5.02197265625,5.033203125,5.0185546875,5.0361328125,11211,0
random,32.0,8,1000000,4096,TSC ticks/access,5.068309682617188,5.0283203125,1.2952127249824779,5.0224609375,5.0341796875,5.01904296875,5.041015625,47046,0
random,64.0,8,1000000,4096,TSC ticks/access,8.29718389892578,8.2158203125,2.2127848074089895,8.1884765625,8.2451171875,8.14794921875,8.33349609375,54264,0
random,128.0,8,1000000,4096,TSC ticks/access,12.331477526855469,12.271484375,1.8321420141451876,12.25634765625,12.33203125,12.23828125,12.35009765625,28594,0
random,256.0,8,1000000,4096,TSC ticks/access,14.249305919921875,14.1669921875,2.466425216585245,14.1279296875,14.2705078125,14.07470703125,14.3740234375,48033,0
random,512.0,8,1000000,4096,TSC ticks/access,16.985034536621093,16.8779296875,2.276857713890513,16.8544921875,16.9365234375,16.83935546875,17.7265625,80561,0
random,1024.0,8,1000000,4096,TSC ticks/access,20.1649012109375,20.02587890625,3.246771566081313,19.990234375,20.07421875,19.91748046875,20.92578125,92867,0
random,2048.0,8,1000000,4096,TSC ticks/access,17.073876951660157,16.18701171875,1.6580063307517867,16.04150390625,17.806640625,15.9365234375,20.2880859375,43232,0
random,4096.0,8,1000000,4096,TSC ticks/access,44.475109797851566,44.20849609375,4.9053579345536,43.89990234375,44.65625,43.517578125,46.06005859375,69426,0
random,8192.0,8,1000000,4096,TSC ticks/access,52.37281180175781,52.05029296875,10.773713114551748,51.71533203125,52.60009765625,51.30322265625,53.96923828125,52246,0
random,16384.0,8,1000000,4096,TSC ticks/access,89.64412868457032,80.53662109375,24.62811759795746,77.06884765625,94.08056640625,75.40283203125,134.74560546875,91581,0
random,32768.0,8,1000000,4096,TSC ticks/access,176.64436175683593,170.15673828125,38.36433751546405,144.13232421875,205.65380859375,129.41650390625,240.49072265625,344,0
random,65536.0,8,1000000,4096,TSC ticks/access,242.55712924658204,243.0830078125,25.176251534397753,226.61181640625,258.82373046875,213.91455078125,267.5595703125,1235,0
random,131072.0,8,1000000,4096,TSC ticks/access,273.46845030712893,274.05224609375,14.448389940754854,268.6258544921875,277.85400390625,261.61376953125,282.73146972656247,6052,0
random,262144.0,8,1000000,4096,TSC ticks/access,274.6847452084961,274.16650390625,13.16481303805529,271.85791015625,276.42236328125,269.00830078125,280.5625,24485,0
sequential,4.0,8,1000000,4096,TSC ticks/access,5.0456938369140625,5.02783203125,1.462651443351104,5.02197265625,5.033203125,5.01904296875,5.0361328125,12909,0
sequential,8.0,8,1000000,4096,TSC ticks/access,5.0466299497070315,5.02734375,1.8704722251999875,5.02197265625,5.033203125,5.01904296875,5.0361328125,12316,0
sequential,16.0,8,1000000,4096,TSC ticks/access,5.046416123046875,5.02734375,1.6768562123594142,5.02197265625,5.033203125,5.0185546875,5.0361328125,11675,0
sequential,32.0,8,1000000,4096,TSC ticks/access,5.0616722114257815,5.02783203125,1.4945500363682025,5.02197265625,5.03369140625,5.01904296875,5.0380859375,38729,0
sequential,64.0,8,1000000,4096,TSC ticks/access,6.402903748046875,6.37353515625,5.598237735460193,6.36669921875,6.37939453125,6.3623046875,6.38525390625,25159,0
sequential,128.0,8,1000000,4096,TSC ticks/access,6.406676715332031,6.384765625,1.288930423872243,6.37841796875,6.39111328125,6.37451171875,6.39501953125,14732,0
sequential,256.0,8,1000000,4096,TSC ticks/access,6.4099395698242185,6.3857421875,0.6166025877587543,6.37890625,6.39208984375,6.375,6.3984375,31045,0
sequential,512.0,8,1000000,4096,TSC ticks/access,6.438494187988281,6.40625,1.5948490170059852,6.39892578125,6.41259765625,6.3955078125,6.517578125,64940,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,6.453447411132813,6.41064453125,1.9224452184763765,6.4013671875,6.4169921875,6.39599609375,6.57080078125,146754,0
sequential,2048.0,8,1000000,4096,TSC ticks/access,8.209753756347656,8.20068359375,2.106397712242418,7.83642578125,8.55517578125,7.37353515625,9.08984375,7946,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,12.351162223632812,12.3427734375,5.841374407424035,12.23828125,12.3984375,12.02197265625,12.48583984375,65964,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,12.348075124511718,12.29052734375,2.864416398861898,12.26416015625,12.3193359375,12.22021484375,12.47265625,84529,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,14.357777361816407,12.39501953125,5.392322496286042,12.306640625,12.96923828125,12.25537109375,27.7275390625,178274,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,31.82173243408203,33.263671875,6.336337271185501,29.73291015625,35.02001953125,22.904296875,35.7578125,39975,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,35.34626630126953,35.24169921875,4.422334162861085,34.9892578125,35.51904296875,34.54833984375,36.3125,64459,0
sequential,131072.0,8,1000000,4096,TSC ticks/access,35.47513140087891,35.31494140625,5.707321925428262,35.1044921875,35.58447265625,34.8232421875,36.41650390625,61672,0
sequential,262144.0,8,1000000,4096,TSC ticks/access,35.45267048388672,35.306640625,4.153114342474979,35.111328125,35.56201171875,34.8408203125,36.37939453125,64555,0
