mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,8192.0,8,1000000,4096,TSC ticks/timer pair,61.589246,62.0,35.47286049186498,60.0,62.0,60.0,64.0,36154,0
random,8192.0,8,1000000,4096,TSC ticks/access,61.68476947167969,61.30029296875,5.313895688903759,60.85009765625,62.0009765625,60.3701171875,63.7861328125,52207,0
random,12288.0,8,1000000,4096,TSC ticks/access,56.03744227490235,55.5947265625,5.1626746739720595,55.263671875,56.21826171875,54.9169921875,58.001953125,67290,0
random,16384.0,8,1000000,4096,TSC ticks/access,82.0703007680664,78.29052734375,11.664544759904755,76.3740234375,83.22509765625,75.29638671875,101.29396972656247,103857,0
random,20480.0,8,1000000,4096,TSC ticks/access,94.22905754589844,87.25439453125,19.34006982636898,82.11474609375,99.07080078125,80.3271484375,133.43801269531247,81517,0
random,24576.0,8,1000000,4096,TSC ticks/access,113.77413755322266,104.7275390625,27.17935088959819,93.859375,125.60498046875,89.00244140625,168.69482421875,38764,0
random,28672.0,8,1000000,4096,TSC ticks/access,133.8115398305664,126.814208984375,31.76860945551528,107.80224609375,152.0791015625,100.0224609375,194.31401367187493,13984,0
random,32768.0,8,1000000,4096,TSC ticks/access,157.57655835205077,152.1552734375,31.21890273560253,131.8046875,176.7056884765625,123.3837890625,213.94389648437493,4817,0
random,36864.0,8,1000000,4096,TSC ticks/access,180.12441562402344,176.94921875,31.812141720552283,154.265625,201.63818359375,138.2709716796875,234.72412109375,639,0
random,40960.0,8,1000000,4096,TSC ticks/access,199.247266390625,198.521484375,29.445243147529744,177.8720703125,219.5582275390625,155.3901123046875,245.048828125,638,0
random,49152.0,8,1000000,4096,TSC ticks/access,211.21309358984374,209.29345703125,25.24533153198423,190.3974609375,228.43408203125,180.64013671875,251.20852050781247,796,0
random,57344.0,8,1000000,4096,TSC ticks/access,206.4328330576172,205.73095703125,25.721131959402506,185.24072265625,224.2578125,172.68408203125,246.6337890625,773,0
random,65536.0,8,1000000,4096,TSC ticks/access,227.10220049560547,226.78857421875,22.70655245816776,208.47607421875,243.30224609375,198.005859375,259.83596191406247,1009,0
random,98304.0,8,1000000,4096,TSC ticks/access,263.16222423632814,264.45947265625,17.32043103569439,254.9539794921875,270.8740234375,246.181640625,277.6748046875,1073,0
random,131072.0,8,1000000,4096,TSC ticks/access,247.74331815234376,248.5458984375,13.356614671242939,243.05615234375,252.490234375,233.98681640625,257.765625,19162,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,12.33987461767578,12.29296875,2.5568907910808885,12.26708984375,12.31689453125,12.221166992187502,12.376953125,57786,0
sequential,12288.0,8,1000000,4096,TSC ticks/access,12.397905017089844,12.3046875,3.1632617640932548,12.279296875,12.33837890625,12.24169921875,12.677734375,110231,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,13.507429401367187,12.6015625,3.469726506076964,12.3896484375,13.30810546875,12.29541015625,17.8115234375,124424,0
sequential,20480.0,8,1000000,4096,TSC ticks/access,14.720087121582031,13.3154296875,4.468182343686332,12.6708984375,14.99951171875,12.37353515625,22.5283203125,118183,0
sequential,24576.0,8,1000000,4096,TSC ticks/access,16.080990820800782,13.4658203125,5.858290233523414,12.61572265625,16.9296875,12.3388671875,29.2548828125,128741,0
sequential,28672.0,8,1000000,4096,TSC ticks/access,19.640069482421875,16.9853515625,7.3136319207358875,14.185546875,24.1876220703125,12.84033203125,32.9912109375,532,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,26.329072346191406,26.35498046875,8.924213374319038,20.94091796875,32.0224609375,16.71044921875,35.03271484375,543,0
sequential,36864.0,8,1000000,4096,TSC ticks/access,29.34190026171875,29.88232421875,5.824879269045081,25.8896484375,33.2646484375,21.54345703125,35.0390625,661,0
sequential,40960.0,8,1000000,4096,TSC ticks/access,31.277339791992187,31.9013671875,5.095876620848596,28.9228515625,34.17919921875,24.6337890625,35.458984375,5951,0
sequential,49152.0,8,1000000,4096,TSC ticks/access,33.37582941113281,33.7763671875,4.166791164644537,32.107421875,34.84130859375,29.62548828125,35.5732421875,13077,0
sequential,57344.0,8,1000000,4096,TSC ticks/access,34.31367850732422,34.5673828125,4.523692100070129,33.49755859375,35.142578125,31.79150390625,35.87353515625,24029,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,35.07944889355469,35.0615234375,4.264992543887798,34.7333984375,35.35302734375,34.052734375,36.09912109375,65563,0
sequential,98304.0,8,1000000,4096,TSC ticks/access,35.2806339140625,35.169921875,4.1937923580849095,34.921875,35.4296875,34.478515625,36.34375,77744,0
sequential,131072.0,8,1000000,4096,TSC ticks/access,35.44763492724609,35.2890625,4.544422933912742,35.0888671875,35.5263671875,34.82421875,36.48876953125,71520,0
