mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,512.0,8,1000000,4096,TSC ticks/timer pair,61.607458,62.0,28.371555045914764,60.0,62.0,60.0,64.0,36126,0
random,512.0,8,1000000,4096,TSC ticks/access,17.012499556640623,16.87646484375,6.206547645593198,16.849609375,16.9365234375,16.83642578125,17.75830078125,72047,0
random,768.0,8,1000000,4096,TSC ticks/access,19.029492134277344,18.9501953125,2.825733288534099,18.919921875,18.9853515625,18.861328125,19.271484375,54964,0
random,1024.0,8,1000000,4096,TSC ticks/access,20.114907391601562,20.02099609375,6.099205095778357,19.9873046875,20.0625,19.9169921875,20.34765625,76735,0
random,1280.0,8,1000000,4096,TSC ticks/access,20.751002604492186,20.62060546875,3.1778538260502196,20.5615234375,20.6923828125,20.46923828125,21.525390625,125258,0
random,1536.0,8,1000000,4096,TSC ticks/access,21.56071824951172,21.44921875,2.2084188687665782,21.3876953125,21.54052734375,21.29345703125,22.17626953125,76538,0
random,1792.0,8,1000000,4096,TSC ticks/access,24.235020711914064,24.11962890625,6.419891246511034,23.701171875,24.3984375,23.3798828125,25.61962890625,65815,0
random,2048.0,8,1000000,4096,TSC ticks/access,27.049429119140626,26.69091796875,3.559667015995431,26.48583984375,27.04833984375,26.17626953125,29.04052734375,131445,0
random,2304.0,8,1000000,4096,TSC ticks/access,22.764154935058595,22.09765625,6.479835226769329,21.8095703125,23.22216796875,21.44873046875,25.901879882812466,75742,0
random,2560.0,8,1000000,4096,TSC ticks/access,28.00106945703125,27.42822265625,4.142211850078418,27.14306640625,28.33935546875,26.84912109375,30.8154296875,85437,0
random,2816.0,8,1000000,4096,TSC ticks/access,32.379747850585936,31.86669921875,6.84226725323554,31.52490234375,32.74658203125,31.1220703125,35.009765625,71764,0
random,3072.0,8,1000000,4096,TSC ticks/access,40.24996345410156,39.93701171875,4.804866206755282,39.6826171875,40.33349609375,39.35791015625,41.9794921875,104956,0
random,3584.0,8,1000000,4096,TSC ticks/access,40.994249130371095,40.5791015625,7.040726165341304,40.234375,41.37646484375,39.84521484375,43.0810546875,49610,0
random,4096.0,8,1000000,4096,TSC ticks/access,48.100143,47.755859375,3.164758297617131,47.43408203125,48.28662109375,47.03515625,49.9921875,78643,0
sequential,512.0,8,1000000,4096,TSC ticks/access,6.428279188964844,6.4052734375,0.6102666830245509,6.3984375,6.41162109375,6.39501953125,6.4150390625,15462,0
sequential,768.0,8,1000000,4096,TSC ticks/access,6.432662473144531,6.40576171875,1.8745914574082276,6.39892578125,6.412109375,6.39599609375,6.416015625,19908,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,6.432797078613281,6.40576171875,1.4677640366472045,6.39892578125,6.412109375,6.39599609375,6.416015625,19761,0
sequential,1280.0,8,1000000,4096,TSC ticks/access,6.464755780273437,6.41064453125,1.6569814959919813,6.40087890625,6.41943359375,6.39599609375,6.572265625,162407,0
sequential,1536.0,8,1000000,4096,TSC ticks/access,6.637489755859375,6.62060546875,0.39754551789859016,6.4130859375,6.7470703125,6.39794921875,7.0009765625,15469,0
sequential,1792.0,8,1000000,4096,TSC ticks/access,7.546961327148438,7.48876953125,1.3904398615842628,7.2490234375,7.75146484375,6.9208984375,8.3515625,35583,0
sequential,2048.0,8,1000000,4096,TSC ticks/access,8.38424508544922,8.32275390625,2.5090573826370557,7.7998046875,8.87939453125,7.10595703125,9.76171875,8817,0
sequential,2304.0,8,1000000,4096,TSC ticks/access,9.349662229980469,9.2548828125,5.823298559517838,8.89697265625,9.84521484375,8.150390625,10.499536132812466,7881,0
sequential,2560.0,8,1000000,4096,TSC ticks/access,10.224358152832032,10.240234375,5.796429857414693,9.7578125,10.64794921875,8.984375,11.400390625,12160,0
sequential,2816.0,8,1000000,4096,TSC ticks/access,11.047566669433595,11.0537109375,5.9225470095876425,10.59912109375,11.48583984375,9.9013671875,11.9638671875,18434,0
sequential,3072.0,8,1000000,4096,TSC ticks/access,11.8357970859375,11.8134765625,5.552689344176625,11.67236328125,11.962890625,11.23876953125,12.2763671875,74274,0
sequential,3584.0,8,1000000,4096,TSC ticks/access,12.284404297363281,12.2998046875,0.5987733773073933,12.16748046875,12.3681640625,11.88818359375,12.44580078125,69908,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,12.4460497265625,12.388671875,6.066018283571748,12.35546875,12.41845703125,12.29736328125,12.47119140625,47365,0
