mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16.0,8,1000000,4096,TSC ticks/timer pair,61.60273,62.0,24.543098396713873,60.0,62.0,60.0,64.0,36993,0
random,16.0,8,1000000,4096,TSC ticks/access,5.045854053222656,5.02783203125,0.2556310523907058,5.02197265625,5.033203125,5.01904296875,5.03662109375,18121,0
random,24.0,8,1000000,4096,TSC ticks/access,5.046157606445313,5.02734375,0.8312666601144431,5.02197265625,5.033203125,5.0185546875,5.0361328125,14607,0
random,28.0,8,1000000,4096,TSC ticks/access,5.051903801757812,5.0283203125,5.335193152604491,5.0224609375,5.03369140625,5.01904296875,5.03759765625,12807,0
random,32.0,8,1000000,4096,TSC ticks/access,5.054011070800781,5.0283203125,5.414974576283201,5.0224609375,5.03369140625,5.01904296875,5.03759765625,15723,0
random,36.0,8,1000000,4096,TSC ticks/access,5.048606712890625,5.0283203125,0.2186783997352644,5.02197265625,5.0341796875,5.01904296875,5.078125,62322,0
random,40.0,8,1000000,4096,TSC ticks/access,5.0873418735351565,5.02880859375,1.123025076621683,5.0224609375,5.0341796875,5.01904296875,5.09130859375,62273,0
random,44.0,8,1000000,4096,TSC ticks/access,5.059631442871094,5.0341796875,0.8893421995397062,5.02734375,5.0400390625,5.02099609375,5.0595703125,50299,0
random,48.0,8,1000000,4096,TSC ticks/access,5.109728098144531,5.07568359375,0.33347064729301257,5.064453125,5.08935546875,5.05029296875,5.13232421875,54972,0
random,52.0,8,1000000,4096,TSC ticks/access,6.077903625488282,6.02734375,6.094254162831355,5.99365234375,6.06689453125,5.94921875,6.15087890625,34538,0
random,56.0,8,1000000,4096,TSC ticks/access,6.965681332519531,6.9267578125,1.421463672961624,6.88916015625,6.96435546875,6.83642578125,7.0302734375,28435,0
random,60.0,8,1000000,4096,TSC ticks/access,7.636927453613281,7.60107421875,1.078573568424989,7.56982421875,7.63330078125,7.525390625,7.68798828125,27242,0
random,64.0,8,1000000,4096,TSC ticks/access,8.254632390625,8.21484375,1.228605719590879,8.18896484375,8.2421875,8.1513671875,8.2919921875,32221,0
random,80.0,8,1000000,4096,TSC ticks/access,9.981154301269532,9.947265625,1.5358212642066071,9.9228515625,9.96337890625,9.857421875,9.99560546875,96492,0
random,96.0,8,1000000,4096,TSC ticks/access,11.063240673339843,11.005859375,0.6804501588500526,10.91259765625,11.0146484375,10.8974609375,11.80517578125,61342,0
random,112.0,8,1000000,4096,TSC ticks/access,11.854582864257813,11.806640625,1.0285849123875788,11.78662109375,11.830078125,11.76806640625,11.84619140625,30503,0
random,128.0,8,1000000,4096,TSC ticks/access,12.335191791503906,12.27685546875,1.4501015857495596,12.26611328125,12.32275390625,12.2412109375,12.34130859375,36293,0
sequential,16.0,8,1000000,4096,TSC ticks/access,5.047449572753906,5.02783203125,1.383471575520854,5.02197265625,5.033203125,5.01904296875,5.03662109375,13852,0
sequential,24.0,8,1000000,4096,TSC ticks/access,5.047166535644531,5.02783203125,1.648715311570371,5.02197265625,5.03369140625,5.0185546875,5.037109375,27664,0
sequential,28.0,8,1000000,4096,TSC ticks/access,5.059505510253906,5.0283203125,5.534641771052865,5.02197265625,5.0341796875,5.01904296875,5.0751953125,72722,0
sequential,32.0,8,1000000,4096,TSC ticks/access,5.090184739257812,5.0283203125,1.1298688401581152,5.0224609375,5.0341796875,5.01904296875,5.373046875,67925,0
sequential,36.0,8,1000000,4096,TSC ticks/access,5.048766641113281,5.02783203125,0.24860194085575615,5.02197265625,5.03369140625,5.01904296875,5.0390625,45661,0
sequential,40.0,8,1000000,4096,TSC ticks/access,5.068207281738281,5.0283203125,0.3216039730148955,5.02197265625,5.0341796875,5.01904296875,5.09375,61298,0
sequential,44.0,8,1000000,4096,TSC ticks/access,5.073411308105468,5.029296875,0.2991644118870968,5.02294921875,5.03466796875,5.01904296875,5.0986328125,63026,0
sequential,48.0,8,1000000,4096,TSC ticks/access,5.150479009765625,5.07421875,0.3768871439481383,5.064453125,5.0849609375,5.05322265625,5.73876953125,82481,0
sequential,52.0,8,1000000,4096,TSC ticks/access,6.396859577636719,6.3720703125,1.2872177290255524,6.36572265625,6.37841796875,6.36083984375,6.3828125,17449,0
sequential,56.0,8,1000000,4096,TSC ticks/access,6.405152676269531,6.380859375,1.369035555854612,6.37548828125,6.38818359375,6.3662109375,6.39501953125,14208,0
sequential,60.0,8,1000000,4096,TSC ticks/access,6.414302689453125,6.38134765625,1.5305653105008734,6.37548828125,6.388671875,6.36767578125,6.3974609375,43674,0
sequential,64.0,8,1000000,4096,TSC ticks/access,6.400168083007813,6.3759765625,1.0933475353338227,6.369140625,6.3818359375,6.36474609375,6.38720703125,16628,0
sequential,80.0,8,1000000,4096,TSC ticks/access,6.41723018359375,6.38671875,0.3555748440984847,6.37939453125,6.392578125,6.375,6.46533203125,72341,0
sequential,96.0,8,1000000,4096,TSC ticks/access,6.414701635253906,6.38671875,0.8242306344829076,6.37939453125,6.392578125,6.375,6.48779296875,71199,0
sequential,112.0,8,1000000,4096,TSC ticks/access,6.4106070131835935,6.384765625,1.3869738789647588,6.37841796875,6.39111328125,6.37451171875,6.39501953125,14569,0
sequential,128.0,8,1000000,4096,TSC ticks/access,6.413695970703125,6.38525390625,2.6207129566583296,6.37841796875,6.3916015625,6.37451171875,6.3955078125,25142,0
