host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
charnwood,page_control,page-backing control,16384,8,0,512,random,5922026,1000000,5.24642725390625,1.3366364730657516,5.23046875,5.21875,5.23828125,5.0390625,5.25,4.84765625,244.21484375,0,260358,TSC_ticks,TSC_ticks/access (batch average),1.53482233864398,1.4786563232641778,1.5405535647031434,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/charnwood/page_control/page_control/09ef7df9f81f7f93/attempt-1788849890484994827/samples.u64.gz,machines/charnwood/page_control/page_control/09ef7df9f81f7f93/complete.json
charnwood,page_control,page-backing control,4096,8,0,512,random,5922026,1000000,5.12069919921875,1.4022931476370866,5.046875,5.04296875,5.0546875,5.03515625,5.23828125,5.0078125,132.3671875,0,182357,TSC_ticks,TSC_ticks/access (batch average),1.4809508688109492,1.4775121284034933,1.5371169621327265,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/charnwood/page_control/page_control/742a26d8d16caf54/attempt-1788849765074060701/samples.u64.gz,machines/charnwood/page_control/page_control/742a26d8d16caf54/complete.json
charnwood,page_control,page-backing control,1024,8,0,512,random,5922026,1000000,5.09027870703125,1.134105869259588,5.046875,5.0390625,5.0546875,5.03125,5.23046875,4.6875,94.484375,0,89415,TSC_ticks,TSC_ticks/access (batch average),1.4809777261195949,1.4763926557600915,1.5348523028437597,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/charnwood/page_control/page_control/7652f53c8295cc01/attempt-1788849788492949349/samples.u64.gz,machines/charnwood/page_control/page_control/7652f53c8295cc01/complete.json
charnwood,page_control,page-backing control,268435456,8,0,512,random,5922026,1000000,259.01376959375,8.992061339233206,257.54296875,255.84765625,259.234375,253.26953125,270.12109375,242.73828125,652.23046875,0,63385,TSC_ticks,TSC_ticks/access (batch average),75.57297808603676,74.31898773208908,79.2638820528663,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/charnwood/page_control/page_control/8dc216dca06e838f/attempt-1788849951098592778/samples.u64.gz,machines/charnwood/page_control/page_control/8dc216dca06e838f/complete.json
charnwood,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,44.95076137890625,2.7516246990096143,44.4765625,44.12890625,44.9296875,43.6875,47.00390625,41.5625,217.140625,0,75150,TSC_ticks,TSC_ticks/access (batch average),13.051125936934525,12.81958479524642,13.792745336301875,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/charnwood/page_control/page_control/946ad6dfc55470b4/attempt-1788849748912726786/samples.u64.gz,machines/charnwood/page_control/page_control/946ad6dfc55470b4/complete.json
charnwood,page_control,page-backing control,65536,8,0,512,random,5922026,1000000,10.8760813828125,2.4992582204638123,10.69921875,10.48828125,11.00390625,10.1328125,11.48046875,9.6875,144.54296875,0,24956,TSC_ticks,TSC_ticks/access (batch average),3.1396226919824763,2.9734141157365985,3.36887590059748,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/charnwood/page_control/page_control/c393682c95f11b8d/attempt-1788849873125434282/samples.u64.gz,machines/charnwood/page_control/page_control/c393682c95f11b8d/complete.json
charnwood,page_control,page-backing control,67108864,8,0,512,random,5922026,1000000,249.217410375,7.512846963028604,248.02734375,246.05078125,250.05859375,243.03515625,257.09765625,231.125,905.90234375,0,57762,TSC_ticks,TSC_ticks/access (batch average),72.78097610589431,71.31607198016263,75.44256247518145,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/charnwood/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788849825801392040/samples.u64.gz,machines/charnwood/page_control/page_control/e78f1f36b5bdfcc9/complete.json
charnwood,page_control,page-backing control,16777216,8,0,512,random,5922026,1000000,206.91018391015626,8.457163076848552,205.68359375,202.27734375,209.4609375,197.640625,219.984375,180.76171875,607.578125,0,50511,TSC_ticks,TSC_ticks/access (batch average),60.35610815888788,57.99596711436884,64.5525512691279,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/charnwood/page_control/page_control/e952e84d554347d9/attempt-1788849909097858328/samples.u64.gz,machines/charnwood/page_control/page_control/e952e84d554347d9/complete.json
charnwood,page_control,page-backing control,262144,8,0,512,random,5922026,1000000,14.85719533203125,1.7855119665031491,14.62109375,14.40234375,14.921875,14.125,15.80859375,12.953125,371.578125,0,59821,TSC_ticks,TSC_ticks/access (batch average),4.290387314094475,4.14481446106482,4.6388451670158535,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/charnwood/page_control/page_control/ea97dc017b281ef5/attempt-1788849896826573815/samples.u64.gz,machines/charnwood/page_control/page_control/ea97dc017b281ef5/complete.json
charnwood,page_control,page-backing control,1048576,8,0,512,random,5922026,1000000,37.98696144921875,4.773544605623383,37.49609375,37.0234375,38.23046875,36.359375,39.375,32.265625,1858.67578125,0,25197,TSC_ticks,TSC_ticks/access (batch average),11.002757627690652,10.669201791701697,11.554099061060711,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/charnwood/page_control/page_control/eb86a5e6e74cc28b/attempt-1788849811525624655/samples.u64.gz,machines/charnwood/page_control/page_control/eb86a5e6e74cc28b/complete.json
