mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,2048.0,8,1000000,4096,TSC ticks/timer pair,92.761154,90.0,137.1749662641098,86.0,98.0,82.0,106.0,397,0
random,2048.0,8,1000000,4096,TSC ticks/access,55.164276328125,54.6376953125,2.3918262606947764,54.4697265625,54.8955078125,54.22705078125,58.36279296875,140283,0
random,4096.0,8,1000000,4096,TSC ticks/access,115.6428888984375,114.900390625,7.156129904325657,111.83544921875,118.201171875,106.58251953125,127.42138671875,53682,0
random,5120.0,8,1000000,4096,TSC ticks/access,167.0985039921875,165.576171875,8.914036283018406,162.599609375,169.34912109375,158.61474609375,182.52783203125,74758,0
random,6144.0,8,1000000,4096,TSC ticks/access,197.1983808071289,195.71923828125,7.95051056889434,192.646484375,199.68115234375,188.8466796875,210.74365234375,54626,0
random,7168.0,8,1000000,4096,TSC ticks/access,226.34635610302735,225.07861328125,7.559710123552752,221.81396484375,229.28515625,218.02685546875,239.025390625,46478,0
random,8192.0,8,1000000,4096,TSC ticks/access,251.05709518164062,250.37060546875,8.281166449452877,246.00048828125,255.14892578125,239.5712890625,264.37795410156247,29855,0
random,9216.0,8,1000000,4096,TSC ticks/access,267.5861614204102,266.8837890625,6.585823711278647,263.72314453125,270.8292236328125,259.24462890625,277.48974609375,31555,0
random,10240.0,8,1000000,4096,TSC ticks/access,278.8005751557617,277.984375,6.144734599505842,275.1279296875,281.7978515625,271.59619140625,287.71484375,27802,0
random,12288.0,8,1000000,4096,TSC ticks/access,296.0683555986328,295.46044921875,6.912570349549021,292.61962890625,299.42431640625,288.85888671875,304.81936035156247,32652,0
random,14336.0,8,1000000,4096,TSC ticks/access,308.30767139941406,307.8623046875,10.390673444133768,304.9541015625,312.01318359375,299.3613037109375,318.45361328125,63377,0
random,16384.0,8,1000000,4096,TSC ticks/access,316.37387011523435,316.3349609375,11.467898152785558,313.6806640625,320.38037109375,307.369140625,324.95947265625,53464,0
sequential,2048.0,8,1000000,4096,TSC ticks/access,5.4715252045898435,5.41796875,0.40115240707961125,5.4072265625,5.4501953125,5.39794921875,5.55810546875,74247,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,5.877866555175781,5.8134765625,0.4278596536917701,5.75732421875,5.89599609375,5.68505859375,6.11083984375,59148,0
sequential,5120.0,8,1000000,4096,TSC ticks/access,6.024982616210938,5.9462890625,0.47263274257043897,5.8798828125,6.06494140625,5.7822265625,6.3125,45233,0
sequential,6144.0,8,1000000,4096,TSC ticks/access,6.074752900878906,6.00390625,0.39366010569437637,5.95556640625,6.10888671875,5.8984375,6.30859375,42361,0
sequential,7168.0,8,1000000,4096,TSC ticks/access,6.352706946289063,6.27978515625,0.5654359370423963,6.22216796875,6.4150390625,6.00927734375,6.56982421875,23783,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,6.3727673256835935,6.32568359375,0.4644781886992363,6.25537109375,6.44873046875,6.03662109375,6.58251953125,27264,0
sequential,9216.0,8,1000000,4096,TSC ticks/access,6.380214111328125,6.3408203125,0.49175693828777794,6.265625,6.466796875,5.88134765625,6.64013671875,81775,0
sequential,10240.0,8,1000000,4096,TSC ticks/access,6.343697129394531,6.30517578125,0.46679949595791703,6.2099609375,6.4521484375,6.02392578125,6.57373046875,20413,0
sequential,12288.0,8,1000000,4096,TSC ticks/access,6.419375870605469,6.34765625,0.4037917784212221,6.28564453125,6.47119140625,6.25732421875,6.615234375,16690,0
sequential,14336.0,8,1000000,4096,TSC ticks/access,6.409602187988281,6.365234375,0.6800755828296541,6.28515625,6.48046875,6.07861328125,6.62939453125,36882,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,6.399968218261718,6.337890625,0.4448296458738185,6.28173828125,6.4697265625,6.064453125,6.61865234375,27141,0
