mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16.0,8,1000000,4096,TSC ticks/timer pair,94.833552,92.0,145.4506295721986,88.0,100.0,82.0,112.0,3674,0
random,16.0,8,1000000,4096,TSC ticks/access,5.344864800292969,5.28759765625,0.32935981924133423,5.27685546875,5.337890625,5.26953125,5.4326171875,50730,0
random,24.0,8,1000000,4096,TSC ticks/access,5.375603172851562,5.3310546875,0.3700144689334085,5.2822265625,5.37939453125,5.27001953125,5.4970703125,38135,0
random,28.0,8,1000000,4096,TSC ticks/access,5.384108474609375,5.333984375,0.40414511363689554,5.28466796875,5.38525390625,5.2705078125,5.5068359375,39190,0
random,32.0,8,1000000,4096,TSC ticks/access,5.432194645019531,5.37548828125,0.4426683710619427,5.33056640625,5.4189453125,5.3125,5.5419921875,45949,0
random,36.0,8,1000000,4096,TSC ticks/access,6.818014779296875,6.75048828125,0.4802723811833325,6.7041015625,6.80859375,6.65185546875,6.953125,45580,0
random,40.0,8,1000000,4096,TSC ticks/access,7.952354010742187,7.8779296875,0.5187262011290895,7.8251953125,7.94482421875,7.76708984375,8.1103515625,45437,0
random,44.0,8,1000000,4096,TSC ticks/access,8.719236399414063,8.64697265625,0.5145176037710079,8.58642578125,8.71923828125,8.51220703125,8.88232421875,41439,0
random,48.0,8,1000000,4096,TSC ticks/access,9.438349289550782,9.35986328125,0.6230200101231198,9.29443359375,9.43798828125,9.208984375,9.61767578125,39992,0
random,52.0,8,1000000,4096,TSC ticks/access,10.046507911621093,9.953125,0.5709882171121831,9.89306640625,10.02783203125,9.82275390625,10.220703125,48903,0
random,56.0,8,1000000,4096,TSC ticks/access,10.9067557265625,10.33447265625,1.7117262174459338,10.263671875,10.4443359375,10.19189453125,15.22216796875,127958,0
random,60.0,8,1000000,4096,TSC ticks/access,10.791712897460938,10.70068359375,0.7811131634216504,10.619140625,10.7978515625,10.51953125,11.0283203125,43071,0
random,64.0,8,1000000,4096,TSC ticks/access,11.224721612792969,11.12744140625,0.6024544777927091,11.052734375,11.22021484375,10.962890625,11.44189453125,43497,0
sequential,16.0,8,1000000,4096,TSC ticks/access,5.34508880859375,5.28759765625,0.32476259720108497,5.27734375,5.34033203125,5.26953125,5.423852539062466,47808,0
sequential,24.0,8,1000000,4096,TSC ticks/access,5.368455796875,5.33154296875,0.3884879300850778,5.28125,5.35302734375,5.26953125,5.48583984375,67096,0
sequential,28.0,8,1000000,4096,TSC ticks/access,5.372589694335938,5.333984375,0.3341725221506617,5.283203125,5.38037109375,5.27001953125,5.4951171875,37973,0
sequential,32.0,8,1000000,4096,TSC ticks/access,5.423954913574219,5.3779296875,0.5387227901899281,5.34033203125,5.42822265625,5.3076171875,5.5546875,47491,0
sequential,36.0,8,1000000,4096,TSC ticks/access,5.365022293945312,5.31640625,0.336696128774049,5.30712890625,5.34814453125,5.29931640625,5.4228515625,59477,0
sequential,40.0,8,1000000,4096,TSC ticks/access,5.368495911132812,5.31396484375,0.3484837193970802,5.30419921875,5.34912109375,5.296875,5.455078125,66854,0
sequential,44.0,8,1000000,4096,TSC ticks/access,5.3648250390625,5.31494140625,0.38871246006254184,5.30517578125,5.35009765625,5.29736328125,5.43310546875,58999,0
sequential,48.0,8,1000000,4096,TSC ticks/access,5.3688693754882815,5.3173828125,0.3342242709202724,5.3076171875,5.353515625,5.298828125,5.44287109375,61596,0
sequential,52.0,8,1000000,4096,TSC ticks/access,5.367546554199219,5.31494140625,0.4695379011113894,5.30419921875,5.3515625,5.29638671875,5.44482421875,63416,0
sequential,56.0,8,1000000,4096,TSC ticks/access,5.367374547363282,5.31591796875,0.34098615709169344,5.30517578125,5.3525390625,5.294921875,5.44775390625,67012,0
sequential,60.0,8,1000000,4096,TSC ticks/access,5.370127739257812,5.31640625,0.3444406876596198,5.30615234375,5.353515625,5.2978515625,5.4521484375,67009,0
sequential,64.0,8,1000000,4096,TSC ticks/access,5.371318295410156,5.31787109375,0.32466198531154467,5.30712890625,5.35595703125,5.298828125,5.45849609375,67542,0
