host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
crux,page_control,page-backing control,16384,8,0,512,random,5922026,1000000,2.72789048828125,0.7463738533712261,2.705078125,2.701171875,2.708984375,2.697265625,2.712890625,2.689453125,151.490234375,0,36379,TSC_ticks,TSC_ticks/access (batch average),0.9017227596482809,0.8991185061908129,0.9043270131057488,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/09ef7df9f81f7f93/attempt-1788844237230271975/samples.u64.gz,machines/crux/page_control/page_control/09ef7df9f81f7f93/complete.json
crux,page_control,page-backing control,4096,8,0,512,random,5922026,1000000,2.71745782421875,0.6635200075025806,2.705078125,2.701171875,2.708984375,2.697265625,2.712890625,2.6875,146.685546875,0,14123,TSC_ticks,TSC_ticks/access (batch average),0.9017199927512065,0.8991157472847771,0.904324238217636,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/742a26d8d16caf54/attempt-1788844168229884441/samples.u64.gz,machines/crux/page_control/page_control/742a26d8d16caf54/complete.json
crux,page_control,page-backing control,1024,8,0,512,random,5922026,1000000,2.7202233671875,0.882772041294603,2.705078125,2.701171875,2.708984375,2.697265625,2.712890625,2.685546875,151.81640625,0,15625,TSC_ticks,TSC_ticks/access (batch average),0.9017275672370731,0.8991232998948723,0.9043318345792741,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/7652f53c8295cc01/attempt-1788844172597161608/samples.u64.gz,machines/crux/page_control/page_control/7652f53c8295cc01/complete.json
crux,page_control,page-backing control,268435456,8,0,512,random,5922026,1000000,206.07813990820313,13.849648624326129,204.771484375,202.990234375,206.654296875,200.521484375,211.185546875,191.255859375,2275.3515625,0,47522,TSC_ticks,TSC_ticks/access (batch average),68.26075087296537,66.84400970856171,70.39888413762604,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/crux/page_control/page_control/8dc216dca06e838f/attempt-1788844291654106130/samples.u64.gz,machines/crux/page_control/page_control/8dc216dca06e838f/complete.json
crux,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,26.168141234375,3.41353468930516,25.78125,25.529296875,26.28515625,25.23828125,27.765625,24.755859375,480.142578125,0,71469,TSC_ticks,TSC_ticks/access (batch average),8.59407008243331,8.413073757969942,9.255553052414541,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/946ad6dfc55470b4/attempt-1788844157195948477/samples.u64.gz,machines/crux/page_control/page_control/946ad6dfc55470b4/complete.json
crux,page_control,page-backing control,65536,8,0,512,random,5922026,1000000,5.730583736328125,1.383571369977674,5.677734375,5.564453125,5.76953125,5.40234375,6.083984375,5.328125,166.0859375,0,52033,TSC_ticks,TSC_ticks/access (batch average),1.8926383266783449,1.8008385316794986,2.0280593008610404,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/c393682c95f11b8d/attempt-1788844229732622272/samples.u64.gz,machines/crux/page_control/page_control/c393682c95f11b8d/complete.json
crux,page_control,page-backing control,67108864,8,0,512,random,5922026,1000000,196.96477284375,12.38131338764972,195.8046875,193.90234375,197.83203125,191.173828125,202.51953125,178.951171875,1058.14453125,0,44166,TSC_ticks,TSC_ticks/access (batch average),65.27052797055521,63.72685381125478,67.50888805477067,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788844187504568913/samples.u64.gz,machines/crux/page_control/page_control/e78f1f36b5bdfcc9/complete.json
crux,page_control,page-backing control,16777216,8,0,512,random,5922026,1000000,148.67651431054688,11.475703391018119,147.822265625,144.05859375,151.751953125,138.892578125,158.59375,103.0625,2041.1328125,0,21995,TSC_ticks,TSC_ticks/access (batch average),49.27674475230992,46.30002179521721,52.86743309622204,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/crux/page_control/page_control/e952e84d554347d9/attempt-1788844258071428300/samples.u64.gz,machines/crux/page_control/page_control/e952e84d554347d9/complete.json
crux,page_control,page-backing control,262144,8,0,512,random,5922026,1000000,7.715469068359375,1.6401630704163959,7.564453125,7.443359375,7.7890625,7.33203125,8.296875,7.162109375,154.927734375,0,49134,TSC_ticks,TSC_ticks/access (batch average),2.5215749667194243,2.444098224906976,2.765724363187223,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,1,1,0,0,verified_clean,,machines/crux/page_control/page_control/ea97dc017b281ef5/attempt-1788844249852924162/samples.u64.gz,machines/crux/page_control/page_control/ea97dc017b281ef5/complete.json
crux,page_control,page-backing control,1048576,8,0,512,random,5922026,1000000,22.304703416015624,2.5825517918575933,22.212890625,21.97265625,22.4453125,21.5625,22.822265625,19.919921875,181.453125,0,15197,TSC_ticks,TSC_ticks/access (batch average),7.404546298457605,7.1877421203703475,7.607678140989811,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,3,3,0,0,verified_clean,,machines/crux/page_control/page_control/eb86a5e6e74cc28b/attempt-1788844176911894083/samples.u64.gz,machines/crux/page_control/page_control/eb86a5e6e74cc28b/complete.json
