mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4096.0,8,1000000,4096,TSC ticks/timer pair,40.884202,40.0,47.61872928130878,40.0,42.0,39.0,43.0,100,0
random,4096.0,8,1000000,4096,TSC ticks/access,39.08023362060547,38.21044921875,4.187727718615785,37.60546875,39.020751953125,36.839599609375,43.740014648437466,80580,0
random,5120.0,8,1000000,4096,TSC ticks/access,57.801040524658205,54.0166015625,12.832349370545417,52.4833984375,56.658447265625,50.512939453125,79.00710449218747,142074,0
random,6144.0,8,1000000,4096,TSC ticks/access,112.34266103979492,121.863037109375,20.605016004511747,89.80340576171875,126.91015625,84.031494140625,140.581787109375,1758,0
random,7168.0,8,1000000,4096,TSC ticks/access,138.08664892407228,142.044677734375,15.901345036249475,126.45623779296875,146.10107421875,112.395263671875,163.490478515625,14023,0
random,8192.0,8,1000000,4096,TSC ticks/access,125.29307218945313,121.5087890625,13.25687364835669,119.3876953125,125.134521484375,116.95068359375,147.95460205078123,124787,0
random,9216.0,8,1000000,4096,TSC ticks/access,150.48706127856445,141.4932861328125,17.96746514350807,136.03759765625,166.36090087890625,133.00732421875,178.302734375,6537,0
random,10240.0,8,1000000,4096,TSC ticks/access,147.32980105908203,143.708740234375,12.785113693905513,141.72998046875,147.01422119140625,139.47728271484374,167.4829467773437,123729,0
random,11264.0,8,1000000,4096,TSC ticks/access,156.13686756030273,152.989990234375,12.252517518006178,151.094482421875,155.9287109375,148.9189453125,172.45925292968747,112592,0
random,12288.0,8,1000000,4096,TSC ticks/access,163.45225179956054,160.330322265625,12.253105216915053,158.488525390625,163.19244384765625,156.287353515625,179.57595214843747,108866,0
random,14336.0,8,1000000,4096,TSC ticks/access,172.75552665942382,169.572265625,12.658373893177089,167.80859375,172.201416015625,165.7265625,192.8653076171874,112919,0
random,16384.0,8,1000000,4096,TSC ticks/access,181.59489192333984,177.4140625,14.713907273714963,175.704833984375,180.5498046875,173.71044921875,207.58449707031247,114913,0
random,20480.0,8,1000000,4096,TSC ticks/access,191.45767771826172,188.789794921875,11.625774960072969,187.401611328125,190.696533203125,185.644287109375,212.012451171875,99280,0
random,24576.0,8,1000000,4096,TSC ticks/access,199.11043058911133,194.95654296875,14.33771234484697,193.599609375,197.352294921875,192.02099609375,226.469970703125,115633,0
random,32768.0,8,1000000,4096,TSC ticks/access,205.64280500878905,202.951904296875,12.072572450073901,201.82958984375,204.489013671875,200.480224609375,227.55642089843747,77756,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,2.982938502441406,2.89208984375,0.7791830144494494,2.81494140625,3.012451171875,2.74072265625,3.23779296875,31727,0
sequential,5120.0,8,1000000,4096,TSC ticks/access,2.8350877946777344,2.781494140625,0.5023856647981971,2.744140625,2.843994140625,2.705810546875,3.016845703125,65531,0
sequential,6144.0,8,1000000,4096,TSC ticks/access,3.019469593261719,2.966064453125,0.6429523756807282,2.874267578125,3.089599609375,2.769287109375,3.272216796875,15475,0
sequential,7168.0,8,1000000,4096,TSC ticks/access,3.086920258544922,3.024169921875,0.5193598114178007,2.959228515625,3.145263671875,2.891357421875,3.321533203125,21505,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,3.0658417861328124,3.00146484375,0.5548213340861167,2.943603515625,3.1181640625,2.882568359375,3.28076171875,21859,0
sequential,9216.0,8,1000000,4096,TSC ticks/access,3.113358163574219,3.04931640625,0.5161103927717432,2.99462890625,3.167236328125,2.94287109375,3.332763671875,22103,0
sequential,10240.0,8,1000000,4096,TSC ticks/access,3.132156388671875,3.068115234375,0.4968468286082283,3.01171875,3.190185546875,2.9619140625,3.35791015625,19978,0
sequential,11264.0,8,1000000,4096,TSC ticks/access,3.1611736296386717,3.081787109375,0.6239929072497864,3.025146484375,3.208740234375,2.984619140625,3.376220703125,18302,0
sequential,12288.0,8,1000000,4096,TSC ticks/access,3.158608824707031,3.087646484375,0.5401275953225549,3.032958984375,3.213134765625,2.994873046875,3.37451171875,19305,0
sequential,14336.0,8,1000000,4096,TSC ticks/access,3.3884257961425783,3.247802734375,1.0946334042992683,3.140869140625,3.390380859375,3.056640625,3.67919921875,35679,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,3.2951123786621093,3.18896484375,0.8549525624074245,3.10400390625,3.326904296875,3.031982421875,3.568603515625,29632,0
sequential,20480.0,8,1000000,4096,TSC ticks/access,3.187735248046875,3.10498046875,0.6286224865497384,3.048828125,3.23681640625,3.015869140625,3.40234375,18428,0
sequential,24576.0,8,1000000,4096,TSC ticks/access,3.191795456298828,3.115478515625,0.5850337662333771,3.05908203125,3.248046875,3.021728515625,3.41845703125,19021,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,3.2055922622070314,3.119140625,0.6587523779832303,3.05908203125,3.253662109375,3.022705078125,3.43212890625,18965,0
