mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,128.0,8,1000000,4096,TSC ticks/timer pair,40.825169,40.0,17.27595321769536,40.0,42.0,39.0,43.0,190,0
random,128.0,8,1000000,4096,TSC ticks/access,7.537688923339844,7.4443359375,0.8749904375322974,7.38427734375,7.52001953125,7.314453125,7.73486328125,53294,0
random,160.0,8,1000000,4096,TSC ticks/access,8.696723977539062,8.59130859375,0.9820222517311902,8.5048828125,8.693603515625,8.4052734375,8.940197753906233,42891,0
random,192.0,8,1000000,4096,TSC ticks/access,8.837679004882812,8.67724609375,1.2189079367094995,8.582763671875,8.798583984375,8.470703125,9.179443359375,57468,0
random,224.0,8,1000000,4096,TSC ticks/access,10.464598170166015,10.345458984375,1.0675498989442842,10.24267578125,10.466064453125,10.107177734375,10.750732421875,42110,0
random,256.0,8,1000000,4096,TSC ticks/access,10.62382419555664,10.423583984375,1.4454944469033737,10.30712890625,10.5712890625,10.169189453125,11.065185546875,57931,0
random,288.0,8,1000000,4096,TSC ticks/access,12.144429884033203,11.9990234375,1.1934945315068846,11.88720703125,12.1376953125,11.745849609375,12.51318359375,50250,0
random,320.0,8,1000000,4096,TSC ticks/access,14.419829788085938,14.216796875,1.5575908490105423,14.094970703125,14.3505859375,13.903564453125,14.84521484375,61590,0
random,352.0,8,1000000,4096,TSC ticks/access,15.661077488525391,15.482177734375,1.422903177006081,15.37744140625,15.606689453125,15.24609375,15.9765625,53068,0
random,384.0,8,1000000,4096,TSC ticks/access,16.70992707714844,16.533203125,1.532230973896031,16.395263671875,16.6689453125,16.173828125,17.100341796875,55828,0
random,448.0,8,1000000,4096,TSC ticks/access,19.11594558154297,18.932861328125,1.5141829540634815,18.835693359375,19.052734375,18.68701171875,19.39599609375,52898,0
random,512.0,8,1000000,4096,TSC ticks/access,20.791261037109376,20.515869140625,1.9560621136200829,20.406494140625,20.639892578125,20.27978515625,21.133056640625,59705,0
random,768.0,8,1000000,4096,TSC ticks/access,25.03217291381836,24.7236328125,2.193040037302232,24.625732421875,24.845703125,24.49853515625,25.600341796875,75870,0
random,1024.0,8,1000000,4096,TSC ticks/access,27.175437077148437,26.838623046875,2.3499989045843734,26.725830078125,26.935546875,26.574462890625,27.89013671875,71644,0
sequential,128.0,8,1000000,4096,TSC ticks/access,2.768294876220703,2.689453125,0.8765387764582608,2.641845703125,2.718505859375,2.6337890625,2.900146484375,75274,0
sequential,160.0,8,1000000,4096,TSC ticks/access,2.72371045703125,2.6787109375,0.5737043936427165,2.649658203125,2.709716796875,2.640625,2.827392578125,63358,0
sequential,192.0,8,1000000,4096,TSC ticks/access,2.7158422536621094,2.67822265625,0.4970592488062804,2.646484375,2.711669921875,2.6376953125,2.82373046875,56408,0
sequential,224.0,8,1000000,4096,TSC ticks/access,2.726537481689453,2.68896484375,0.4755360456303539,2.660888671875,2.722412109375,2.64453125,2.83154296875,57211,0
sequential,256.0,8,1000000,4096,TSC ticks/access,2.7497655227050783,2.703125,0.5955416367732379,2.68505859375,2.7353515625,2.661376953125,2.81201171875,50665,0
sequential,288.0,8,1000000,4096,TSC ticks/access,2.7772077165527342,2.725830078125,0.6458298977954025,2.6953125,2.766845703125,2.659912109375,2.916259765625,67827,0
sequential,320.0,8,1000000,4096,TSC ticks/access,2.7561558825683594,2.712158203125,0.6163846782821963,2.68603515625,2.73486328125,2.67333984375,2.823486328125,58219,0
sequential,352.0,8,1000000,4096,TSC ticks/access,2.8964480339355467,2.776123046875,1.1349762205020006,2.7490234375,2.798828125,2.718505859375,3.024169921875,98742,0
sequential,384.0,8,1000000,4096,TSC ticks/access,2.7476248955078124,2.705322265625,0.5678986824819222,2.68896484375,2.7275390625,2.6796875,2.787841796875,52666,0
sequential,448.0,8,1000000,4096,TSC ticks/access,2.7366229792480468,2.69580078125,0.5866740021969686,2.691162109375,2.7021484375,2.6845703125,2.755859375,165551,0
sequential,512.0,8,1000000,4096,TSC ticks/access,2.7505078295898437,2.70166015625,0.6137477935087627,2.695068359375,2.722900390625,2.6845703125,2.78173828125,71789,0
sequential,768.0,8,1000000,4096,TSC ticks/access,2.737475610107422,2.698486328125,0.596455389315102,2.694580078125,2.702392578125,2.6904296875,2.7529296875,114908,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,2.8626685900878908,2.75634765625,1.1121974455913746,2.7509765625,2.76123046875,2.6943359375,2.8857421875,278903,0
