mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16.0,8,1000000,4096,TSC ticks/timer pair,40.847584,40.0,18.350863034667285,40.0,42.0,39.0,43.0,91,0
random,16.0,8,1000000,4096,TSC ticks/access,2.67847844140625,2.62890625,0.6135425560164322,2.62451171875,2.651123046875,2.62109375,2.69580078125,52994,0
random,24.0,8,1000000,4096,TSC ticks/access,2.6789797309570313,2.62939453125,0.6191080951771147,2.625,2.663330078125,2.62158203125,2.712158203125,42219,0
random,28.0,8,1000000,4096,TSC ticks/access,2.702798796875,2.64892578125,0.5880581039331791,2.64208984375,2.688232421875,2.62744140625,2.748046875,40575,0
random,32.0,8,1000000,4096,TSC ticks/access,2.7135456350097655,2.65234375,0.5942520110940058,2.646240234375,2.693115234375,2.641357421875,2.768798828125,52678,0
random,36.0,8,1000000,4096,TSC ticks/access,3.417269040283203,3.35400390625,0.7154246983019862,3.335693359375,3.385498046875,3.316162109375,3.46044921875,50006,0
random,40.0,8,1000000,4096,TSC ticks/access,4.0088350986328125,3.941162109375,0.7074137545223772,3.923583984375,3.97900390625,3.890869140625,4.07763671875,60240,0
random,44.0,8,1000000,4096,TSC ticks/access,4.328867485107422,4.260009765625,0.7458383968050395,4.232177734375,4.29833984375,4.197509765625,4.40869140625,54631,0
random,48.0,8,1000000,4096,TSC ticks/access,4.708008386962891,4.63623046875,0.7654573458491086,4.608154296875,4.67529296875,4.561279296875,4.801513671875,61863,0
random,52.0,8,1000000,4096,TSC ticks/access,5.024904510986328,4.9423828125,0.8406271696132765,4.910400390625,4.98681640625,4.875732421875,5.130859375,61114,0
random,56.0,8,1000000,4096,TSC ticks/access,5.198504083496093,5.1201171875,0.8367913017883629,5.079345703125,5.16650390625,5.030517578125,5.310546875,54467,0
random,60.0,8,1000000,4096,TSC ticks/access,5.395145748535156,5.30712890625,0.8454403036010906,5.26953125,5.360107421875,5.23046875,5.522705078125,60646,0
random,64.0,8,1000000,4096,TSC ticks/access,5.59555744946289,5.50390625,0.8550524144223608,5.4697265625,5.5517578125,5.44677734375,5.722900390625,67701,0
sequential,16.0,8,1000000,4096,TSC ticks/access,2.678711052734375,2.62939453125,0.5826715299045259,2.625,2.667724609375,2.621337890625,2.715087890625,30870,0
sequential,24.0,8,1000000,4096,TSC ticks/access,2.6856327373046875,2.63037109375,0.5890013867043089,2.62548828125,2.671875,2.62158203125,2.728759765625,39937,0
sequential,28.0,8,1000000,4096,TSC ticks/access,2.6878615341796874,2.631591796875,0.5858133319098783,2.6259765625,2.673828125,2.62158203125,2.73291015625,40108,0
sequential,32.0,8,1000000,4096,TSC ticks/access,2.7291145900878906,2.6708984375,0.6384033326150939,2.654541015625,2.709716796875,2.645751953125,2.797119140625,52617,0
sequential,36.0,8,1000000,4096,TSC ticks/access,2.6981281252441405,2.645263671875,0.672082473720867,2.640869140625,2.667724609375,2.636962890625,2.728515625,65781,0
sequential,40.0,8,1000000,4096,TSC ticks/access,2.690900352783203,2.64404296875,0.576382938755257,2.6396484375,2.665283203125,2.6357421875,2.719482421875,79554,0
sequential,44.0,8,1000000,4096,TSC ticks/access,2.6887369765625,2.643310546875,0.5814672036643017,2.63916015625,2.658935546875,2.63525390625,2.7119140625,112468,0
sequential,48.0,8,1000000,4096,TSC ticks/access,2.6902207775878906,2.642822265625,0.5891687463774036,2.638427734375,2.660888671875,2.63427734375,2.720947265625,104735,0
sequential,52.0,8,1000000,4096,TSC ticks/access,2.697167949951172,2.64208984375,0.6359431834275615,2.63720703125,2.669189453125,2.633056640625,2.748291015625,73897,0
sequential,56.0,8,1000000,4096,TSC ticks/access,2.690372125,2.642333984375,0.5900978363808336,2.6376953125,2.66357421875,2.633544921875,2.725341796875,77764,0
sequential,60.0,8,1000000,4096,TSC ticks/access,2.6898343532714843,2.643310546875,0.5886024932338254,2.63916015625,2.659423828125,2.63525390625,2.714599609375,123277,0
sequential,64.0,8,1000000,4096,TSC ticks/access,2.6879378674316405,2.640380859375,0.5802184931462956,2.6357421875,2.662353515625,2.6318359375,2.726318359375,73412,0
