host,family,record,status,mode,streams,seed,batch,cpu,unit,n,mean,stddev,median,q1,q3,p05,p95,outliers,flags,raw_sha256
sunbird,calibration,machines/sunbird/independent-load-v1/calibration/037f0b274cdbd2e9/attempt-1788928725329494567/run.json,passed,chase,4,5924101,4096,5,TSC_ticks/load,1000000,1.023387685546875,0.06462636403448502,1.0205078125,1.0205078125,1.021484375,1.0205078125,1.021484375,3209,,3786dce483bb06de6ecd1a5ca1ba74aa48c4e5b8899324097203d41aa95c1781
sunbird,calibration,machines/sunbird/independent-load-v1/calibration/44b6019a19a40346/attempt-1788928712846619208/run.json,passed,loop,1,5924101,4096,5,TSC_ticks/load,1000000,0.27752552734375,0.032951498346103385,0.27734375,0.2763671875,0.27734375,0.2763671875,0.27734375,492,,123e5aff59efd6f368fabc061721b417f47addb9ce9026a1afb193726b7acac5
sunbird,calibration,machines/sunbird/independent-load-v1/calibration/511efc2dfa06b8df/attempt-1788928715883209797/run.json,passed,chase,1,5924101,4096,5,TSC_ticks/load,1000000,4.028237233398437,0.12821335030838368,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,11845,,b483d5c3313d508e5276b90ce65669e3bd97c9cb7210cbf59680ec741492ad06
sunbird,calibration,machines/sunbird/independent-load-v1/calibration/d445a2735c6b0cfc/attempt-1788928710249509921/run.json,passed,overhead,1,5924101,4096,5,TSC_ticks/interval,1000000,84.191244,34.074569444216706,84.0,84.0,84.0,84.0,84.0,2235,,edd842265eb755c8650423416e1b59ae799b563692b5e70b6fd75519a4aad05b
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/097a1c22903250f2/attempt-1788928794879071950/run.json,noisy,chase,4,5924103,4096,5,TSC_ticks/load,1000000,1.0256137412109374,1.7792735233852632,1.0205078125,1.0205078125,1.021484375,1.0205078125,1.021484375,4160,frequent involuntary context switches,951fbb2a1af1f74654732c9413f8c2af26b35700b7b04b9a2adfb37a5f106477
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/2899815d0b6a65a1/attempt-1788928743613770251/run.json,passed,chase,4,5924101,4096,5,TSC_ticks/load,1000000,1.0233764326171875,0.06546695698935777,1.0205078125,1.0205078125,1.021484375,1.0205078125,1.021484375,3095,,5d22ac39fc45caf065af961d2696fb8805103ad9f4f074a36c6b577d9aa2c722
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/39e18bdd904491ce/attempt-1788928785387792075/run.json,passed,chase,1,5924103,4096,5,TSC_ticks/load,1000000,4.031589158203125,0.14413643414480637,4.021484375,4.021484375,4.021484375,4.0205078125,4.021484375,165468,,d30d5a65b578cd73b93566cc66fcc0b40e8fc07cdc5c79ebd1d219489462698f
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/4031ce0ff10893f0/attempt-1788928748008852537/run.json,passed,chase,1,5924101,4096,5,TSC_ticks/load,1000000,4.027940044921875,0.12412735474976737,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,10246,,e2d24a71868927a618cb542d92a74acdddd728313d75596e7f074aaa6fe2d061
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/4e1294f70e769af0/attempt-1788928757506809291/run.json,passed,chase,1,5924102,4096,5,TSC_ticks/load,1000000,4.028561024414063,0.14182468049451039,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,19861,,f5b7dc3145559252d099cfa4387642cc67b4b6123cef4d94749948c135f61898
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/54ed2b266f7a94a9/attempt-1788928808633594486/run.json,passed,chase,4,5924103,4096,7,TSC_ticks/load,1000000,1.024030001953125,0.06080676845883361,1.021484375,1.021484375,1.021484375,1.021484375,1.021484375,6800,,ae0a7accbea605c276dbdccff4949d0ce29de6343127bc97af95ca30f36b81e5
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/687ba779c0c86b56/attempt-1788928799324383738/run.json,passed,chase,1,5924103,4096,7,TSC_ticks/load,1000000,4.027529890625,0.11629676257534724,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,6935,,00e0b5a0551eab3154e997072fb95655171d6b4bf20e03416467ac5583766922
sunbird,comparison,machines/sunbird/independent-load-v1/comparison/7c4b52a3911e1e5e/attempt-1788928817258251500/run.json,passed,chase,1,5924103,4096,7,TSC_ticks/load,1000000,4.028076913085937,0.12092659057580091,4.0185546875,4.017578125,4.0185546875,4.017578125,4.0185546875,17596,,6bc92ecfd871281d0fa668ce6b5497a2d0fd281b09430417ce839db263e46aad
