host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
ookay,page_control,page-backing control,16384,8,0,512,random,5922026,1000000,3.6780443125,0.5126862332601153,3.640625,3.63671875,3.64453125,3.62890625,3.921875,3.6171875,66.953125,0,57949,TSC_ticks,TSC_ticks/access (batch average),1.011319069167459,1.008063750275289,1.0894467225795372,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/09ef7df9f81f7f93/attempt-1788845114062865516/samples.u64.gz,machines/ookay/page_control/page_control/09ef7df9f81f7f93/complete.json
ookay,page_control,page-backing control,4096,8,0,512,random,5922026,1000000,3.65968601953125,0.5166017701436982,3.640625,3.63671875,3.64453125,3.62890625,3.6484375,3.6171875,66.515625,0,23555,TSC_ticks,TSC_ticks/access (batch average),1.0113250517749341,1.0080697136254442,1.0134952772079275,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/742a26d8d16caf54/attempt-1788845027811530493/samples.u64.gz,machines/ookay/page_control/page_control/742a26d8d16caf54/complete.json
ookay,page_control,page-backing control,1024,8,0,512,random,5922026,1000000,3.6562577890625,0.4964925300361153,3.640625,3.63671875,3.64453125,3.62890625,3.6484375,3.6171875,66.53125,0,16881,TSC_ticks,TSC_ticks/access (batch average),1.0113261150598771,1.008070773487796,1.013496342774598,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/7652f53c8295cc01/attempt-1788845034158701413/samples.u64.gz,machines/ookay/page_control/page_control/7652f53c8295cc01/complete.json
ookay,page_control,page-backing control,268435456,8,0,512,random,5922026,1000000,236.67153566015625,4.870641054430486,236.20703125,233.7109375,238.48046875,231.11328125,242.92578125,224.4453125,452.07421875,0,37387,TSC_ticks,TSC_ticks/access (batch average),65.6163760638284,64.20137408947406,67.48278971098289,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/8dc216dca06e838f/attempt-1788845175410970178/samples.u64.gz,machines/ookay/page_control/page_control/8dc216dca06e838f/complete.json
ookay,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,35.36983131640625,2.730507186884395,34.78515625,33.53515625,36.68359375,32.59375,39.4921875,31.16015625,165.83203125,0,12369,TSC_ticks,TSC_ticks/access (batch average),9.662917891120072,9.05417034065198,10.970477246403586,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/946ad6dfc55470b4/attempt-1788845012432016440/samples.u64.gz,machines/ookay/page_control/page_control/946ad6dfc55470b4/complete.json
ookay,page_control,page-backing control,65536,8,0,512,random,5922026,1000000,7.73472896484375,0.8399981761905541,7.66015625,7.48828125,7.85546875,7.3125,8.265625,7.16015625,111.6328125,0,29938,TSC_ticks,TSC_ticks/access (batch average),2.127904481512303,2.0313295203421884,2.296096829617559,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/c393682c95f11b8d/attempt-1788845101790240277/samples.u64.gz,machines/ookay/page_control/page_control/c393682c95f11b8d/complete.json
ookay,page_control,page-backing control,67108864,8,0,512,random,5922026,1000000,226.1221822421875,4.978263889335986,225.625,223.109375,228.0390625,220.390625,232.6171875,208.56640625,446.48046875,0,36034,TSC_ticks,TSC_ticks/access (batch average),62.67574961689789,61.22170694919285,64.6180901953994,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788845056730539360/samples.u64.gz,machines/ookay/page_control/page_control/e78f1f36b5bdfcc9/complete.json
ookay,page_control,page-backing control,16777216,8,0,512,random,5922026,1000000,193.20630382421874,6.321727560988682,192.69921875,189.4453125,196.13671875,184.828125,203.09375,146.578125,412.203125,0,39291,TSC_ticks,TSC_ticks/access (batch average),53.52924494777206,51.34276122415484,56.41670558724868,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/e952e84d554347d9/attempt-1788845134609111122/samples.u64.gz,machines/ookay/page_control/page_control/e952e84d554347d9/complete.json
ookay,page_control,page-backing control,262144,8,0,512,random,5922026,1000000,10.421227546875,0.9963385990320158,10.24609375,10.015625,10.55859375,9.8671875,11.42578125,9.65625,127.55859375,0,53734,TSC_ticks,TSC_ticks/access (batch average),2.846295821951399,2.74103821816593,3.174005062603066,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/ea97dc017b281ef5/attempt-1788845120689161333/samples.u64.gz,machines/ookay/page_control/page_control/ea97dc017b281ef5/complete.json
ookay,page_control,page-backing control,1048576,8,0,512,random,5922026,1000000,28.1640789765625,1.3363152277492092,28.08984375,27.78515625,28.3984375,27.36328125,28.84765625,25.515625,152.2421875,0,13090,TSC_ticks,TSC_ticks/access (batch average),7.803028895576654,7.601198360939294,8.013540313424222,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/ookay/page_control/page_control/eb86a5e6e74cc28b/attempt-1788845040450334142/samples.u64.gz,machines/ookay/page_control/page_control/eb86a5e6e74cc28b/complete.json
