mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4.0,8,1000000,4096,TSC ticks/timer pair,53.841582,54.0,44.179356395864424,52.0,54.0,52.0,56.0,3344,0
random,4.0,8,1000000,4096,TSC ticks/access,3.5643794096679686,3.5380859375,0.804800932140702,3.533203125,3.54296875,3.529296875,3.591796875,201374,0
random,8.0,8,1000000,4096,TSC ticks/access,3.5678836591796874,3.5390625,0.6666051149195129,3.533203125,3.5634765625,3.529296875,3.599609375,37263,0
random,16.0,8,1000000,4096,TSC ticks/access,3.571965868652344,3.53955078125,0.7467171598166349,3.53369140625,3.56787109375,3.529296875,3.60986328125,41796,0
random,32.0,8,1000000,4096,TSC ticks/access,3.631900052734375,3.5859375,2.946373706727695,3.57421875,3.62744140625,3.5654296875,3.6904296875,38347,0
random,64.0,8,1000000,4096,TSC ticks/access,7.452733075683594,7.4052734375,1.1640015305337168,7.36083984375,7.45703125,7.31103515625,7.59375,47429,0
random,128.0,8,1000000,4096,TSC ticks/access,10.785583262695312,10.68603515625,7.606438933914209,10.587890625,10.78955078125,10.47021484375,11.0087890625,31659,0
random,256.0,8,1000000,4096,TSC ticks/access,15.355623071777345,15.2216796875,5.553550629184176,15.09912109375,15.365234375,14.94384765625,15.6904296875,39787,0
random,512.0,8,1000000,4096,TSC ticks/access,27.43770184716797,27.23388671875,13.73466914540289,27.0927734375,27.39599609375,26.9228515625,27.75146484375,42377,0
random,1024.0,8,1000000,4096,TSC ticks/access,34.908022942382814,34.66162109375,14.676251119324027,34.5029296875,34.77197265625,34.3173828125,35.1162109375,46744,0
random,2048.0,8,1000000,4096,TSC ticks/access,41.623576526855466,38.54638671875,107.97549540735001,38.4501953125,38.6513671875,38.30078125,40.75146484375,75222,0
random,4096.0,8,1000000,4096,TSC ticks/access,43.6970457915039,43.40234375,8.59093589130011,43.04736328125,43.8212890625,42.5947265625,45.46826171875,64829,0
random,8192.0,8,1000000,4096,TSC ticks/access,129.5467842241211,128.85400390625,29.202462120387626,126.93701171875,130.96533203125,124.3876953125,134.97998046875,31424,0
random,16384.0,8,1000000,4096,TSC ticks/access,203.45706593408204,202.7060546875,27.859560867484987,201.16845703125,204.43212890625,199.15576171875,207.490234375,26790,0
random,32768.0,8,1000000,4096,TSC ticks/access,236.78580848486328,235.86328125,19.84786763286802,234.7734375,237.47998046875,233.43212890625,239.94240722656247,22764,0
random,65536.0,8,1000000,4096,TSC ticks/access,254.74263998242188,253.61279296875,31.004213689790788,252.8154296875,255.32373046875,251.8525390625,257.2919921875,21027,0
random,131072.0,8,1000000,4096,TSC ticks/access,268.3155038139648,267.06494140625,30.110537041341416,266.341796875,268.86181640625,265.50439453125,270.53076171875,18324,0
random,262144.0,8,1000000,4096,TSC ticks/access,276.5080480751953,275.15478515625,43.63096493705939,274.45751953125,277.02392578125,273.65673828125,278.58740234375,17972,0
sequential,4.0,8,1000000,4096,TSC ticks/access,3.561575994140625,3.53759765625,0.9402852305292154,3.53271484375,3.54248046875,3.529296875,3.58056640625,162121,0
sequential,8.0,8,1000000,4096,TSC ticks/access,3.564452991699219,3.53857421875,0.7526403619810382,3.533203125,3.54345703125,3.529296875,3.59912109375,217264,0
sequential,16.0,8,1000000,4096,TSC ticks/access,3.5764567485351564,3.53955078125,2.2846581132431423,3.53369140625,3.5712890625,3.529296875,3.62255859375,43560,0
sequential,32.0,8,1000000,4096,TSC ticks/access,3.6182072119140627,3.583984375,2.337722958374021,3.572265625,3.62060546875,3.53369140625,3.6826171875,42128,0
sequential,64.0,8,1000000,4096,TSC ticks/access,3.87950875,3.5888671875,1.0525002092404,3.5546875,4.41748046875,3.5458984375,4.4853515625,4567,0
sequential,128.0,8,1000000,4096,TSC ticks/access,3.8058937680664062,3.591796875,3.24495097448677,3.56103515625,3.71826171875,3.55078125,4.5068359375,216367,0
sequential,256.0,8,1000000,4096,TSC ticks/access,3.682836968261719,3.6201171875,0.44344354991702106,3.59033203125,3.64990234375,3.572265625,4.00732421875,81856,0
sequential,512.0,8,1000000,4096,TSC ticks/access,3.725248531738281,3.6279296875,7.1419061366637475,3.6220703125,3.63720703125,3.61572265625,4.59033203125,161668,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,4.279452866210938,4.60302734375,0.7977851489578122,3.6318359375,4.61328125,3.62060546875,4.64453125,3743,0
sequential,2048.0,8,1000000,4096,TSC ticks/access,3.822562553222656,3.6298828125,7.370043966041491,3.6240234375,3.658203125,3.61767578125,4.61767578125,167855,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,4.079562962890625,3.71923828125,0.9890243036826879,3.65185546875,4.6435546875,3.62353515625,4.837890625,3855,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,4.491195311035156,4.23193359375,1.7245574982217968,4.0302734375,5.02880859375,3.904296875,5.26953125,5188,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,4.308644170898438,4.2529296875,0.6532982714461555,4.07080078125,4.3544921875,4.01123046875,5.16796875,80927,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,4.667619980957031,4.3671875,2.9510003786134065,4.19921875,5.1806640625,4.0380859375,5.412109375,5531,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,4.634206301757812,4.3486328125,0.8823451342968621,4.189453125,5.16748046875,4.0380859375,5.40478515625,5302,0
sequential,131072.0,8,1000000,4096,TSC ticks/access,4.869086511230469,5.09765625,1.837255265305111,4.2841796875,5.26513671875,4.05224609375,5.43798828125,5531,0
sequential,262144.0,8,1000000,4096,TSC ticks/access,4.257909165039062,4.23974609375,0.5209696552751639,4.087890625,4.32861328125,4.02880859375,4.47021484375,23587,0
