mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,128.0,8,1000000,4096,TSC ticks/timer pair,53.97339,54.0,119.7560095753434,52.0,54.0,52.0,56.0,3274,0
random,128.0,8,1000000,4096,TSC ticks/access,9.325403922851562,9.13134765625,21.43403132441756,9.0625,9.21826171875,8.98681640625,9.4345703125,44740,0
random,160.0,8,1000000,4096,TSC ticks/access,11.45212044189453,11.3359375,6.370944057645338,11.2265625,11.4521484375,11.06787109375,11.70556640625,33482,0
random,192.0,8,1000000,4096,TSC ticks/access,11.538485518066405,11.3515625,14.44087357618106,11.25146484375,11.47119140625,11.12841796875,11.74462890625,38958,0
random,224.0,8,1000000,4096,TSC ticks/access,17.545996002929687,17.3837890625,5.505510313434477,17.2451171875,17.54345703125,17.07177734375,17.8681640625,33686,0
random,256.0,8,1000000,4096,TSC ticks/access,14.990106975097657,14.83251953125,5.179131171393152,14.65966796875,15.0146484375,14.4140625,15.380395507812466,33481,0
random,288.0,8,1000000,4096,TSC ticks/access,20.470365702148438,20.31494140625,3.913040866580507,20.1015625,20.5224609375,19.833984375,20.9130859375,31251,0
random,320.0,8,1000000,4096,TSC ticks/access,18.72600171826172,18.53076171875,9.718488893532292,18.38720703125,18.6875,18.18701171875,19.07861328125,44815,0
random,352.0,8,1000000,4096,TSC ticks/access,20.427483240722655,20.162109375,13.750805222333414,20.01953125,20.32958984375,19.837890625,20.8134765625,51700,0
random,384.0,8,1000000,4096,TSC ticks/access,23.07722593457031,22.865234375,5.83877952683243,22.71435546875,23.02099609375,22.47607421875,23.4521484375,49774,0
random,448.0,8,1000000,4096,TSC ticks/access,25.698322243652346,25.36962890625,15.283688030900855,25.21923828125,25.55908203125,25.02978515625,26.0849609375,51219,0
random,512.0,8,1000000,4096,TSC ticks/access,26.92117512402344,26.59619140625,15.079191219490161,26.4736328125,26.80224609375,26.33935546875,27.1005859375,41466,0
random,768.0,8,1000000,4096,TSC ticks/access,32.304181278320314,31.9853515625,21.69600646678887,31.84228515625,32.109375,31.64453125,32.4296875,46682,0
random,1024.0,8,1000000,4096,TSC ticks/access,35.02852693847656,34.6328125,22.022045980478573,34.525390625,34.77587890625,34.3525390625,35.109375,51282,0
sequential,128.0,8,1000000,4096,TSC ticks/access,3.6452278041992185,3.56201171875,1.5538879218224315,3.552734375,3.60107421875,3.5458984375,3.87109375,104153,0
sequential,160.0,8,1000000,4096,TSC ticks/access,3.841716002441406,3.60888671875,1.8740266865129733,3.57470703125,3.791015625,3.55712890625,4.55126953125,230320,0
sequential,192.0,8,1000000,4096,TSC ticks/access,3.730935677734375,3.6171875,1.514092004253103,3.5830078125,3.6669921875,3.56005859375,4.5234375,122750,0
sequential,224.0,8,1000000,4096,TSC ticks/access,4.165400780273438,4.470703125,5.4637319786750975,3.62939453125,4.587890625,3.57861328125,4.70068359375,4097,0
sequential,256.0,8,1000000,4096,TSC ticks/access,3.959338443847656,3.6640625,2.0857758823794788,3.61865234375,4.533203125,3.578125,4.66650390625,3914,0
sequential,288.0,8,1000000,4096,TSC ticks/access,4.041477547851563,3.65576171875,7.519665326812792,3.6181640625,4.5888671875,3.591796875,4.658203125,3449,0
sequential,320.0,8,1000000,4096,TSC ticks/access,4.019421946289063,3.66650390625,1.8679382977771029,3.62548828125,4.58935546875,3.6015625,4.6689453125,3878,0
sequential,352.0,8,1000000,4096,TSC ticks/access,4.400292345703125,4.6044921875,1.8102748720506254,3.7392578125,4.63623046875,3.6181640625,4.72998046875,4532,0
sequential,384.0,8,1000000,4096,TSC ticks/access,4.410718958007813,4.60009765625,3.8011200017232696,4.52978515625,4.62451171875,3.6181640625,4.6708984375,264349,0
sequential,448.0,8,1000000,4096,TSC ticks/access,4.189633332519532,4.5791015625,2.383908881528492,3.62939453125,4.6123046875,3.6162109375,4.654296875,3556,0
sequential,512.0,8,1000000,4096,TSC ticks/access,3.8360071655273438,3.63232421875,1.9299876672701641,3.6240234375,3.67041015625,3.61572265625,4.62744140625,183443,0
sequential,768.0,8,1000000,4096,TSC ticks/access,3.734729154296875,3.6298828125,1.9141692376024402,3.62451171875,3.63671875,3.6181640625,4.60546875,170663,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,3.8446906123046873,3.63037109375,4.4285348109629785,3.62451171875,3.66015625,3.6181640625,4.61572265625,186622,0
