mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4.0,8,1000000,4096,TSC ticks/timer pair,69.708672,72.0,22.239751945626153,72.0,72.0,48.0,72.0,181673,0
random,4.0,8,1000000,4096,TSC ticks/access,2.9436238359375,2.923828125,0.8635316867749223,2.923828125,2.9296875,2.923828125,2.9296875,22445,0
random,8.0,8,1000000,4096,TSC ticks/access,2.94358892578125,2.923828125,0.8689213138196384,2.923828125,2.9296875,2.923828125,2.9296875,22144,0
random,16.0,8,1000000,4096,TSC ticks/access,2.940817154296875,2.923828125,0.3941412462130498,2.923828125,2.9296875,2.923828125,2.9296875,19402,0
random,32.0,8,1000000,4096,TSC ticks/access,3.01073642578125,2.994140625,0.866357898434495,2.982421875,3.005859375,2.96484375,3.0234375,23971,0
random,64.0,8,1000000,4096,TSC ticks/access,6.1420783828125,6.076171875,0.981072064072923,6.05859375,6.099609375,6.029296875,6.228515625,64239,0
random,128.0,8,1000000,4096,TSC ticks/access,7.47827216015625,7.44140625,0.6147038036775263,7.423828125,7.48828125,7.412109375,7.5,25792,0
random,256.0,8,1000000,4096,TSC ticks/access,8.259427060546875,8.16796875,1.0733700046917276,8.138671875,8.197265625,8.091796875,9.09375,65065,0
random,512.0,8,1000000,4096,TSC ticks/access,14.68571441015625,14.51953125,1.5205681408638438,14.42578125,14.625,14.314453125,16.01953125,95619,0
random,1024.0,8,1000000,4096,TSC ticks/access,22.851532412109375,22.640625,2.0103157490871015,22.517578125,22.8046875,22.37109375,24.193359375,93172,0
random,2048.0,8,1000000,4096,TSC ticks/access,23.66241805078125,23.490234375,1.9883449485697648,23.396484375,23.6015625,23.267578125,24.755859375,90094,0
random,4096.0,8,1000000,4096,TSC ticks/access,26.006421685546876,25.8046875,2.038511922437319,25.72265625,25.904296875,25.634765625,27.076171875,93128,0
random,8192.0,8,1000000,4096,TSC ticks/access,27.077265890625,26.953125,1.9770010793643475,26.888671875,27.017578125,26.818359375,28.0078125,82975,0
random,16384.0,8,1000000,4096,TSC ticks/access,28.93145661328125,28.564453125,2.424165940392993,28.318359375,29.0390625,28.048828125,30.978515625,105423,0
random,32768.0,8,1000000,4096,TSC ticks/access,158.8807197480469,158.326171875,5.835711656600556,156.603515625,160.4765625,154.400390625,164.94140625,25335,0
random,65536.0,8,1000000,4096,TSC ticks/access,217.80030840820314,217.623046875,6.158850780908914,216.275390625,219.01171875,214.388671875,221.16796875,11458,0
random,131072.0,8,1000000,4096,TSC ticks/access,247.60427147460936,247.359375,6.4207118347457035,246.17578125,248.630859375,244.54072265625,250.78125,15351,0
random,262144.0,8,1000000,4096,TSC ticks/access,264.77109741796875,264.486328125,6.58262749954609,263.4375,265.634765625,262.01953125,267.78515625,20130,0
sequential,4.0,8,1000000,4096,TSC ticks/access,2.9594064375,2.923828125,0.8693352720160094,2.923828125,2.9296875,2.923828125,2.9296875,46900,0
sequential,8.0,8,1000000,4096,TSC ticks/access,2.958698302734375,2.923828125,0.8702232559826025,2.923828125,2.9296875,2.923828125,2.9296875,45786,0
sequential,16.0,8,1000000,4096,TSC ticks/access,2.9572630078125,2.923828125,0.40920410124107853,2.923828125,2.9296875,2.923828125,2.9296875,45461,0
sequential,32.0,8,1000000,4096,TSC ticks/access,2.9455419375,2.9296875,0.3883299577040578,2.9296875,2.9296875,2.9296875,2.935546875,130366,0
sequential,64.0,8,1000000,4096,TSC ticks/access,2.9456581640625,2.9296875,0.8639992307579594,2.9296875,2.9296875,2.923828125,2.935546875,227161,0
sequential,128.0,8,1000000,4096,TSC ticks/access,2.9427909140625,2.9296875,0.3890212433462358,2.923828125,2.9296875,2.923828125,2.9296875,21178,0
sequential,256.0,8,1000000,4096,TSC ticks/access,2.95835129296875,2.9296875,0.40395698650536316,2.923828125,2.9296875,2.923828125,2.935546875,48953,0
sequential,512.0,8,1000000,4096,TSC ticks/access,2.96141173828125,2.9296875,0.8728639832565216,2.923828125,2.9296875,2.923828125,2.947265625,98616,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,2.9604114140625,2.9296875,0.8752466978073139,2.923828125,2.9296875,2.923828125,2.947265625,119097,0
sequential,2048.0,8,1000000,4096,TSC ticks/access,2.960739474609375,2.9296875,0.8752290228108365,2.923828125,2.9296875,2.923828125,2.947265625,127717,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,2.94248615625,2.9296875,0.3956521048253567,2.923828125,2.9296875,2.923828125,2.94140625,89565,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,2.95872594140625,2.9296875,0.4082613785783994,2.923828125,2.9296875,2.923828125,2.94140625,104564,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,2.96815255078125,2.9296875,0.4340366392341404,2.923828125,2.9296875,2.923828125,3.064453125,188004,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,3.057133166015625,3.064453125,0.9016444866128372,2.9296875,3.0703125,2.923828125,3.146484375,40144,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,3.040779046875,3.064453125,0.8878463917275977,2.9296875,3.0703125,2.923828125,3.099609375,17066,0
sequential,131072.0,8,1000000,4096,TSC ticks/access,3.040623767578125,3.064453125,0.45158888060869584,2.9296875,3.0703125,2.923828125,3.099609375,18226,0
sequential,262144.0,8,1000000,4096,TSC ticks/access,3.0423068203125,3.064453125,0.43096939238705256,2.9296875,3.0703125,2.923828125,3.099609375,20285,0
