mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,8192.0,8,1000000,4096,TSC ticks/timer pair,69.040368,72.0,28.676194879180336,72.0,72.0,48.0,72.0,164766,0
random,8192.0,8,1000000,4096,TSC ticks/access,27.128727392578124,26.953125,21.639461873270527,26.888671875,27.017578125,26.818359375,27.984375,73838,0
random,12288.0,8,1000000,4096,TSC ticks/access,27.567330474609374,27.380859375,2.2030201021808544,27.31640625,27.462890625,27.240234375,28.517578125,110752,0
random,14336.0,8,1000000,4096,TSC ticks/access,27.632148158203126,27.46875,2.0021832531225456,27.416015625,27.568359375,27.33984375,28.517578125,133585,0
random,16384.0,8,1000000,4096,TSC ticks/access,28.987334830078126,28.611328125,2.376270455218649,28.353515625,29.173828125,28.072265625,31.177734375,99711,0
random,18432.0,8,1000000,4096,TSC ticks/access,60.966383625,60.767578125,4.208643112918238,59.736328125,61.904296875,58.2890625,63.837890625,18165,0
random,20480.0,8,1000000,4096,TSC ticks/access,85.42431108398438,85.25390625,4.240637863968665,83.888671875,86.73046875,81.99609375,89.126953125,11721,0
random,22528.0,8,1000000,4096,TSC ticks/access,104.74878396679688,104.61328125,4.56251792362817,103.166015625,106.13671875,101.150390625,108.474609375,11807,0
random,24576.0,8,1000000,4096,TSC ticks/access,120.83279254101562,120.703125,4.891924305361313,119.162109375,122.291015625,117.005859375,124.72265625,10261,0
random,26624.0,8,1000000,4096,TSC ticks/access,133.37966424023438,133.359375,5.618198686148244,131.47265625,135.181640625,128.390625,137.80078125,11378,0
random,28672.0,8,1000000,4096,TSC ticks/access,142.48316728125,142.18359375,5.720398794033657,139.880859375,144.826171875,137.37890625,148.0078125,2081,0
random,30720.0,8,1000000,4096,TSC ticks/access,151.68765956835938,151.037109375,20.762136811784032,148.93359375,153.931640625,146.4375,157.705078125,4564,0
random,32768.0,8,1000000,4096,TSC ticks/access,158.810110078125,158.279296875,5.9130813772495,156.580078125,160.359375,154.3828125,164.77734375,25711,0
random,49152.0,8,1000000,4096,TSC ticks/access,198.1146317519531,197.958984375,5.960184784641184,196.51171875,199.447265625,194.431640625,201.6796875,10298,0
random,65536.0,8,1000000,4096,TSC ticks/access,217.96282109765625,217.787109375,6.120999093531329,216.41015625,219.2109375,214.494140625,221.396484375,10598,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,2.94497025,2.9296875,0.8690608363929136,2.923828125,2.9296875,2.923828125,2.94140625,81090,0
sequential,12288.0,8,1000000,4096,TSC ticks/access,2.940683994140625,2.9296875,0.3957532896473899,2.923828125,2.9296875,2.923828125,2.94140625,68816,0
sequential,14336.0,8,1000000,4096,TSC ticks/access,2.947490091796875,2.9296875,0.40545439849912884,2.923828125,2.9296875,2.923828125,2.94140625,88575,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,2.95395385546875,2.9296875,0.8864058663063834,2.923828125,2.9296875,2.923828125,3.041015625,165986,0
sequential,18432.0,8,1000000,4096,TSC ticks/access,3.030914056640625,3.052734375,0.8844854644155277,2.9296875,3.064453125,2.923828125,3.09375,14721,0
sequential,20480.0,8,1000000,4096,TSC ticks/access,3.037035169921875,3.05859375,0.4320165005801229,2.9296875,3.0703125,2.923828125,3.099609375,16631,0
sequential,22528.0,8,1000000,4096,TSC ticks/access,3.052551322265625,3.064453125,0.9029576471468166,2.9296875,3.0703125,2.923828125,3.1171875,32910,0
sequential,24576.0,8,1000000,4096,TSC ticks/access,3.037422908203125,3.064453125,0.8843146846739449,2.9296875,3.0703125,2.923828125,3.09375,13539,0
sequential,26624.0,8,1000000,4096,TSC ticks/access,3.039214494140625,3.064453125,0.42762307496599833,2.9296875,3.0703125,2.923828125,3.099609375,16555,0
sequential,28672.0,8,1000000,4096,TSC ticks/access,3.04271084765625,3.064453125,0.42925825351785785,2.9296875,3.0703125,2.923828125,3.099609375,20610,0
sequential,30720.0,8,1000000,4096,TSC ticks/access,3.04191612890625,3.064453125,0.890277789496427,2.9296875,3.0703125,2.923828125,3.099609375,18522,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,3.039835482421875,3.064453125,0.8894236061585072,2.9296875,3.0703125,2.923828125,3.099609375,15716,0
sequential,49152.0,8,1000000,4096,TSC ticks/access,3.0398602734375,3.064453125,0.8861142474789382,2.9296875,3.0703125,2.923828125,3.099609375,16057,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,3.043835865234375,3.064453125,0.8952917380121185,2.9296875,3.0703125,2.923828125,3.099609375,20387,0
