mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,256.0,8,1000000,4096,TSC ticks/timer pair,69.733512,72.0,25.858725506481193,72.0,72.0,48.0,72.0,181487,0
random,256.0,8,1000000,4096,TSC ticks/access,8.19283004296875,8.150390625,1.2768974426275077,8.12109375,8.1796875,8.080078125,8.23828125,35245,0
random,320.0,8,1000000,4096,TSC ticks/access,10.48975679296875,10.412109375,1.3569513039859942,10.353515625,10.48828125,10.265625,10.91015625,63750,0
random,384.0,8,1000000,4096,TSC ticks/access,12.956023939453125,12.896484375,1.3837144382973068,12.826171875,12.966796875,12.732421875,13.212890625,54438,0
random,448.0,8,1000000,4096,TSC ticks/access,13.681648400390625,13.599609375,1.6034864124113666,13.517578125,13.693359375,13.39453125,14.3203125,91617,0
random,512.0,8,1000000,4096,TSC ticks/access,15.106406279296875,15.005859375,1.4577483929465944,14.900390625,15.12890625,14.771484375,15.76171875,84075,0
random,576.0,8,1000000,4096,TSC ticks/access,16.749496921875,16.669921875,1.6668349600692058,16.5234375,16.8046875,16.365234375,17.4140625,63325,0
random,640.0,8,1000000,4096,TSC ticks/access,16.7522628046875,16.634765625,1.6825893989604137,16.541015625,16.7578125,16.40625,17.5546875,88392,0
random,704.0,8,1000000,4096,TSC ticks/access,19.453516341796874,19.32421875,1.7340453175650876,19.189453125,19.517578125,19.01953125,20.35546875,64886,0
random,768.0,8,1000000,4096,TSC ticks/access,20.071495001953124,19.986328125,1.71367138482267,19.857421875,20.12109375,19.623046875,20.84765625,81206,0
random,896.0,8,1000000,4096,TSC ticks/access,21.23130104296875,21.09375,1.7534758923334768,20.98828125,21.234375,20.841796875,22.23046875,90862,0
random,1024.0,8,1000000,4096,TSC ticks/access,23.53589258203125,23.431640625,1.9348542240221676,23.326171875,23.548828125,23.14453125,24.4921875,80161,0
sequential,256.0,8,1000000,4096,TSC ticks/access,2.941894921875,2.9296875,0.8625779404202171,2.923828125,2.9296875,2.923828125,2.935546875,18266,0
sequential,320.0,8,1000000,4096,TSC ticks/access,2.941529642578125,2.9296875,0.37112277720208425,2.923828125,2.9296875,2.923828125,2.935546875,18768,0
sequential,384.0,8,1000000,4096,TSC ticks/access,2.940171955078125,2.9296875,0.8648433925235773,2.923828125,2.9296875,2.923828125,2.94140625,198708,0
sequential,448.0,8,1000000,4096,TSC ticks/access,2.94401171484375,2.9296875,0.3938426186808722,2.923828125,2.9296875,2.923828125,2.9296875,22841,0
sequential,512.0,8,1000000,4096,TSC ticks/access,2.942277884765625,2.9296875,0.8673659143187018,2.923828125,2.9296875,2.923828125,2.94140625,78852,0
sequential,576.0,8,1000000,4096,TSC ticks/access,2.941251990234375,2.9296875,0.38897423954393034,2.923828125,2.9296875,2.923828125,2.94140625,63551,0
sequential,640.0,8,1000000,4096,TSC ticks/access,2.941712337890625,2.9296875,0.396576206483833,2.923828125,2.9296875,2.923828125,2.94140625,143508,0
sequential,704.0,8,1000000,4096,TSC ticks/access,2.941384986328125,2.9296875,0.867452216469497,2.923828125,2.9296875,2.923828125,2.94140625,51466,0
sequential,768.0,8,1000000,4096,TSC ticks/access,2.94229257421875,2.9296875,0.8693592808392329,2.923828125,2.9296875,2.923828125,2.935546875,42788,0
sequential,896.0,8,1000000,4096,TSC ticks/access,2.942202767578125,2.9296875,0.38980429862844684,2.923828125,2.9296875,2.923828125,2.94140625,102164,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,2.938361150390625,2.9296875,0.3866947701855018,2.923828125,2.9296875,2.923828125,2.94140625,139379,0
