mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16.0,8,1000000,4096,TSC ticks/timer pair,69.39876,72.0,36.19086973590787,72.0,72.0,48.0,72.0,173707,0
random,16.0,8,1000000,4096,TSC ticks/access,2.93730146484375,2.923828125,0.384254222447988,2.923828125,2.9296875,2.923828125,2.9296875,13481,0
random,24.0,8,1000000,4096,TSC ticks/access,2.9438573671875,2.923828125,0.8531360334001858,2.923828125,2.9296875,2.923828125,2.9296875,22835,0
random,28.0,8,1000000,4096,TSC ticks/access,2.9417861953125,2.9296875,0.3736053620993794,2.923828125,2.9296875,2.923828125,2.935546875,26030,0
random,32.0,8,1000000,4096,TSC ticks/access,2.993847322265625,2.9765625,0.8686681981089298,2.96484375,2.98828125,2.94140625,3.01171875,25145,0
random,36.0,8,1000000,4096,TSC ticks/access,3.746784826171875,3.71484375,0.44738543566095584,3.697265625,3.732421875,3.673828125,3.7734375,41064,0
random,40.0,8,1000000,4096,TSC ticks/access,4.33546301953125,4.3125,0.469814674188798,4.294921875,4.330078125,4.265625,4.365234375,34393,0
random,44.0,8,1000000,4096,TSC ticks/access,4.73761749609375,4.716796875,0.932115910359547,4.693359375,4.74609375,4.65234375,4.78125,24939,0
random,48.0,8,1000000,4096,TSC ticks/access,5.154774181640625,5.126953125,0.9289386776333963,5.103515625,5.15625,5.07421875,5.185546875,30676,0
random,52.0,8,1000000,4096,TSC ticks/access,5.49044237109375,5.4609375,0.9413081222332035,5.4375,5.478515625,5.4140625,5.51953125,30194,0
random,56.0,8,1000000,4096,TSC ticks/access,5.67958747265625,5.654296875,0.9414430209390195,5.63671875,5.677734375,5.619140625,5.73046875,43421,0
random,60.0,8,1000000,4096,TSC ticks/access,5.87500255078125,5.84765625,0.9478020442875743,5.82421875,5.876953125,5.7890625,5.9296875,27735,0
random,64.0,8,1000000,4096,TSC ticks/access,6.117944173828125,6.076171875,0.9632358093134399,6.05859375,6.099609375,6.052734375,6.10546875,32071,0
sequential,16.0,8,1000000,4096,TSC ticks/access,2.952495486328125,2.923828125,0.40744098006884083,2.923828125,2.9296875,2.923828125,2.9296875,36414,0
sequential,24.0,8,1000000,4096,TSC ticks/access,2.937356677734375,2.923828125,0.3669898976081426,2.923828125,2.9296875,2.923828125,2.9296875,14083,0
sequential,28.0,8,1000000,4096,TSC ticks/access,2.943764244140625,2.9296875,0.37145958297751114,2.9296875,2.9296875,2.923828125,2.935546875,209142,0
sequential,32.0,8,1000000,4096,TSC ticks/access,2.94143240625,2.9296875,0.8650780237118073,2.9296875,2.9296875,2.9296875,2.935546875,155159,0
sequential,36.0,8,1000000,4096,TSC ticks/access,2.956820197265625,2.9296875,0.8713815601332718,2.9296875,2.9296875,2.923828125,2.935546875,140711,0
sequential,40.0,8,1000000,4096,TSC ticks/access,2.94127482421875,2.9296875,0.8537824567408316,2.9296875,2.9296875,2.923828125,2.9296875,189992,0
sequential,44.0,8,1000000,4096,TSC ticks/access,2.939260751953125,2.9296875,0.8619555054621906,2.9296875,2.9296875,2.923828125,2.9296875,190432,0
sequential,48.0,8,1000000,4096,TSC ticks/access,2.9420484140625,2.9296875,0.8724679677434886,2.9296875,2.9296875,2.923828125,2.935546875,233283,0
sequential,52.0,8,1000000,4096,TSC ticks/access,2.941619830078125,2.9296875,0.3680410574598538,2.9296875,2.9296875,2.923828125,2.9296875,246253,0
sequential,56.0,8,1000000,4096,TSC ticks/access,2.955701220703125,2.9296875,0.4018202297338265,2.9296875,2.9296875,2.923828125,2.935546875,302778,0
sequential,60.0,8,1000000,4096,TSC ticks/access,2.9540616328125,2.9296875,0.8804251123942728,2.9296875,2.9296875,2.923828125,2.9296875,289484,0
sequential,64.0,8,1000000,4096,TSC ticks/access,2.94326187890625,2.9296875,0.8575591037831457,2.923828125,2.9296875,2.923828125,2.935546875,18905,0
