host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
sunbird,page_control,page-backing control,16384,8,0,512,random,5922026,1000000,4.1437491484375,0.3571787845137511,4.1328125,4.1328125,4.1328125,4.1328125,4.140625,4.125,58.015625,0,146860,TSC_ticks,TSC_ticks/access (batch average),1.65317278371745,1.65317278371745,1.6562978740458383,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/09ef7df9f81f7f93/attempt-1788845131457135014/samples.u64.gz,machines/sunbird/page_control/page_control/09ef7df9f81f7f93/complete.json
sunbird,page_control,page-backing control,4096,8,0,512,random,5922026,1000000,4.143745609375,0.3578799939512284,4.1328125,4.1328125,4.1328125,4.1328125,4.140625,4.125,27.1875,0,144781,TSC_ticks,TSC_ticks/access (batch average),1.6531585390443693,1.6531585390443693,1.6562836024452092,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/742a26d8d16caf54/attempt-1788845052219266583/samples.u64.gz,machines/sunbird/page_control/page_control/742a26d8d16caf54/complete.json
sunbird,page_control,page-backing control,1024,8,0,512,random,5922026,1000000,4.144108734375,0.35929479796238317,4.1328125,4.1328125,4.1328125,4.1328125,4.140625,4.125,47.1796875,0,147214,TSC_ticks,TSC_ticks/access (batch average),1.6531544195023251,1.6531544195023251,1.656279475115751,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/7652f53c8295cc01/attempt-1788845055648142366/samples.u64.gz,machines/sunbird/page_control/page_control/7652f53c8295cc01/complete.json
sunbird,page_control,page-backing control,268435456,8,0,512,random,5922026,1000000,203.082748578125,5.137789605203965,202.5546875,200.75,204.546875,198.265625,208.9296875,190.015625,2271.84375,0,45213,TSC_ticks,TSC_ticks/access (batch average),81.0232749133704,79.3076202704329,83.57331897281848,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/8dc216dca06e838f/attempt-1788845169565239973/samples.u64.gz,machines/sunbird/page_control/page_control/8dc216dca06e838f/complete.json
sunbird,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,42.1638293984375,1.6879662829921531,42.0546875,41.7265625,42.390625,41.25,42.8203125,40.4375,752.9453125,0,12640,TSC_ticks,TSC_ticks/access (batch average),16.822156947290495,16.50027655242315,17.128412080271076,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/946ad6dfc55470b4/attempt-1788845031584610656/samples.u64.gz,machines/sunbird/page_control/page_control/946ad6dfc55470b4/complete.json
sunbird,page_control,page-backing control,65536,8,0,512,random,5922026,1000000,8.6178765546875,0.5637469712918644,8.609375,8.4609375,8.7265625,8.3046875,8.890625,8.2109375,117.2109375,0,2773,TSC_ticks,TSC_ticks/access (batch average),3.443817979267042,3.3219405734672103,3.556320200005348,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/c393682c95f11b8d/attempt-1788845124361016514/samples.u64.gz,machines/sunbird/page_control/page_control/c393682c95f11b8d/complete.json
sunbird,page_control,page-backing control,67108864,8,0,512,random,5922026,1000000,174.6949264375,5.386635319080505,174.3671875,171.890625,176.8984375,168.4140625,181.5390625,157.84375,2263.859375,0,34859,TSC_ticks,TSC_ticks/access (batch average),69.74797443514488,67.36668689898374,72.61676965587444,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788845077556192495/samples.u64.gz,machines/sunbird/page_control/page_control/e78f1f36b5bdfcc9/complete.json
sunbird,page_control,page-backing control,16777216,8,0,512,random,5922026,1000000,47.379144703125,2.2142880583535165,47.078125,46.140625,48.1875,45.0234375,50.2578125,42.4375,461.484375,0,24653,TSC_ticks,TSC_ticks/access (batch average),18.831747550912873,18.009850835697126,20.103656155828492,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/e952e84d554347d9/attempt-1788845149875085412/samples.u64.gz,machines/sunbird/page_control/page_control/e952e84d554347d9/complete.json
sunbird,page_control,page-backing control,262144,8,0,512,random,5922026,1000000,11.6264806015625,1.0251564428119577,11.4609375,11.34375,11.609375,11.203125,12.4375,10.984375,276.6171875,0,68543,TSC_ticks,TSC_ticks/access (batch average),4.58445909355102,4.481332201876048,4.97509125898652,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/ea97dc017b281ef5/attempt-1788845134992365656/samples.u64.gz,machines/sunbird/page_control/page_control/ea97dc017b281ef5/complete.json
sunbird,page_control,page-backing control,1048576,8,0,512,random,5922026,1000000,36.6944891640625,1.436554169730802,36.609375,36.15625,37.0234375,35.4921875,37.6875,34.6796875,348.296875,0,11226,TSC_ticks,TSC_ticks/access (batch average),14.644029733413221,14.197146196947559,15.075287971401062,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,5,5,1,1,verified_clean,,machines/sunbird/page_control/page_control/eb86a5e6e74cc28b/attempt-1788845059093749816/samples.u64.gz,machines/sunbird/page_control/page_control/eb86a5e6e74cc28b/complete.json
