mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4.0,8,1000000,4096,TSC ticks/timer pair,63.811758,60.0,59.971241036843566,56.0,72.0,56.0,76.0,69,0
random,4.0,8,1000000,4096,TSC ticks/access,4.031633748046875,4.017578125,0.17689618092330714,4.0166015625,4.017578125,4.015625,4.0185546875,35891,0
random,8.0,8,1000000,4096,TSC ticks/access,4.047134551269531,4.017578125,0.5075077069347822,4.0166015625,4.017578125,4.015625,4.0185546875,30140,0
random,16.0,8,1000000,4096,TSC ticks/access,4.0480074655761715,4.017578125,0.4785739857916437,4.0166015625,4.017578125,4.015625,4.01953125,51596,0
random,32.0,8,1000000,4096,TSC ticks/access,4.0902881374511715,4.048828125,0.5339923788035463,4.041015625,4.0625,4.033203125,4.0830078125,27689,0
random,64.0,8,1000000,4096,TSC ticks/access,8.386148298583985,8.3359375,0.4077371323805467,8.314453125,8.3466796875,8.30859375,8.3603515625,29757,0
random,128.0,8,1000000,4096,TSC ticks/access,10.326735848144532,10.2109375,0.887611122137597,10.2021484375,10.2861328125,10.185546875,10.2998046875,33979,0
random,256.0,8,1000000,4096,TSC ticks/access,12.646875313476562,12.302734375,1.9180100732185388,12.234375,12.384765625,12.1416015625,14.6865234375,109294,0
random,512.0,8,1000000,4096,TSC ticks/access,33.055913283935546,32.72265625,1.9733913097760156,32.5791015625,32.9169921875,32.173828125,35.0380859375,123289,0
random,1024.0,8,1000000,4096,TSC ticks/access,42.77443011425781,42.52734375,1.678509736777276,42.34375,42.69921875,42.12109375,44.658203125,101588,0
random,2048.0,8,1000000,4096,TSC ticks/access,40.41332263476563,40.19140625,2.0163294486611596,40.083984375,40.35546875,39.8408203125,42.0869140625,92693,0
random,4096.0,8,1000000,4096,TSC ticks/access,42.22232628540039,42.03515625,1.927669867084647,41.904296875,42.1787109375,41.7138671875,43.865234375,88995,0
random,8192.0,8,1000000,4096,TSC ticks/access,43.12183543579101,42.9384765625,1.6786832273896863,42.8369140625,43.03515625,42.6611328125,44.751953125,102245,0
random,16384.0,8,1000000,4096,TSC ticks/access,43.59943272070313,43.380859375,1.6399122452928074,43.298828125,43.5,43.177734375,45.2158203125,104948,0
random,32768.0,8,1000000,4096,TSC ticks/access,72.72613490429687,71.0380859375,7.401241153578889,68.80078125,74.587890625,66.7626953125,82.072265625,42930,0
random,65536.0,8,1000000,4096,TSC ticks/access,142.5824735703125,141.9052734375,4.699982071131256,140.4658203125,143.5546875,138.5693359375,148.4189453125,52805,0
random,131072.0,8,1000000,4096,TSC ticks/access,178.73772572949218,178.19921875,6.421635788914685,177.068359375,179.5908203125,175.6875,183.484375,51580,0
random,262144.0,8,1000000,4096,TSC ticks/access,194.98028045800783,194.470703125,4.280105608860932,193.5048828125,195.732666015625,192.3427734375,198.837890625,46509,0
sequential,4.0,8,1000000,4096,TSC ticks/access,4.04236243359375,4.017578125,0.32010822768366065,4.0166015625,4.017578125,4.015625,4.0185546875,25868,0
sequential,8.0,8,1000000,4096,TSC ticks/access,4.047991150634766,4.017578125,1.0191102646925085,4.0166015625,4.017578125,4.015625,4.0185546875,45032,0
sequential,16.0,8,1000000,4096,TSC ticks/access,4.045772877441406,4.017578125,0.8273969598244312,4.0166015625,4.017578125,4.015625,4.0185546875,34433,0
sequential,32.0,8,1000000,4096,TSC ticks/access,4.072999167236328,4.0458984375,0.42422750552647787,4.0439453125,4.0693359375,4.0205078125,4.0732421875,24930,0
sequential,64.0,8,1000000,4096,TSC ticks/access,4.046065887451172,4.01953125,0.2560905114688578,4.0185546875,4.0205078125,4.0166015625,4.021484375,33158,0
sequential,128.0,8,1000000,4096,TSC ticks/access,4.05095202368164,4.021484375,0.7462707441436233,4.0205078125,4.0234375,4.01953125,4.0263671875,38517,0
sequential,256.0,8,1000000,4096,TSC ticks/access,4.05556168334961,4.025390625,1.042864695267867,4.0205078125,4.02734375,4.0166015625,4.060546875,64924,0
sequential,512.0,8,1000000,4096,TSC ticks/access,4.050134052001953,4.0185546875,0.4525899849444137,4.0166015625,4.01953125,4.0166015625,4.0703125,146922,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,4.052557251464844,4.021484375,0.2568657736545788,4.0185546875,4.0263671875,4.017578125,4.0751953125,60418,0
sequential,2048.0,8,1000000,4096,TSC ticks/access,4.049341044189453,4.0185546875,0.2637588990747276,4.017578125,4.0185546875,4.017578125,4.068359375,79156,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,4.0470077839355465,4.0185546875,0.4488951477955229,4.0166015625,4.0185546875,4.0166015625,4.0673828125,67195,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,4.0442469704589845,4.0185546875,0.264555970973699,4.0166015625,4.0185546875,4.0166015625,4.0693359375,64770,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,4.068337915771484,4.0185546875,0.4829978948234642,4.017578125,4.01953125,4.017578125,4.2421875,148835,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,4.197283350585938,4.171875,0.3542524396912191,4.11328125,4.205078125,4.01953125,4.3310546875,48919,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,4.22938351953125,4.1845703125,1.2075125069091401,4.134765625,4.208984375,4.0283203125,4.451171875,80813,0
sequential,131072.0,8,1000000,4096,TSC ticks/access,4.22630209375,4.18359375,1.3847149212929144,4.1337890625,4.20703125,4.0283203125,4.43359375,71521,0
sequential,262144.0,8,1000000,4096,TSC ticks/access,4.2225180341796875,4.181640625,0.8517371677173668,4.1328125,4.20703125,4.0283203125,4.40625,57802,0
