mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16384.0,8,1000000,4096,TSC ticks/timer pair,57.862164,56.0,52.61354982723298,56.0,60.0,56.0,60.0,3847,0
random,16384.0,8,1000000,4096,TSC ticks/access,43.67340125195312,43.404296875,2.1336445684351144,43.2939453125,43.529296875,43.1474609375,45.357421875,117498,0
random,18432.0,8,1000000,4096,TSC ticks/access,45.461812860351564,43.5361328125,7.801665665607732,43.3779296875,44.9091796875,43.2197265625,51.708984375,107614,0
random,20480.0,8,1000000,4096,TSC ticks/access,44.36909408789062,43.7255859375,3.8032958467330737,43.5517578125,44.0771484375,43.3603515625,46.48828125,130592,0
random,22528.0,8,1000000,4096,TSC ticks/access,45.36499261816406,44.6298828125,3.7900177905532297,44.2412109375,45.3720703125,43.8974609375,48.1552734375,75325,0
random,24576.0,8,1000000,4096,TSC ticks/access,44.855411131835936,44.1943359375,3.2853484354345026,43.955078125,44.650390625,43.703125,47.33984375,119642,0
random,26624.0,8,1000000,4096,TSC ticks/access,55.569119370117185,54.5517578125,5.448816911488826,53.64453125,55.8603515625,52.6455078125,60.12797851562493,60155,0
random,28672.0,8,1000000,4096,TSC ticks/access,60.99045012695313,59.703125,6.22060670428579,58.5439453125,61.3994140625,57.2919921875,68.0791015625,67866,0
random,30720.0,8,1000000,4096,TSC ticks/access,83.31396569238281,72.1376953125,25.969708349583517,65.20703125,98.3486328125,62.2734375,132.146484375,16915,0
random,32768.0,8,1000000,4096,TSC ticks/access,75.58446787304688,73.29296875,12.128387037914795,71.00390625,76.4541015625,68.7412109375,89.9326171875,68651,0
random,40960.0,8,1000000,4096,TSC ticks/access,104.40300764160156,103.1240234375,6.478452698757148,101.29296875,105.39453125,99.1787109375,113.60844726562493,60315,0
random,49152.0,8,1000000,4096,TSC ticks/access,121.8137877734375,120.732421875,5.724760510489593,119.12890625,122.71484375,117.1943359375,130.1904296875,62140,0
random,57344.0,8,1000000,4096,TSC ticks/access,134.81446087597655,133.2841796875,11.446732324224792,131.7490234375,135.19921875,129.865234375,146.2802734375,76994,0
random,65536.0,8,1000000,4096,TSC ticks/access,142.19277076757814,141.3681640625,4.736471286934723,140.0224609375,142.9814453125,138.3525390625,148.857421875,60905,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,4.043262573242187,4.0205078125,0.4680446542343643,4.0185546875,4.0224609375,4.017578125,4.0693359375,60359,0
sequential,18432.0,8,1000000,4096,TSC ticks/access,4.041670185058594,4.0185546875,0.447064827773883,4.0166015625,4.0185546875,4.0166015625,4.0703125,66185,0
sequential,20480.0,8,1000000,4096,TSC ticks/access,4.041007969726563,4.0185546875,0.5071092353332777,4.017578125,4.0185546875,4.017578125,4.0654296875,63604,0
sequential,22528.0,8,1000000,4096,TSC ticks/access,4.103582444580078,4.0537109375,0.9042999999135268,4.017578125,4.1259765625,4.0166015625,4.2255859375,33193,0
sequential,24576.0,8,1000000,4096,TSC ticks/access,4.05086626953125,4.0185546875,0.4592389595433191,4.0166015625,4.01953125,4.0166015625,4.1376953125,166841,0
sequential,26624.0,8,1000000,4096,TSC ticks/access,4.077186922607422,4.01953125,0.4808292680531968,4.017578125,4.0888671875,4.0166015625,4.19921875,52542,0
sequential,28672.0,8,1000000,4096,TSC ticks/access,4.166497139648437,4.1298828125,0.576192980596537,4.0712890625,4.1826171875,4.017578125,4.373046875,54971,0
sequential,30720.0,8,1000000,4096,TSC ticks/access,4.182463906982422,4.1494140625,0.9361445626796603,4.095703125,4.1962890625,4.01953125,4.318359375,47097,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,4.199885298828125,4.169921875,0.5735271272361704,4.1162109375,4.201171875,4.0185546875,4.3330078125,50452,0
sequential,40960.0,8,1000000,4096,TSC ticks/access,4.213598070556641,4.1826171875,0.5685532106660063,4.123046875,4.2080078125,4.021484375,4.353515625,51554,0
sequential,49152.0,8,1000000,4096,TSC ticks/access,4.219386923339844,4.1845703125,0.6075573313191465,4.12890625,4.20703125,4.025390625,4.3935546875,59058,0
sequential,57344.0,8,1000000,4096,TSC ticks/access,4.218881557617188,4.1787109375,0.571482686141702,4.1337890625,4.20703125,4.029296875,4.3544921875,54895,0
sequential,65536.0,8,1000000,4096,TSC ticks/access,4.220315208007812,4.177734375,0.5956241277610478,4.1328125,4.2060546875,4.0283203125,4.34765625,54490,0
