mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,128.0,8,1000000,4096,TSC ticks/timer pair,73.020205,72.0,66.19261072219231,62.0,85.0,56.0,93.0,84,0
random,128.0,8,1000000,4096,TSC ticks/access,10.319717959472657,10.212890625,0.9158049070761624,10.1962890625,10.2939453125,10.1767578125,10.3046875,33724,0
random,160.0,8,1000000,4096,TSC ticks/access,10.767086943115235,10.5908203125,1.3991611871656486,10.5595703125,10.666015625,10.490234375,10.7099609375,42722,0
random,192.0,8,1000000,4096,TSC ticks/access,13.86467327734375,13.6640625,1.5610064175191,13.5693359375,13.76171875,13.4462890625,14.1064453125,52781,0
random,224.0,8,1000000,4096,TSC ticks/access,13.908190388183593,13.6494140625,1.6594117167529094,13.556640625,13.751953125,13.4287109375,15.17578125,72125,0
random,256.0,8,1000000,4096,TSC ticks/access,15.939396301513671,15.5859375,2.1544342175534092,15.4609375,15.7353515625,15.306640625,17.91796875,106512,0
random,288.0,8,1000000,4096,TSC ticks/access,21.3663123046875,18.6650390625,5.402033125183262,18.4716796875,21.1865234375,18.2314453125,32.0751953125,180182,0
random,320.0,8,1000000,4096,TSC ticks/access,21.91097362866211,21.603515625,2.1335552919414273,21.38671875,21.73046875,21.1767578125,23.7314453125,92210,0
random,352.0,8,1000000,4096,TSC ticks/access,23.820659242919923,23.390625,2.3525155374859414,23.2705078125,23.63671875,23.1474609375,25.9990234375,110228,0
random,384.0,8,1000000,4096,TSC ticks/access,26.64058916357422,26.23046875,2.3959718794328673,26.0146484375,26.4599609375,25.763671875,28.8408203125,101840,0
random,448.0,8,1000000,4096,TSC ticks/access,30.272325813476563,29.947265625,2.381254064841655,29.6416015625,30.16796875,29.453125,32.376953125,92815,0
random,512.0,8,1000000,4096,TSC ticks/access,33.11497994702148,32.751953125,2.2680855361461316,32.6015625,33.0068359375,32.388623046875004,35.109375,98524,0
random,768.0,8,1000000,4096,TSC ticks/access,39.61506543847656,39.3203125,2.2532351264998556,39.12890625,39.560546875,38.8720703125,41.57421875,100488,0
random,1024.0,8,1000000,4096,TSC ticks/access,42.77295939306641,42.537109375,2.154513221223885,42.337890625,42.697265625,42.0,44.66015625,103152,0
sequential,128.0,8,1000000,4096,TSC ticks/access,4.046643663085938,4.0234375,0.4876519162088608,4.021484375,4.02734375,4.0205078125,4.029296875,33336,0
sequential,160.0,8,1000000,4096,TSC ticks/access,4.052786265625,4.0205078125,0.4724740020930852,4.01953125,4.021484375,4.017578125,4.0283203125,166825,0
sequential,192.0,8,1000000,4096,TSC ticks/access,4.052896012695313,4.0263671875,0.4576516120295294,4.021484375,4.0302734375,4.01953125,4.0390625,45234,0
sequential,224.0,8,1000000,4096,TSC ticks/access,4.059468764160156,4.0244140625,1.1478319448037408,4.0234375,4.029296875,4.01953125,4.0693359375,70753,0
sequential,256.0,8,1000000,4096,TSC ticks/access,4.063708561767578,4.0263671875,0.5320837630442926,4.0234375,4.0302734375,4.0205078125,4.078125,106621,0
sequential,288.0,8,1000000,4096,TSC ticks/access,4.0595647734375,4.021484375,1.2045701364819525,4.017578125,4.0283203125,4.0166015625,4.1865234375,87390,0
sequential,320.0,8,1000000,4096,TSC ticks/access,4.0574132233886715,4.0234375,0.47964036804865356,4.0205078125,4.0263671875,4.0185546875,4.060546875,101465,0
sequential,352.0,8,1000000,4096,TSC ticks/access,4.055258029296875,4.021484375,0.47744387954576645,4.01953125,4.0244140625,4.017578125,4.0673828125,63739,0
sequential,384.0,8,1000000,4096,TSC ticks/access,4.055356786132813,4.021484375,0.4663994833371496,4.01953125,4.025390625,4.0166015625,4.0693359375,137339,0
sequential,448.0,8,1000000,4096,TSC ticks/access,4.053760985595703,4.0224609375,0.5180183744466204,4.0185546875,4.0263671875,4.0166015625,4.0693359375,70338,0
sequential,512.0,8,1000000,4096,TSC ticks/access,4.053736036132812,4.0224609375,0.47266665807594516,4.0185546875,4.0263671875,4.0166015625,4.07421875,61767,0
sequential,768.0,8,1000000,4096,TSC ticks/access,4.053723730712891,4.021484375,0.8736703453219754,4.0205078125,4.0263671875,4.0166015625,4.0732421875,62095,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,4.0599942685546875,4.0244140625,0.4950711209011132,4.021484375,4.02734375,4.017578125,4.078125,114962,0
