mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16.0,8,1000000,4096,TSC ticks/timer pair,72.935857,72.0,109.97839051341829,62.0,85.0,56.0,94.0,63,0
random,16.0,8,1000000,4096,TSC ticks/access,4.053256421875,4.017578125,0.4718983702552679,4.0166015625,4.017578125,4.015625,4.18408203125,79621,0
random,24.0,8,1000000,4096,TSC ticks/access,4.055307693603516,4.017578125,0.8598210630680506,4.0166015625,4.017578125,4.015625,4.0244140625,187465,0
random,28.0,8,1000000,4096,TSC ticks/access,4.06404778515625,4.017578125,0.5617656605454346,4.0166015625,4.0205078125,4.015625,4.0380859375,181494,0
random,32.0,8,1000000,4096,TSC ticks/access,4.101273259765625,4.0517578125,0.5496556548958722,4.0439453125,4.0625,4.0361328125,4.080078125,31117,0
random,36.0,8,1000000,4096,TSC ticks/access,5.133731033691406,5.0771484375,0.9902884649112028,5.05859375,5.0966796875,5.0322265625,5.1328125,37613,0
random,40.0,8,1000000,4096,TSC ticks/access,5.997116219482422,5.9365234375,0.9734611982531578,5.9189453125,5.9541015625,5.8935546875,5.986328125,35985,0
random,44.0,8,1000000,4096,TSC ticks/access,6.531970275878907,6.4833984375,0.6617374215410313,6.46484375,6.501953125,6.4345703125,6.5302734375,29369,0
random,48.0,8,1000000,4096,TSC ticks/access,7.095832590576172,7.0498046875,0.6953756589077277,7.0,7.0546875,6.990234375,7.064453125,32108,0
random,52.0,8,1000000,4096,TSC ticks/access,7.541290509033203,7.486328125,0.6903098374230179,7.4599609375,7.501953125,7.431640625,7.5458984375,30404,0
random,56.0,8,1000000,4096,TSC ticks/access,7.805657775146484,7.7470703125,0.7172767098797341,7.7294921875,7.763671875,7.7216796875,7.7998046875,29306,0
random,60.0,8,1000000,4096,TSC ticks/access,8.088184097412109,8.0078125,1.3292082635085902,7.96875,8.048828125,7.9267578125,8.0947265625,44499,0
random,64.0,8,1000000,4096,TSC ticks/access,8.414340408447266,8.33984375,1.3530166066103975,8.3232421875,8.3505859375,8.3125,8.3720703125,46905,0
sequential,16.0,8,1000000,4096,TSC ticks/access,4.040622646728516,4.017578125,0.48151610004246265,4.0166015625,4.017578125,4.015625,4.0205078125,51780,0
sequential,24.0,8,1000000,4096,TSC ticks/access,4.0483357353515625,4.017578125,0.4837518964620668,4.0166015625,4.017578125,4.015625,4.021484375,72680,0
sequential,28.0,8,1000000,4096,TSC ticks/access,4.045207239257812,4.017578125,1.239104473020213,4.0166015625,4.017578125,4.015625,4.1513671875,184161,0
sequential,32.0,8,1000000,4096,TSC ticks/access,4.0717194133300785,4.046875,0.5014973985159997,4.0400390625,4.0615234375,4.01953125,4.0693359375,25961,0
sequential,36.0,8,1000000,4096,TSC ticks/access,4.0481582578125,4.021484375,0.49350026684857057,4.021484375,4.0244140625,4.0205078125,4.029296875,69376,0
sequential,40.0,8,1000000,4096,TSC ticks/access,4.051403239501953,4.0234375,0.8472512962591715,4.0224609375,4.0244140625,4.0205078125,4.025390625,31788,0
sequential,44.0,8,1000000,4096,TSC ticks/access,4.053728644042969,4.0244140625,0.46427684370160643,4.0234375,4.0263671875,4.0224609375,4.029296875,29290,0
sequential,48.0,8,1000000,4096,TSC ticks/access,4.0559623122558595,4.0224609375,0.47270285136444823,4.0205078125,4.0302734375,4.01953125,4.0322265625,34164,0
sequential,52.0,8,1000000,4096,TSC ticks/access,4.050045792480469,4.0224609375,0.46113341961768456,4.0205078125,4.0224609375,4.01953125,4.025390625,43469,0
sequential,56.0,8,1000000,4096,TSC ticks/access,4.052460247802735,4.02734375,0.4500240878301493,4.0244140625,4.0283203125,4.0205078125,4.0302734375,30017,0
sequential,60.0,8,1000000,4096,TSC ticks/access,4.056076455078125,4.0244140625,0.4664199240040533,4.0234375,4.0263671875,4.0166015625,4.0302734375,138622,0
sequential,64.0,8,1000000,4096,TSC ticks/access,4.048717913574219,4.0244140625,0.44637092749542717,4.0234375,4.025390625,4.0224609375,4.0263671875,28936,0
