host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
thunderbird,page_control,page-backing control,65536,8,0,1024,random,5922026,1000000,0.03509453515625,0.0036802066467426725,0.03515625,0.03515625,0.03515625,0.0341796875,0.0361328125,0.0341796875,3.640625,0,184934,CNTVCT_ticks,CNTVCT_ticks/access (batch average),1.40625,1.3671875,1.4453125,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/0cdf36345d0afcdb/attempt-1788846050874474615/samples.u64.gz,machines/thunderbird/page_control/page_control/0cdf36345d0afcdb/complete.json
thunderbird,page_control,page-backing control,16777216,8,0,1024,random,5922026,1000000,0.7886712705078125,0.02066788946132238,0.787109375,0.7802734375,0.794921875,0.7705078125,0.80859375,0.74609375,4.7255859375,0,17525,CNTVCT_ticks,CNTVCT_ticks/access (batch average),31.484375,30.8203125,32.34375,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/1d3d4a73ea50dec8/attempt-1788846067235649637/samples.u64.gz,machines/thunderbird/page_control/page_control/1d3d4a73ea50dec8/complete.json
thunderbird,page_control,page-backing control,1024,8,0,1024,random,5922026,1000000,0.0343228251953125,0.0035395623995842034,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.03515625,0.0341796875,3.484375,0,137058,CNTVCT_ticks,CNTVCT_ticks/access (batch average),1.3671875,1.3671875,1.40625,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/2496ad78fd6cc89b/attempt-1788845944479162911/samples.u64.gz,machines/thunderbird/page_control/page_control/2496ad78fd6cc89b/complete.json
thunderbird,page_control,page-backing control,262144,8,0,1024,random,5922026,1000000,0.0924769111328125,0.0050593976317287485,0.0927734375,0.091796875,0.0927734375,0.0908203125,0.0947265625,0.08984375,3.5107421875,0,126763,CNTVCT_ticks,CNTVCT_ticks/access (batch average),3.7109375,3.6328125,3.7890625,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/2bd2e00a8bcd7dc6/attempt-1788846060302120263/samples.u64.gz,machines/thunderbird/page_control/page_control/2bd2e00a8bcd7dc6/complete.json
thunderbird,page_control,page-backing control,16384,8,0,1024,random,5922026,1000000,0.0343483193359375,0.0007180168748738106,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.03515625,0.0341796875,0.396484375,0,166874,CNTVCT_ticks,CNTVCT_ticks/access (batch average),1.3671875,1.3671875,1.40625,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/74d5c83906cb235e/attempt-1788846055737189858/samples.u64.gz,machines/thunderbird/page_control/page_control/74d5c83906cb235e/complete.json
thunderbird,page_control,page-backing control,1048576,8,0,1024,random,5922026,1000000,0.1069145810546875,0.006080813853549679,0.1064453125,0.10546875,0.107421875,0.1044921875,0.109375,0.103515625,3.7509765625,0,28555,CNTVCT_ticks,CNTVCT_ticks/access (batch average),4.2578125,4.1796875,4.375,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/7cb9e1e8c094b6c4/attempt-1788845948810930233/samples.u64.gz,machines/thunderbird/page_control/page_control/7cb9e1e8c094b6c4/complete.json
thunderbird,page_control,page-backing control,4194304,8,0,1024,random,5922026,1000000,0.6359787158203125,0.01679550649431065,0.6357421875,0.6298828125,0.6416015625,0.6220703125,0.6513671875,0.6044921875,4.4658203125,0,8407,CNTVCT_ticks,CNTVCT_ticks/access (batch average),25.4296875,24.8828125,26.0546875,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/89ed3d29bb192314/attempt-1788845906961549672/samples.u64.gz,machines/thunderbird/page_control/page_control/89ed3d29bb192314/complete.json
thunderbird,page_control,page-backing control,268435456,8,0,1024,random,5922026,1000000,2.2695404794921874,0.04112345272232725,2.2685546875,2.2470703125,2.2900390625,2.2177734375,2.32421875,2.119140625,5.9453125,0,11529,CNTVCT_ticks,CNTVCT_ticks/access (batch average),90.7421875,88.7109375,92.96875,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/9772905403de42f1/attempt-1788846109200171070/samples.u64.gz,machines/thunderbird/page_control/page_control/9772905403de42f1/complete.json
thunderbird,page_control,page-backing control,4096,8,0,1024,random,5922026,1000000,0.03434873046875,0.0007895874958446895,0.0341796875,0.0341796875,0.0341796875,0.0341796875,0.03515625,0.0341796875,0.392578125,0,166874,CNTVCT_ticks,CNTVCT_ticks/access (batch average),1.3671875,1.3671875,1.40625,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/b4564b4215de4c4b/attempt-1788845939918580387/samples.u64.gz,machines/thunderbird/page_control/page_control/b4564b4215de4c4b/complete.json
thunderbird,page_control,page-backing control,67108864,8,0,1024,random,5922026,1000000,1.9791581103515625,0.042287848602803574,1.9775390625,1.955078125,2.001953125,1.9228515625,2.037109375,1.830078125,5.9306640625,0,9629,CNTVCT_ticks,CNTVCT_ticks/access (batch average),79.1015625,76.9140625,81.484375,recorded CNTFRQ_EL0 frequency,0,0,0,0,verified_clean,,machines/thunderbird/page_control/page_control/fd8d82fdeddf2306/attempt-1788845957652285492/samples.u64.gz,machines/thunderbird/page_control/page_control/fd8d82fdeddf2306/complete.json
