mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4.0,8,1000000,4096,Arm counter ticks/timer pair,0.901838,1.0,0.6228375467829549,1.0,1.0,0.0,1.0,100607,99832
random,4.0,8,1000000,4096,Arm counter ticks/access,0.03358625634765625,0.03369140625,0.0015593123435122672,0.033447265625,0.03369140625,0.033447265625,0.03369140625,571,0
random,8.0,8,1000000,4096,Arm counter ticks/access,0.0335873525390625,0.03369140625,0.001617379993246123,0.033447265625,0.03369140625,0.033447265625,0.03369140625,580,0
random,16.0,8,1000000,4096,Arm counter ticks/access,0.03358013037109375,0.03369140625,0.001600068341143204,0.033447265625,0.03369140625,0.033447265625,0.03369140625,575,0
random,32.0,8,1000000,4096,Arm counter ticks/access,0.033587541259765624,0.03369140625,0.0016140896371824626,0.033447265625,0.03369140625,0.033447265625,0.03369140625,616,0
random,64.0,8,1000000,4096,Arm counter ticks/access,0.03397378344726563,0.033935546875,0.0016038305695053924,0.033935546875,0.033935546875,0.033935546875,0.0341796875,196186,0
random,128.0,8,1000000,4096,Arm counter ticks/access,0.073782125,0.073486328125,0.0024028797461011706,0.0732421875,0.074462890625,0.0732421875,0.07470703125,1252,0
random,256.0,8,1000000,4096,Arm counter ticks/access,0.09908483959960937,0.09912109375,0.0025627582911739825,0.0986328125,0.099365234375,0.09814453125,0.099853515625,1665,0
random,512.0,8,1000000,4096,Arm counter ticks/access,0.12398034350585938,0.123779296875,0.0032086161079855303,0.123046875,0.124755859375,0.1220703125,0.126220703125,6970,0
random,1024.0,8,1000000,4096,Arm counter ticks/access,0.21521930517578125,0.215087890625,0.005721859510670297,0.21240234375,0.2177734375,0.20849609375,0.22216796875,6797,0
random,2048.0,8,1000000,4096,Arm counter ticks/access,0.47729191748046873,0.472900390625,0.016793448935472376,0.46875,0.47802734375,0.464111328125,0.5078125,173998,0
