mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16384.0,8,1000000,4096,Arm counter ticks/timer pair,0.917266,1.0,1.8150797171910609,1.0,1.0,0.0,1.0,88448,87391
random,16384.0,8,1000000,4096,Arm counter ticks/access,0.8313651379394531,0.825927734375,0.07377995552751349,0.807373046875,0.840576171875,0.75439453125,0.960205078125,251696,0
random,18432.0,8,1000000,4096,Arm counter ticks/access,0.7711825759277344,0.759765625,0.05874180761228614,0.75732421875,0.7626953125,0.75439453125,0.8212890625,106501,0
random,20480.0,8,1000000,4096,Arm counter ticks/access,0.7745390041503907,0.773681640625,0.012177513857445687,0.77099609375,0.776611328125,0.76708984375,0.7822265625,31536,0
random,22528.0,8,1000000,4096,Arm counter ticks/access,0.7962412065429687,0.794677734375,0.014930739829571786,0.79052734375,0.7998046875,0.78515625,0.81005859375,30621,0
random,24576.0,8,1000000,4096,Arm counter ticks/access,0.8748077531738281,0.86328125,0.09010529885057923,0.857177734375,0.86962890625,0.848876953125,0.884033203125,42134,0
random,26624.0,8,1000000,4096,Arm counter ticks/access,0.9489672150878906,0.947265625,0.019385124514993635,0.93994140625,0.955078125,0.93017578125,0.96923828125,24772,0
random,28672.0,8,1000000,4096,Arm counter ticks/access,1.5911120871582032,1.6552734375,0.20285722316754254,1.534912109375,1.721435546875,1.106201171875,1.802490234375,126223,0
random,30720.0,8,1000000,4096,Arm counter ticks/access,1.193507564453125,1.19140625,0.025831659857950915,1.18017578125,1.203369140625,1.1650390625,1.224609375,22277,0
random,32768.0,8,1000000,4096,Arm counter ticks/access,1.2973930908203124,1.29541015625,0.025131008793210168,1.2822265625,1.31005859375,1.26513671875,1.334228515625,14383,0
random,40960.0,8,1000000,4096,Arm counter ticks/access,1.8921155385742188,1.9228515625,0.13420757117941146,1.845703125,1.98828125,1.5927734375,2.03125,111497,0
random,49152.0,8,1000000,4096,Arm counter ticks/access,1.80534439453125,1.693603515625,0.17731394918574153,1.676025390625,2.01171875,1.65869140625,2.107177734375,168,0
random,57344.0,8,1000000,4096,Arm counter ticks/access,2.0474083051757814,2.1064453125,0.1397249144375002,2.030517578125,2.141845703125,1.764404296875,2.171142578125,191508,0
random,65536.0,8,1000000,4096,Arm counter ticks/access,1.828877111328125,1.828369140625,0.021927114264861203,1.81689453125,1.840087890625,1.80078125,1.858154296875,11091,0
sequential,16384.0,8,1000000,4096,Arm counter ticks/access,0.03371048315429687,0.03369140625,0.0016640794736235214,0.033447265625,0.03369140625,0.033447265625,0.0341796875,121155,0
sequential,18432.0,8,1000000,4096,Arm counter ticks/access,0.03370502099609375,0.03369140625,0.0016410487279020485,0.033447265625,0.03369140625,0.033447265625,0.0341796875,108217,0
sequential,20480.0,8,1000000,4096,Arm counter ticks/access,0.03371596069335937,0.03369140625,0.0016828502807024383,0.033447265625,0.03369140625,0.033447265625,0.0341796875,103114,0
sequential,22528.0,8,1000000,4096,Arm counter ticks/access,0.0337318935546875,0.03369140625,0.0018722098448760282,0.033447265625,0.03369140625,0.033447265625,0.0341796875,119187,0
sequential,24576.0,8,1000000,4096,Arm counter ticks/access,0.0337949541015625,0.03369140625,0.0017680768989015666,0.03369140625,0.033935546875,0.033447265625,0.034423828125,86399,0
sequential,26624.0,8,1000000,4096,Arm counter ticks/access,0.03399660107421875,0.03369140625,0.025248180257706195,0.03369140625,0.0341796875,0.033447265625,0.034912109375,39352,0
sequential,28672.0,8,1000000,4096,Arm counter ticks/access,0.034321636474609375,0.0341796875,0.0019235978254874392,0.033935546875,0.03466796875,0.03369140625,0.035400390625,17260,0
sequential,30720.0,8,1000000,4096,Arm counter ticks/access,0.0343494931640625,0.0341796875,0.0018669334596557315,0.033935546875,0.03466796875,0.033447265625,0.035400390625,21183,0
sequential,32768.0,8,1000000,4096,Arm counter ticks/access,0.03458348022460937,0.034423828125,0.001923491876926986,0.0341796875,0.034912109375,0.03369140625,0.03564453125,21209,0
sequential,40960.0,8,1000000,4096,Arm counter ticks/access,0.03514378247070313,0.03515625,0.0019116338849178847,0.03466796875,0.03564453125,0.0341796875,0.036376953125,5434,0
sequential,49152.0,8,1000000,4096,Arm counter ticks/access,0.03521446606445312,0.03515625,0.0018895085571801725,0.03466796875,0.03564453125,0.0341796875,0.036376953125,5800,0
sequential,57344.0,8,1000000,4096,Arm counter ticks/access,0.03536263500976562,0.03515625,0.0018844033145972436,0.034912109375,0.035888671875,0.034423828125,0.03662109375,7031,0
sequential,65536.0,8,1000000,4096,Arm counter ticks/access,0.03540476806640625,0.035400390625,0.0021470185446030737,0.034912109375,0.035888671875,0.034423828125,0.03662109375,3119,0
