mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,32.0,8,1000000,4096,Arm counter ticks/timer pair,0.999399,1.0,1.4917241246423083,1.0,1.0,0.0,1.0,102813,54028
random,32.0,8,1000000,4096,Arm counter ticks/access,0.03358734106445312,0.03369140625,0.001537251694561922,0.033447265625,0.03369140625,0.033447265625,0.03369140625,625,0
random,48.0,8,1000000,4096,Arm counter ticks/access,0.03359147607421875,0.03369140625,0.0015644836634913278,0.033447265625,0.03369140625,0.033447265625,0.03369140625,795,0
random,56.0,8,1000000,4096,Arm counter ticks/access,0.03377126049804687,0.03369140625,0.12233227993772264,0.033447265625,0.03369140625,0.033447265625,0.03369140625,904,0
random,64.0,8,1000000,4096,Arm counter ticks/access,0.03394673608398437,0.033935546875,0.001574884129820323,0.033935546875,0.033935546875,0.03369140625,0.0341796875,173216,0
random,72.0,8,1000000,4096,Arm counter ticks/access,0.04280082543945313,0.042724609375,0.00167730745159174,0.04248046875,0.043212890625,0.04248046875,0.04345703125,976,0
random,80.0,8,1000000,4096,Arm counter ticks/access,0.05056445678710938,0.050537109375,0.0018527040982617188,0.05029296875,0.051025390625,0.0498046875,0.051025390625,1084,0
random,88.0,8,1000000,4096,Arm counter ticks/access,0.05667001391601562,0.056640625,0.002018079707610137,0.056396484375,0.056884765625,0.05615234375,0.05712890625,1212,0
random,96.0,8,1000000,4096,Arm counter ticks/access,0.06161137182617187,0.061767578125,0.002068040541739961,0.061279296875,0.06201171875,0.06103515625,0.06201171875,1231,0
random,104.0,8,1000000,4096,Arm counter ticks/access,0.06564098193359375,0.06591796875,0.0021831532409590263,0.064697265625,0.06640625,0.064208984375,0.066650390625,1123,0
random,112.0,8,1000000,4096,Arm counter ticks/access,0.06921403759765625,0.069091796875,0.0022090962616879567,0.069091796875,0.0693359375,0.06884765625,0.06982421875,124022,0
random,120.0,8,1000000,4096,Arm counter ticks/access,0.07146338696289062,0.0712890625,0.0022316473127577253,0.071044921875,0.07177734375,0.070556640625,0.072265625,1346,0
random,128.0,8,1000000,4096,Arm counter ticks/access,0.07380582006835938,0.073486328125,0.002317775753721819,0.073486328125,0.07470703125,0.0732421875,0.07470703125,1327,0
sequential,32.0,8,1000000,4096,Arm counter ticks/access,0.03358811157226563,0.03369140625,0.0015366272852223302,0.033447265625,0.03369140625,0.033447265625,0.03369140625,927,0
sequential,48.0,8,1000000,4096,Arm counter ticks/access,0.03358795654296875,0.03369140625,0.001257787418213624,0.033447265625,0.03369140625,0.033447265625,0.03369140625,1452,0
sequential,56.0,8,1000000,4096,Arm counter ticks/access,0.0337154580078125,0.03369140625,0.0012931932019440515,0.03369140625,0.03369140625,0.033447265625,0.033935546875,236534,0
sequential,64.0,8,1000000,4096,Arm counter ticks/access,0.03379003784179688,0.03369140625,0.0015270050953434115,0.03369140625,0.033935546875,0.03369140625,0.033935546875,1304,0
sequential,72.0,8,1000000,4096,Arm counter ticks/access,0.033989881591796875,0.033935546875,0.001584717199420703,0.033935546875,0.033935546875,0.033935546875,0.0341796875,253333,0
sequential,80.0,8,1000000,4096,Arm counter ticks/access,0.03412017236328125,0.0341796875,0.0012561017055160537,0.033935546875,0.0341796875,0.033935546875,0.0341796875,583,0
sequential,88.0,8,1000000,4096,Arm counter ticks/access,0.034196028564453126,0.0341796875,0.0015363409421257342,0.0341796875,0.0341796875,0.033935546875,0.034423828125,248040,0
sequential,96.0,8,1000000,4096,Arm counter ticks/access,0.03411401782226563,0.0341796875,0.0015284418386005726,0.033935546875,0.0341796875,0.033935546875,0.0341796875,601,0
sequential,104.0,8,1000000,4096,Arm counter ticks/access,0.0341105087890625,0.0341796875,0.0015435512042102292,0.033935546875,0.0341796875,0.033935546875,0.0341796875,587,0
sequential,112.0,8,1000000,4096,Arm counter ticks/access,0.0341097216796875,0.0341796875,0.0015409677735932594,0.033935546875,0.0341796875,0.033935546875,0.0341796875,594,0
sequential,120.0,8,1000000,4096,Arm counter ticks/access,0.0341588486328125,0.0341796875,0.0015876309348620225,0.0341796875,0.0341796875,0.033935546875,0.034423828125,265292,0
sequential,128.0,8,1000000,4096,Arm counter ticks/access,0.03415481127929688,0.0341796875,0.0015404746191113525,0.0341796875,0.0341796875,0.033935546875,0.034423828125,275065,0
