host,family,analysis_role,bytes,stride,offset,batch,order,seed,n,mean,stddev,median,q1,q3,p05,p95,minimum,maximum,zero_samples,outliers,unit,statistic_unit,median_ns_estimated,p05_ns_estimated,p95_ns_estimated,nanosecond_conversion,selected_cpu,core,socket,node,qualification,flags,raw,record
upgrade,page_control,page-backing control,16384,8,0,512,random,5922026,1000000,3.024824796875,2.410146720657024,2.939453125,2.9375,2.9453125,2.931640625,2.953125,2.919921875,115.22265625,0,48476,TSC_ticks,TSC_ticks/access (batch average),0.9209277688624031,0.9184801203072871,0.9252111538338561,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/upgrade/page_control/page_control/09ef7df9f81f7f93/attempt-1788844964386361813/samples.u64.gz,machines/upgrade/page_control/page_control/09ef7df9f81f7f93/complete.json
upgrade,page_control,page-backing control,4096,8,0,512,random,5922026,1000000,3.02450541015625,2.013418843775319,2.947265625,2.939453125,3.005859375,2.93359375,3.013671875,2.919921875,151.08984375,0,14771,TSC_ticks,TSC_ticks/access (batch average),0.9233794059585213,0.91909600248489,0.9441845085447305,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_clean,,machines/upgrade/page_control/page_control/742a26d8d16caf54/attempt-1788844858658593332/samples.u64.gz,machines/upgrade/page_control/page_control/742a26d8d16caf54/complete.json
upgrade,page_control,page-backing control,1024,8,0,512,random,5922026,1000000,3.031159599609375,1.6739601694124102,3.005859375,3.0,3.009765625,2.9375,3.015625,2.923828125,162.6875,0,214259,TSC_ticks,TSC_ticks/access (batch average),0.9417158547462117,0.9202993148397026,0.9447753604471416,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_clean,,machines/upgrade/page_control/page_control/7652f53c8295cc01/attempt-1788844862922439052/samples.u64.gz,machines/upgrade/page_control/page_control/7652f53c8295cc01/complete.json
upgrade,page_control,page-backing control,268435456,8,0,512,random,5922026,1000000,214.82378989257813,23.69040909465198,210.79296875,209.486328125,212.3203125,207.82421875,224.166015625,202.69921875,2718.78515625,0,63422,TSC_ticks,TSC_ticks/access (batch average),66.04003371037781,65.109944100462,70.22972026241307,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_noisy,frequent involuntary context switches,machines/upgrade/page_control/page_control/8dc216dca06e838f/attempt-1788845008383474568/samples.u64.gz,machines/upgrade/page_control/page_control/8dc216dca06e838f/attempt-1788845008383474568/run.json
upgrade,page_control,page-backing control,4194304,8,0,512,random,5922026,1000000,30.124102171875,6.093792975135874,29.755859375,29.39453125,30.1796875,28.884765625,31.384765625,27.630859375,2366.95703125,0,53252,TSC_ticks,TSC_ticks/access (batch average),9.322640171284187,9.049722710411672,9.832983584664627,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_clean,,machines/upgrade/page_control/page_control/946ad6dfc55470b4/attempt-1788844846978746377/samples.u64.gz,machines/upgrade/page_control/page_control/946ad6dfc55470b4/complete.json
upgrade,page_control,page-backing control,65536,8,0,512,random,5922026,1000000,6.34033458203125,3.648759318851494,6.16015625,6.048828125,6.26953125,5.88671875,6.595703125,5.78125,965.548828125,0,47965,TSC_ticks,TSC_ticks/access (batch average),1.9299322025004015,1.844266220144645,2.0663858743956425,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/upgrade/page_control/page_control/c393682c95f11b8d/attempt-1788844956899873128/samples.u64.gz,machines/upgrade/page_control/page_control/c393682c95f11b8d/complete.json
upgrade,page_control,page-backing control,67108864,8,0,512,random,5922026,1000000,195.1933154296875,20.56548358857217,191.943359375,190.458984375,193.447265625,188.205078125,202.005859375,180.337890625,1510.359375,0,62268,TSC_ticks,TSC_ticks/access (batch average),60.13430715978622,58.963133779945665,63.286807291938025,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/upgrade/page_control/page_control/e78f1f36b5bdfcc9/attempt-1788844917440556114/samples.u64.gz,machines/upgrade/page_control/page_control/e78f1f36b5bdfcc9/complete.json
upgrade,page_control,page-backing control,16777216,8,0,512,random,5922026,1000000,142.67784886914063,16.547761259678335,140.572265625,137.642578125,143.619140625,133.4453125,150.416015625,121.857421875,2100.5625,0,41087,TSC_ticks,TSC_ticks/access (batch average),44.04043877989269,41.807607563911304,47.12442598968885,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/upgrade/page_control/page_control/e952e84d554347d9/attempt-1788844977387660628/samples.u64.gz,machines/upgrade/page_control/page_control/e952e84d554347d9/complete.json
upgrade,page_control,page-backing control,262144,8,0,512,random,5922026,1000000,8.4764984921875,3.8878973899368776,8.203125,8.083984375,8.400390625,7.970703125,8.87109375,7.8359375,854.23046875,0,49565,TSC_ticks,TSC_ticks/access (batch average),2.5699708792878186,2.497155037707997,2.7792399366012552,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,2,2,0,0,verified_clean,,machines/upgrade/page_control/page_control/ea97dc017b281ef5/attempt-1788844968759264898/samples.u64.gz,machines/upgrade/page_control/page_control/ea97dc017b281ef5/complete.json
upgrade,page_control,page-backing control,1048576,8,0,512,random,5922026,1000000,25.589946953125,6.087424386566622,25.248046875,24.87109375,25.595703125,24.359375,26.130859375,22.37890625,1480.392578125,0,17033,TSC_ticks,TSC_ticks/access (batch average),7.910046282289591,7.631631254948231,8.186625606153974,per-run timer/CLOCK_MONOTONIC_RAW calibration; approximate,0,0,0,0,verified_clean,,machines/upgrade/page_control/page_control/eb86a5e6e74cc28b/attempt-1788844867110811432/samples.u64.gz,machines/upgrade/page_control/page_control/eb86a5e6e74cc28b/complete.json
