mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4.0,8,1000000,4096,TSC ticks/timer pair,45.518324,46.0,41.04374084826683,44.0,46.0,43.0,48.0,1051,0
random,4.0,8,1000000,4096,TSC ticks/access,2.9224624438476563,2.85791015625,0.7360184806171949,2.85400390625,2.862060546875,2.8505859375,2.92724609375,172478,0
random,8.0,8,1000000,4096,TSC ticks/access,2.943541990234375,2.915283203125,0.7569528897727227,2.857421875,2.92333984375,2.851318359375,2.97021484375,13028,0
random,16.0,8,1000000,4096,TSC ticks/access,2.940433501953125,2.86181640625,0.7633309421089314,2.85595703125,2.9189453125,2.85107421875,2.9853515625,22200,0
random,32.0,8,1000000,4096,TSC ticks/access,2.980644455810547,2.9375,0.7088913307210194,2.885498046875,2.955322265625,2.87353515625,3.025634765625,27495,0
random,64.0,8,1000000,4096,TSC ticks/access,6.150836791748047,6.006103515625,1.4880849327568333,5.955810546875,6.089111328125,5.90283203125,6.2373046875,34299,0
random,128.0,8,1000000,4096,TSC ticks/access,9.596024423583984,9.384521484375,2.094079525038355,9.283203125,9.514892578125,9.172607421875,9.736328125,33796,0
random,256.0,8,1000000,4096,TSC ticks/access,12.242016832519532,11.978759765625,2.183786842364931,11.8134765625,12.159912109375,11.609375,12.571044921875,42109,0
random,512.0,8,1000000,4096,TSC ticks/access,23.33282253051758,22.75244140625,3.0536639120754665,22.6044921875,22.9755859375,22.436767578125,24.498779296875,73792,0
random,1024.0,8,1000000,4096,TSC ticks/access,29.497375096435547,28.765625,3.7379548343576783,28.6533203125,29.0234375,28.4462890625,30.7373046875,86000,0
random,2048.0,8,1000000,4096,TSC ticks/access,32.82884337158203,32.03173828125,3.9254509336088574,31.910400390625,32.658935546875,31.791259765625,33.989013671875,51826,0
random,4096.0,8,1000000,4096,TSC ticks/access,34.7720889555664,34.08984375,3.589677354946502,33.8173828125,34.655517578125,33.649169921875,35.99244384765623,50636,0
