mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,4096.0,8,1000000,4096,TSC ticks/timer pair,45.48542,46.0,29.412706446889587,44.0,46.0,43.0,48.0,74,0
random,4096.0,8,1000000,4096,TSC ticks/access,34.5895356706543,34.375732421875,3.2463972310231908,33.716064453125,34.499755859375,33.531005859375,35.612329101562466,49770,0
random,5120.0,8,1000000,4096,TSC ticks/access,35.64485108178711,35.0517578125,3.7404146011928963,34.621826171875,35.520751953125,34.334716796875,36.95556640625,51901,0
random,6144.0,8,1000000,4096,TSC ticks/access,40.73674914892578,39.61328125,6.223431681862308,39.04541015625,40.303466796875,38.350830078125,49.319580078125,65818,0
random,7168.0,8,1000000,4096,TSC ticks/access,52.62848102246094,51.27734375,6.751516312748872,50.388671875,52.32958984375,49.261962890625,63.175805664062466,71048,0
random,8192.0,8,1000000,4096,TSC ticks/access,61.458376568115234,60.485107421875,6.050202751103296,59.266357421875,61.84130859375,57.66845703125,66.33620605468747,53893,0
random,9216.0,8,1000000,4096,TSC ticks/access,87.51604303173828,86.038818359375,7.4396147176193805,84.473388671875,87.87060546875,82.449951171875,103.95471191406233,76096,0
random,10240.0,8,1000000,4096,TSC ticks/access,102.83941021606445,101.375732421875,7.651040486915565,99.74560546875,103.240478515625,97.6408447265625,120.15947265624993,72431,0
random,11264.0,8,1000000,4096,TSC ticks/access,116.88622095019531,115.18798828125,8.202156195863541,113.53924560546875,117.067138671875,111.330322265625,136.58742675781247,85240,0
random,12288.0,8,1000000,4096,TSC ticks/access,127.3306337734375,125.3408203125,8.488849738584358,123.77001953125,127.20361328125,121.697265625,147.81298828125,100813,0
random,14336.0,8,1000000,4096,TSC ticks/access,145.78437066381835,143.593505859375,9.04639376683194,142.03173828125,145.4775390625,139.9765625,166.35865478515623,110321,0
random,16384.0,8,1000000,4096,TSC ticks/access,158.57537498828125,156.0625,9.217188367594774,154.530029296875,158.00390625,152.54296875,179.31884765625,123401,0
random,20480.0,8,1000000,4096,TSC ticks/access,175.20541471557618,173.0054931640625,8.979118215749942,171.52587890625,174.794677734375,169.54248046875,195.74072265625,109630,0
random,24576.0,8,1000000,4096,TSC ticks/access,188.9442044448242,186.189208984375,9.750539852820816,184.861572265625,187.965087890625,183.166259765625,209.455322265625,132784,0
random,32768.0,8,1000000,4096,TSC ticks/access,201.61630998510742,198.684326171875,10.125140655929147,197.459716796875,200.501220703125,195.98681640625,221.8359375,140827,0
sequential,4096.0,8,1000000,4096,TSC ticks/access,3.066835756591797,3.009521484375,0.5213076177053529,2.99755859375,3.0498046875,2.93701171875,3.23583984375,114349,0
sequential,5120.0,8,1000000,4096,TSC ticks/access,3.10533208984375,3.007568359375,0.7143827773014304,2.96533203125,3.0634765625,2.930419921875,3.30615234375,87708,0
sequential,6144.0,8,1000000,4096,TSC ticks/access,3.1872048244628908,3.0380859375,1.716744203404251,2.982421875,3.149169921875,2.93798828125,3.869384765625,74831,0
sequential,7168.0,8,1000000,4096,TSC ticks/access,3.3269522385253905,3.242431640625,0.48962709423625494,3.153076171875,3.3759765625,3.0703125,4.0302734375,65560,0
sequential,8192.0,8,1000000,4096,TSC ticks/access,3.360622048583984,3.289794921875,0.8270147449336129,3.18994140625,3.410888671875,3.087646484375,3.5625,10327,0
sequential,9216.0,8,1000000,4096,TSC ticks/access,3.4282210385742187,3.31591796875,0.8944207689968122,3.211669921875,3.4462890625,3.103759765625,3.89990234375,51161,0
sequential,10240.0,8,1000000,4096,TSC ticks/access,3.41588801171875,3.346435546875,0.7406261245110354,3.24462890625,3.468017578125,3.15380859375,3.599365234375,16929,0
sequential,11264.0,8,1000000,4096,TSC ticks/access,3.441966340576172,3.374755859375,0.8009472335705603,3.263671875,3.4912109375,3.18310546875,3.609619140625,9778,0
sequential,12288.0,8,1000000,4096,TSC ticks/access,3.49168059375,3.417236328125,1.6857783893172877,3.29296875,3.528076171875,3.218017578125,3.65380859375,16853,0
sequential,14336.0,8,1000000,4096,TSC ticks/access,3.4952787976074218,3.463623046875,0.7145071169149703,3.337158203125,3.5595703125,3.2626953125,3.661865234375,8230,0
sequential,16384.0,8,1000000,4096,TSC ticks/access,3.522919392578125,3.482666015625,0.6895416216222786,3.3515625,3.56982421875,3.277099609375,3.6865234375,19150,0
sequential,20480.0,8,1000000,4096,TSC ticks/access,3.5339948063964846,3.473388671875,0.8895765150904883,3.32373046875,3.5703125,3.276611328125,3.674072265625,11205,0
sequential,24576.0,8,1000000,4096,TSC ticks/access,3.574295509033203,3.5107421875,0.7633985065300621,3.3701171875,3.597900390625,3.2958984375,3.889172363281233,48703,0
sequential,32768.0,8,1000000,4096,TSC ticks/access,3.5594532709960935,3.51123046875,0.7607889725477872,3.37646484375,3.595458984375,3.3017578125,3.732177734375,21066,0
