mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,128.0,8,1000000,4096,TSC ticks/timer pair,45.462451,46.0,23.165773475661453,44.0,46.0,43.0,48.0,208,0
random,128.0,8,1000000,4096,TSC ticks/access,7.556152651611328,7.364990234375,1.6809139725636533,7.310302734375,7.444580078125,7.250732421875,7.684814453125,62913,0
random,160.0,8,1000000,4096,TSC ticks/access,8.545198165771485,8.3759765625,1.7142675567855319,8.268798828125,8.5029296875,8.123046875,8.739990234375,33262,0
random,192.0,8,1000000,4096,TSC ticks/access,11.801677122802735,11.551513671875,1.868367345849943,11.415771484375,11.7158203125,11.282958984375,12.0625,40506,0
random,224.0,8,1000000,4096,TSC ticks/access,12.919416084472656,12.64990234375,2.1372941977475235,12.498779296875,12.82861328125,12.33740234375,13.209716796875,41593,0
random,256.0,8,1000000,4096,TSC ticks/access,13.562815894042968,13.257568359375,2.485728475848995,13.08935546875,13.456298828125,12.90625,13.936279296875,45345,0
random,288.0,8,1000000,4096,TSC ticks/access,12.614113911376952,12.320068359375,1.738841004928064,12.167236328125,12.504638671875,11.994384765625,13.012939453125,50148,0
random,320.0,8,1000000,4096,TSC ticks/access,16.232885875,15.861328125,2.73397732778436,15.703125,16.085205078125,15.501708984375,16.62646484375,48492,0
random,352.0,8,1000000,4096,TSC ticks/access,17.127469343017577,16.82568359375,2.520049719295098,16.604248046875,17.027099609375,16.4384765625,17.558349609375,46142,0
random,384.0,8,1000000,4096,TSC ticks/access,19.601993435302735,19.21630859375,2.3945605714657203,19.0185546875,19.48876953125,18.85009765625,20.06787109375,46862,0
random,448.0,8,1000000,4096,TSC ticks/access,20.956042887939454,20.497802734375,2.8577633590902036,20.298583984375,20.794677734375,20.11865234375,21.742687988281233,52594,0
random,512.0,8,1000000,4096,TSC ticks/access,22.81926455004883,22.32666015625,2.9403298665234803,22.163330078125,22.694580078125,21.919677734375,23.614013671875,51045,0
random,768.0,8,1000000,4096,TSC ticks/access,27.16294941870117,26.5439453125,3.4429146662724452,26.455322265625,26.791748046875,26.272216796875,28.25390625,87768,0
random,1024.0,8,1000000,4096,TSC ticks/access,29.49484669946289,28.852783203125,3.3441843150122317,28.68798828125,29.383056640625,28.491943359375,30.5107421875,52569,0
sequential,128.0,8,1000000,4096,TSC ticks/access,2.9794442717285157,2.94140625,0.6602996032364211,2.886962890625,2.954833984375,2.874267578125,3.025146484375,32703,0
sequential,160.0,8,1000000,4096,TSC ticks/access,2.998723196777344,2.91943359375,0.8121779533697079,2.893310546875,2.95849609375,2.882568359375,3.046630859375,43730,0
sequential,192.0,8,1000000,4096,TSC ticks/access,3.0142353286132813,2.93408203125,0.8545723806643406,2.898193359375,2.973876953125,2.875244140625,3.094482421875,52452,0
sequential,224.0,8,1000000,4096,TSC ticks/access,2.985004302734375,2.92333984375,0.6712785944115143,2.885009765625,2.970703125,2.86962890625,3.076171875,39874,0
sequential,256.0,8,1000000,4096,TSC ticks/access,3.0162186162109377,2.951904296875,0.7699898262181506,2.9140625,2.98779296875,2.8974609375,3.0732421875,36942,0
sequential,288.0,8,1000000,4096,TSC ticks/access,3.0115871079101564,2.947998046875,0.7161636184542159,2.919921875,2.98779296875,2.903076171875,3.06396484375,33162,0
sequential,320.0,8,1000000,4096,TSC ticks/access,3.001336243652344,2.932861328125,0.7051709488570985,2.921875,2.960693359375,2.910888671875,3.062255859375,82542,0
sequential,352.0,8,1000000,4096,TSC ticks/access,3.0393935048828125,2.9853515625,0.6972307785217011,2.93798828125,3.013916015625,2.9150390625,3.089111328125,36972,0
sequential,384.0,8,1000000,4096,TSC ticks/access,3.012647173828125,2.93017578125,0.8016565164170222,2.9248046875,2.940673828125,2.9169921875,3.003662109375,176878,0
sequential,448.0,8,1000000,4096,TSC ticks/access,3.0122670444335937,2.93408203125,0.7474914061727796,2.927978515625,2.96630859375,2.92138671875,3.0712890625,111491,0
sequential,512.0,8,1000000,4096,TSC ticks/access,3.0086584436035158,2.934814453125,0.6987259604217188,2.9296875,2.9931640625,2.923828125,3.006103515625,17774,0
sequential,768.0,8,1000000,4096,TSC ticks/access,3.0052786833496095,2.9345703125,0.7682792049379158,2.93017578125,2.93994140625,2.92578125,3.005615234375,190575,0
sequential,1024.0,8,1000000,4096,TSC ticks/access,3.0069871235351564,2.9384765625,0.6726053520489176,2.931640625,2.998291015625,2.92578125,3.007568359375,8285,0
