mode,size_kib,spacing,samples,steps,unit,mean,median,stddev,q1,q3,p5,p95,outliers,zeros
empty,16.0,8,1000000,4096,TSC ticks/timer pair,45.456152,46.0,20.539041097507575,44.0,46.0,43.0,48.0,108,0
random,16.0,8,1000000,4096,TSC ticks/access,2.9419778244628905,2.90869140625,0.6546092696091268,2.85791015625,2.92333984375,2.8515625,2.972900390625,16125,0
random,24.0,8,1000000,4096,TSC ticks/access,2.9513666010742186,2.86279296875,0.7636996520516286,2.8564453125,2.92138671875,2.85107421875,2.975341796875,22073,0
random,28.0,8,1000000,4096,TSC ticks/access,2.959155677001953,2.875732421875,1.4995450222632987,2.85791015625,2.92333984375,2.85205078125,2.986328125,24470,0
random,32.0,8,1000000,4096,TSC ticks/access,2.9828023115234377,2.94140625,0.6662127750373109,2.886962890625,2.954833984375,2.874267578125,3.019287109375,24871,0
random,36.0,8,1000000,4096,TSC ticks/access,3.7473944953613283,3.712890625,0.5522779069303491,3.69140625,3.741943359375,3.62744140625,3.806396484375,69319,0
random,40.0,8,1000000,4096,TSC ticks/access,4.360273940917969,4.300048828125,0.8021268858550346,4.237060546875,4.336669921875,4.195556640625,4.431640625,28129,0
random,44.0,8,1000000,4096,TSC ticks/access,4.786474380126953,4.679931640625,0.9808794873475449,4.636962890625,4.7431640625,4.596923828125,4.845947265625,29494,0
random,48.0,8,1000000,4096,TSC ticks/access,5.192917043945313,5.079345703125,1.769008052957767,5.022216796875,5.145751953125,4.96435546875,5.2666015625,29873,0
random,52.0,8,1000000,4096,TSC ticks/access,5.516199581298828,5.37255859375,1.1392419349120764,5.337890625,5.427490234375,5.30517578125,5.572021484375,54002,0
random,56.0,8,1000000,4096,TSC ticks/access,5.721651437744141,5.609375,1.0250843117762767,5.537353515625,5.68017578125,5.495849609375,5.8349609375,30188,0
random,60.0,8,1000000,4096,TSC ticks/access,5.904688715332031,5.748291015625,1.914581138027139,5.7099609375,5.804931640625,5.66845703125,5.97021484375,59050,0
random,64.0,8,1000000,4096,TSC ticks/access,6.152008257324219,6.031005859375,1.5187284451007472,5.952392578125,6.09423828125,5.906005859375,6.2294921875,30279,0
sequential,16.0,8,1000000,4096,TSC ticks/access,2.9429933349609376,2.86181640625,0.74780308017916,2.855712890625,2.9189453125,2.85107421875,2.972412109375,19412,0
sequential,24.0,8,1000000,4096,TSC ticks/access,2.95985815625,2.903564453125,0.7390597036866977,2.857421875,2.92626953125,2.8515625,3.0126953125,41432,0
sequential,28.0,8,1000000,4096,TSC ticks/access,2.9629275061035156,2.907470703125,0.6749484582325481,2.86669921875,2.936279296875,2.860595703125,3.04296875,53223,0
sequential,32.0,8,1000000,4096,TSC ticks/access,2.9837553557128906,2.91357421875,0.7777165353677743,2.880615234375,2.948486328125,2.87060546875,3.027587890625,34941,0
sequential,36.0,8,1000000,4096,TSC ticks/access,3.024407529296875,2.934326171875,0.6790079227700737,2.875732421875,2.9423828125,2.8671875,3.585693359375,106122,0
sequential,40.0,8,1000000,4096,TSC ticks/access,2.9875660502929686,2.900146484375,1.8315757580280865,2.872802734375,2.93896484375,2.86669921875,3.01806640625,47555,0
sequential,44.0,8,1000000,4096,TSC ticks/access,2.9733777841796876,2.87548828125,0.7893723742679682,2.869873046875,2.931640625,2.865234375,3.00537109375,42532,0
sequential,48.0,8,1000000,4096,TSC ticks/access,2.9670175334472657,2.874755859375,0.7941746029861889,2.869140625,2.93212890625,2.8642578125,3.000244140625,32773,0
sequential,52.0,8,1000000,4096,TSC ticks/access,2.9824126098632813,2.932373046875,0.6865715019597429,2.87451171875,2.94091796875,2.8671875,3.020751953125,46570,0
sequential,56.0,8,1000000,4096,TSC ticks/access,3.040381074951172,2.950439453125,0.7048538963587869,2.893798828125,2.961669921875,2.8818359375,3.61474609375,97594,0
sequential,60.0,8,1000000,4096,TSC ticks/access,2.969041647216797,2.896728515625,0.7417650940615146,2.87255859375,2.939453125,2.86669921875,3.009521484375,32343,0
sequential,64.0,8,1000000,4096,TSC ticks/access,2.9653228344726563,2.900390625,0.7214923240094209,2.87255859375,2.939208984375,2.866455078125,3.009033203125,30444,0
