conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,80088332,4262,19430,475273601,275692041
2,4096,16384,4,below,82067888,4188,2872,475340429,281692854
3,4096,20480,6,below,84084670,4247,2330,476644079,287705797
4,4096,24576,8,below,86093076,4686,2270,477846572,293694742
5,4096,28672,10,below,88093299,4811,2073,479404935,299683942
6,4096,32768,12,below,90081186,5415,2083,479830504,305683967
7,4096,36864,14,below,92073049,6503,2120,480747206,311659994
8,4096,40960,16,below,94089799,8266,2246,481002164,317697922
9,4096,45056,18,below,96085907,25405,2087,481949206,323661764
10,4096,49152,20,below,98094299,39304,1963,482131129,329663842
11,4096,53248,22,below,100090428,51314,2085,483024093,335688522
12,4096,57344,24,at,102057737,15667816,2136,620991950,341639958
13,4096,61440,26,above,76639409,35121952,2537,708552523,265162830
14,4096,65536,28,above,78639665,38439738,2137,755299540,271163596
15,4096,69632,30,above,80635751,40435662,2176,787236231,277152432
17,4096,77824,34,above,84640302,44439917,2169,851559111,289166585
18,4096,81920,36,above,86636496,46436130,2159,883465480,295155247
20,4096,90112,40,above,90641177,52430837,2099,969908864,307169493
24,4096,106496,48,above,98642109,61439444,2142,1106606764,331173410
28,4096,122880,56,above,106638945,69435420,2417,1233733353,355165365
