conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1,106496,319488,2,below,2606,747,3924,475132762,275691946
2,106496,425984,4,below,2602,692,2311,475393434,281692829
3,106496,532480,6,below,2617,734,2185,476579776,287644875
4,106496,638976,8,below,2589,726,2078,478007713,293694886
5,106496,745472,10,below,2640,731,2160,478929066,299695608
6,106496,851968,12,below,2611,701,2114,479688901,305672256
7,106496,958464,14,below,2682,738,2071,480796900,311697413
8,106496,1064960,16,below,2532,674,1943,480907015,317649612
9,106496,1171456,18,below,2564,637,2136,481966158,323699844
10,106496,1277952,20,below,2583,680,2066,482157596,329700824
11,106496,1384448,22,below,2812,796,2049,483123230,335677329
12,106496,1490944,24,below,2624,701,2015,620986035,341616146
13,106496,1597440,26,below,2614,662,2151,708532354,265163412
14,106496,1703936,28,below,2596,711,2158,755181275,271152145
15,106496,1810432,30,below,2604,663,2088,787272119,277165665
16,106496,1916928,32,at,2619,729,2039,819236533,283154689
17,106496,2023424,34,above,2565,664,2214,851515608,289168166
18,106496,2129920,36,above,2602,673,5983,883702828,295168899
19,106496,2236416,38,above,2570,676,2449,915654222,301145103
21,106496,2449408,42,above,2602,748,2432,1010684609,313172131
22,106496,2555904,44,above,2616,770,2411,1041905452,319161167
24,106496,2768896,48,above,2665,714,2532,1106355149,331175616
28,106496,3194880,56,above,1629,721,2593,1233834725,355167680
32,106496,3620864,64,above,2638,744,3504,1361929309,379184903
