bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
1048576,1024.0,False,304752604,255238076,925415,2133,140817,5497422369,UNAVAILABLE,891664900,2771590482,2771590482
1160440,1133.242,False,305400203,256465406,1336265,5344,140082,5592913876,UNAVAILABLE,892893590,2819614673,2819614673
1284238,1254.139,False,306131636,257184205,1970063,7211,139001,5694309267,UNAVAILABLE,894297898,2870975407,2870975407
1421243,1387.933,False,306985371,258015458,2535011,6741,136477,5782258381,UNAVAILABLE,895984461,2915567754,2915567754
1572864,1536.0,False,307781774,258561596,5904042,11105,141622,6019057907,UNAVAILABLE,897405383,3034483683,3034483683
1740660,1699.863,False,308652112,258865633,9746845,14180,143354,6221558661,UNAVAILABLE,898944594,3136933161,3136933161
1926357,1881.208,False,309476989,259065270,16686469,14841,144007,6604158466,UNAVAILABLE,900232473,3330711240,3330711240
2097152,2048.0,True,310064086,259035471,27915896,15453,143459,7138462379,UNAVAILABLE,900901346,3600375358,3600375358
2131865,2081.899,True,310241740,258858077,29711638,17367,145595,7234839887,UNAVAILABLE,901212681,3648878929,3648878929
2359296,2304.0,True,311193044,258934302,46106353,17941,146061,8060732403,UNAVAILABLE,902612341,4064176239,4064176239
2610990,2549.795,False,312236655,258666359,65549785,19102,148325,8978877779,UNAVAILABLE,904133861,4526342792,4526342792
2889536,2821.812,False,313693105,258642508,85780238,25330,155435,9973524236,UNAVAILABLE,906723472,5027706221,5027706221
3197797,3122.849,False,315517041,258649479,104563456,28611,160452,10901565350,UNAVAILABLE,910227186,5493280702,5493280702
3538944,3456.0,False,317703504,258855362,120836950,28445,160452,11683924168,UNAVAILABLE,914608882,5888457825,5888457825
