bytes,kib,in_bracket,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,dTLB-read-miss,instructions,time_enabled_ns,time_running_ns
12582912,12288.0,False,382611752,343021155,231356678,3665668,4074903,20648744022,UNAVAILABLE,1051652955,10414605665,10414605665
13881555,13556.206,False,392102989,334350549,229530814,4889362,5193047,20282155324,UNAVAILABLE,1071846512,10221200535,10221200535
15314226,14955.299,False,402195602,343335221,232809779,9518550,9848347,21590697801,UNAVAILABLE,1092986259,10881412552,10881412552
16894759,16498.788,False,414150523,353865908,236624860,12643367,12921451,22652905032,UNAVAILABLE,1118773833,11416182430,11416182430
18638414,18201.576,False,427040054,364308495,239855865,14151649,14714014,23367433162,UNAVAILABLE,1146324404,11776883461,11776883461
20562025,20080.103,False,440092643,373054074,242056640,14306371,14661889,23697778119,UNAVAILABLE,1173211940,11943934027,11943934027
22684167,22152.507,False,455333629,382996462,244539801,32172492,32727476,27495285398,UNAVAILABLE,1205398405,13857103356,13857103356
25025328,24438.797,False,473979246,395907663,248645532,26624866,27152150,26885088706,UNAVAILABLE,1246414814,13552978802,13552978802
25165824,24576.0,True,474669429,395959994,248474158,33530539,34388341,28205891559,UNAVAILABLE,1247586641,14215293074,14215293074
27262976,26624.0,True,490376980,405047221,250925106,38289424,39116125,29422555507,UNAVAILABLE,1281337732,14832276687,14832276687
27608114,26961.049,False,492671964,406273384,251059987,50801214,51863641,31864408413,UNAVAILABLE,1286018516,16058078924,16058078924
30457460,29743.613,False,513802386,417417701,253868391,44716904,46021095,31037046386,UNAVAILABLE,1331243848,15647830619,15647830619
33600878,32813.357,False,536187526,427141534,255728538,60900371,61934264,34437977115,UNAVAILABLE,1378349958,17360647122,17360647122
37068719,36199.921,False,561250545,437142310,257893732,80068179,82164637,38435967046,UNAVAILABLE,1431421910,19375350041,19375350041
40894464,39936.0,False,589666628,448134542,260645591,90212300,91822768,40650175372,UNAVAILABLE,1492275818,20496266507,20496266507
