bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1048576,1024.0,False,938,304829501,255307210,29964,560,1135,5454145819,891911990
1160440,1133.242,False,1032,305506526,256593471,20303,688,1079,5546391997,893202421
1284238,1254.139,False,1022,306286960,257337955,824462,995,900,5711956390,894246667
1421243,1387.933,False,1134,307091124,258110697,2751156,682,1572,5706075667,896330168
1572864,1536.0,False,1223,307949421,258685387,2428621,716,1320,5874852063,897850300
1740660,1699.863,False,1329,308588596,258764190,10018241,565,747,6335977011,898335339
1926357,1881.208,False,1458,309083397,258671689,21827724,539,778,6849018593,899238927
2097152,2048.0,True,1580,309695335,258678693,32892218,574,941,7493336190,899845882
2131865,2081.899,True,1695,310001370,258608724,34594615,1464,2666,7600492627,900021104
2359296,2304.0,True,1757,310910897,258624492,49378602,604,814,8251112333,901829622
2610990,2549.795,False,1957,312082449,258523950,66357549,589,850,9187019038,903785166
2889536,2821.812,False,2806,313555362,258509751,85801152,552,789,10256358026,906312724
3197797,3122.849,False,2558,315400064,258544971,103783282,564,783,11154553222,909841353
3538944,3456.0,False,2814,317548769,258710206,120466314,714,875,12040686962,914148033
