bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
12582912,12288.0,False,109361743,382557606,325082963,225443304,15225,23060,19601124750,1051499548
13881555,13556.206,False,123260328,392077639,334145962,229312743,7456,13993,20073067289,1071779825
15314226,14955.299,False,136842136,402590858,343460502,233040345,17297,44945,20533740573,1094196553
16894759,16498.788,False,148764091,414198704,353141047,236591572,27087,59050,20822994212,1118941943
18638414,18201.576,False,159854285,427008668,363265098,239782965,52979,102545,21386112437,1146268302
20562025,20080.103,False,169932973,441154705,373764793,242940134,132794,220757,21813008872,1176441809
22684167,22152.507,False,178882399,456773153,384384658,245824208,224316,398527,22178362716,1209742141
25025328,24438.797,False,187412366,474011182,394892216,248739614,335493,588011,22574673348,1246504746
25165824,24576.0,True,186854715,475047426,395471044,248779188,360402,604059,22594328131,1248742495
27262976,26624.0,True,193798612,490481559,404480400,251055298,546736,899465,22915042811,1281661613
27608114,26961.049,False,195080174,493018888,405881246,251531068,584957,929073,22966839282,1287097714
30457460,29743.613,False,202150065,514000868,416347462,254210929,1211483,1677123,23407789566,1331864379
33600878,32813.357,False,208574274,537139458,426888290,256806528,2275546,2946572,23939140514,1381238091
37068719,36199.921,False,214652093,562657524,435461615,259465148,4826387,5640233,24725691601,1435671118
40894464,39936.0,False,220314651,590783593,447833644,262070844,9260933,10345544,25885658562,1495668150
