stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,277888113,119139222,2800918572,866247518,1412191288,1412191288
24,276494853,134974010,2968443579,861927702,1494599555,1494599555
32,277303995,124223437,2854215097,864295708,1436748871,1436748871
40,276049790,139778881,3019668233,860484209,1520650588,1520650588
48,276967833,127705802,2891289656,863219801,1455192661,1455192661
56,275745945,143456463,3058547347,859526978,1539189597,1539189597
64,276171528,137484432,2995002905,860792949,1507261101,1507261101
72,274996971,154001568,3171041600,857250185,1595723618,1595723618
80,276160046,137434035,2994535165,860738533,1506943278,1506943278
96,276141434,137462405,2994801616,860669524,1507198507,1507198507
112,276142255,137458832,2994778334,860662723,1506892927,1506892927
128,276136721,137438788,2994637944,860639101,1507002762,1507002762
160,276120672,137345838,2993162451,860581067,1506947321,1506947321
192,276111369,137136247,2990830688,860546595,1505564025,1505564025
256,276104896,137480824,2995101463,860518970,1507606822,1507606822
