conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,77756063,165078,230675,410883655,282027619
2,4096,16384,4,below,85418506,165524,232913,368489696,254910186
3,4096,20480,6,below,86813334,166336,231143,415548313,295355541
4,4096,24576,8,below,88751052,169510,231690,421375944,303598669
5,4096,28672,10,below,90121752,173765,235637,421770543,308881185
6,4096,32768,12,below,88909447,198520,232222,390982303,284588514
7,4096,36864,14,below,95289321,894930,220120,430386703,308815218
8,4096,40960,16,at,98173783,10182982,225862,433650531,320181147
9,4096,45056,18,above,70757447,30476965,224308,492476059,246923541
10,4096,49152,20,above,72495264,32553163,222786,521257726,253556258
11,4096,53248,22,above,74859112,34872500,225245,540999041,258701909
13,4096,61440,26,above,78592455,38589244,227899,587082387,269873857
14,4096,65536,28,above,80745029,40798287,230573,653859134,277572520
16,4096,73728,32,above,84351940,47298157,240843,687887934,288979618
20,4096,90112,40,above,92384784,55363978,255617,780729332,312463421
24,4096,106496,48,above,99828089,63438024,268673,822835578,322875846
