conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1,32768,98304,2,below,2988,1334,230535,405182645,277430978
2,32768,131072,4,below,3204,1419,230694,381237007,265169212
3,32768,163840,6,below,3289,1298,231606,418652126,298031414
4,32768,196608,8,at,3330,1358,231886,425064001,306647268
5,32768,229376,10,above,3458,1339,232791,411238913,300332278
6,32768,262144,12,above,3794,1469,231775,424386116,315055735
7,32768,294912,14,above,9356,1645,224450,426028367,321465957
9,32768,360448,18,above,5623284,1962,227340,570533860,268271543
10,32768,393216,20,above,12063528,2410,231147,727685822,228380043
12,32768,458752,24,above,29917798,1098,196531,1289409800,236033854
16,32768,589824,32,above,42950360,711,201979,1759322413,275550034
20,32768,720896,40,above,50912294,900,198003,2139746054,297968544
