stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,527714410,321866614,5975933841,1622725799,1644122794,1644122794
24,515873370,318487591,5896676434,1598786128,1746451185,1746451185
32,527980537,307720793,6227281698,1622235990,1725044788,1725044788
40,528420265,338815899,6032122487,1619459005,1687479971,1687479971
48,522853551,322508516,5531149172,1610879302,1581350758,1581350758
56,527032392,353614970,6427645193,1614840986,1726388873,1726388873
64,528254729,321027728,6162441696,1617877117,1651520451,1651520451
72,526383498,360376565,6681277554,1615298848,1825515727,1825515727
80,526938162,363010584,6533647561,1614995607,1764539009,1764539009
96,526760523,308285589,5794567013,1614156592,1565009720,1565009720
112,526752620,365829319,6492837250,1613640738,1743827494,1743827494
128,523572499,353904340,6864211687,1612104734,1931427251,1931427251
160,527435862,336419849,6397525129,1615663424,1712544731,1712544731
192,529488363,289090999,5114662748,1622715494,1422922051,1422922051
256,523923599,359249310,6988160211,1606281659,1902482858,1902482858
