bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
131072,128.0,False,150290,564020570,435025562,15019509,23833,306549,8027100425,1664384147
145055,141.655,False,104822,561712988,442933268,41151915,17958,284142,8049034736,1663976780
160530,156.768,False,45890,561026607,449152123,76313066,7258,277049,7196049999,1671483490
177655,173.491,False,31241,559753037,458694702,86402726,19938,296697,8821179013,1660582540
196608,192.0,False,9613,557882469,464326786,150176799,10866,285056,8865104048,1660950296
217583,212.483,False,9476,558198014,472551640,147775580,3320,293438,10155456714,1654552601
240795,235.151,False,10615,555685098,477166653,179930741,3570,290729,11150144926,1651304883
262144,256.0,True,10852,555010168,481352075,221955215,6065,290352,11581304176,1649255105
266483,260.237,True,11211,555077667,483995292,202959548,3439,287706,11476364798,1649833548
294912,288.0,True,12031,554238656,487978082,225834848,3276,286864,13302983945,1645392783
326374,318.725,False,13155,553983874,492717979,243031047,3480,292541,14010005810,1644535476
361192,352.727,False,14168,553343177,493514203,282690803,3582,292076,15146938499,1642269032
399725,390.356,False,14857,553262503,498108698,305338308,4931,307103,15995344222,1641451589
442368,432.0,False,15251,553250304,499241104,320330409,4227,303706,16608602029,1641916257
