bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
2097152,2048.0,False,4392758,563060129,523636734,480763760,131243,944744,22736611961,1661532437
2434870,2377.803,False,8958558,565485302,528070134,489110886,201827,946998,23112883980,1666581597
2826974,2760.717,False,16175607,568188876,534436481,496675349,509996,1639061,23517426872,1672197527
3282220,3205.293,False,27865485,571262999,545138867,503040645,1261120,3080178,24029627347,1678881675
3810778,3721.463,False,47204944,574955108,560681819,513754739,4787134,16143788,24790906838,1686834957
4194304,4096.0,True,62761371,577570098,570480337,510178669,6844960,15795933,25690179332,1692201163
4424453,4320.755,True,73925452,579104406,576826044,511462076,5952894,21777914,26017569416,1695490834
5136952,5016.555,True,118571880,583800945,604796381,517695721,29250581,80238674,28917144437,1704898734
5964190,5824.404,True,169649306,589310286,635401940,523802508,56181068,162649296,33070901099,1716653952
6924643,6762.347,True,222169939,595985269,667935359,526831256,104505491,304732093,39232633131,1731277152
8039765,7851.333,True,272489620,603835077,704134845,528343474,156855218,519319466,45514954455,1747998788
8388608,8192.0,True,281910966,606356094,713516837,540205579,173613072,510658258,47016227631,1753525917
9334462,9115.686,False,309341008,613444254,739551857,550107101,248634837,669581093,53836949086,1768247139
10837653,10583.646,False,342794873,624031833,776341444,578064681,264114855,760189744,63588778235,1793555090
12582912,12288.0,False,372323720,637193208,809886343,572163200,345402332,932428957,70774958357,1819964971
