conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,153903996,164278,220822,701794780,500897294
2,4096,16384,4,below,156517781,165138,218047,699681978,504605867
3,4096,20480,6,below,159646291,164236,189995,705961791,514026218
4,4096,24576,8,below,160085762,165300,219285,571374512,416138787
5,4096,28672,10,below,163012472,172539,214434,635292716,469331404
6,4096,32768,12,below,166330501,172182,216738,711609013,530926506
7,4096,36864,14,below,167008798,252426,201616,706365276,532095113
8,4096,40960,16,at,170796249,10249181,197207,662132207,492389413
9,4096,45056,18,above,110466399,46187415,197214,780993859,320036514
10,4096,49152,20,above,96130413,56023507,186730,729411091,306039943
11,4096,53248,22,above,98480732,58363578,193839,828237919,330948972
13,4096,61440,26,above,102448219,62354407,191692,860899752,339071915
14,4096,65536,28,above,103414774,63375500,190750,847788553,335817923
16,4096,73728,32,above,108494182,71345253,194144,911172227,345689371
20,4096,90112,40,above,116618554,79471930,172130,935112198,351578371
24,4096,106496,48,above,118920070,81799494,195180,1162659163,408738050
