conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1,65536,196608,2,below,2875,1130,224058,697088190,496585605
2,65536,262144,4,below,3920,2275,226794,701309107,503813253
3,65536,327680,6,below,4528,2506,228754,703326239,509962603
4,65536,393216,8,at,5075,2940,228560,706524912,515717602
5,65536,458752,10,above,6809,3245,229376,705536349,519870737
6,65536,524288,12,above,7366,3362,232239,711710720,528275481
7,65536,589824,14,above,13931,3094,220305,707304087,530287154
9,65536,720896,18,above,11149096,1779,221386,890133853,377266325
10,65536,786432,20,above,20022363,1421,224889,1141132358,237834175
12,65536,917504,24,above,34321258,1772,243833,1807464973,249253724
16,65536,1179648,32,above,42492186,3074,289813,2175356846,274249279
20,65536,1441792,40,above,50502571,2128,323126,2547371387,298377297
