stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,541837324,318710179,5830422483,1658262708,1311728743,1311728743
24,555932052,339547526,6122538103,1700528083,1334141021,1334141021
32,551848729,319217055,6699888994,1688168087,1446192519,1446192519
40,553279545,360157781,6587064541,1692429235,1427652201,1427652201
48,556108434,347849924,6007744738,1700911903,1300856548,1300856548
56,555131515,362419538,6356001295,1697946990,1384652872,1384652872
64,552380350,332096530,6658809862,1689657888,1441667364,1441667364
72,550106761,371448178,7108660636,1682804596,1531276148,1531276148
80,551261275,376116647,6896916614,1686268291,1495926922,1495926922
96,549821853,341295358,6993933935,1681922778,1511179492,1511179492
112,548344386,380164596,6973207691,1677466401,1513389278,1513389278
128,546769822,374364748,7678203001,1672721077,1653041007,1653041007
160,552638388,331485961,6368940155,1690368307,1387299485,1387299485
192,555709404,325963563,6169188668,1699601410,1334266299,1334266299
256,543233622,397099856,8420678749,1662053305,1821832138,1821832138
