bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
131072,128.0,False,412,589101517,437603066,18827327,16639,253130,7864797386,1714366285
145055,141.655,False,468,584304298,446512079,45524271,8717,292277,5973931334,1749166731
160530,156.768,False,431,584776085,455163565,363046,36475,386195,6031186531,1741960324
177655,173.491,False,457,583363426,464385536,41864959,20701,309274,6608406592,1717958020
196608,192.0,False,485,576959416,467936884,60426942,42645,251123,7936252297,1714132858
217583,212.483,False,465,579226660,475357206,36775072,28515,300696,7732562875,1716207770
240795,235.151,False,523,573893790,480596022,68086521,55271,271238,8437353794,1706012345
262144,256.0,True,560,570413674,482302037,122881159,46298,333847,10258603593,1691544314
266483,260.237,True,517,573262344,487424582,107383000,44042,338995,9226908437,1700286068
294912,288.0,True,575,566915974,486598860,149812935,97144,364865,11317067102,1683413586
326374,318.725,False,586,567065535,492541545,161744587,93149,445700,11949800554,1680261187
361192,352.727,False,638,564397143,492517992,193313684,89356,528864,12967775863,1674012098
399725,390.356,False,575,562838464,495006241,209993175,289070,352603,14179911517,1670849866
442368,432.0,False,670,562673300,498664333,236833585,20846,284556,15050270819,1668473424
