bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
2097152,2048.0,False,2095,568657998,520668593,460514373,111646,671830,24038194298,1677394244
2579655,2519.194,False,2545,571725528,521177875,471877665,845671,2725200,24648091114,1684219650
3173171,3098.8,False,3243,575933761,522425737,480453650,2483451,7431536,25354312228,1693195063
3903240,3811.758,False,4547,580422998,522221170,487270876,10075804,28518626,28018934722,1701606418
4194304,4096.0,True,112606,582524378,523289274,490370989,35335544,46588383,28021415089,1706287527
4801280,4688.75,True,7046,585276650,522237450,493639216,26505106,78946177,32361261766,1711821009
5905936,5767.516,True,485960,592071712,522360035,497849799,63211465,146236750,42412840783,1724773330
7264748,7094.48,True,70657971,600762017,577799168,516895307,117760770,336295314,55832849045,1742320744
8936188,8726.746,True,154711671,612228735,627515321,524404963,167774066,529151691,71658758347,1767242185
10992186,10734.557,True,222436351,626848003,669883910,527154301,261154148,774939230,99810222007,1798169647
13521219,13204.315,True,278208398,645029578,712313856,527883446,299937225,839186742,115539538397,1837801293
16632120,16242.305,True,323454107,667799914,753317608,541025187,323361641,974625002,117942099541,1887631373
16777216,16384.0,True,325135672,668828967,754853056,546277939,329675404,979459696,118401843186,1889772596
20458764,19979.262,False,360871794,695771943,794569404,553711530,363423776,1084718488,130478566945,1948682872
25165824,24576.0,False,391539316,730435025,835139249,574447911,395899654,1189354644,139345982734,2024290782
