conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,143899512,163571,216653,639237141,454161888
2,4096,16384,4,below,145755455,165325,219456,655756474,472168853
3,4096,20480,6,below,135286361,163799,219530,659403389,479421172
4,4096,24576,8,below,149018778,164351,218524,662242317,485298289
5,4096,28672,10,below,151512935,167900,220135,665226298,492699474
6,4096,32768,12,below,154081265,181951,213395,666461473,497337183
7,4096,36864,14,below,155924245,318669,201253,668261382,503612414
8,4096,40960,16,at,157654465,10213496,197195,578000505,429497998
9,4096,45056,18,above,91224853,50427443,198730,735196704,307844694
10,4096,49152,20,above,92792262,52691734,192399,760420887,313758982
11,4096,53248,22,above,86080015,46034216,195189,783212730,319735119
13,4096,61440,26,above,98476798,58387454,197428,830451887,331489417
14,4096,65536,28,above,100675614,60621550,196757,856965542,337676375
16,4096,73728,32,above,104793581,67685848,202380,927243674,349727810
20,4096,90112,40,above,112431006,75329875,195559,1024027612,373880472
24,4096,106496,48,above,120881674,83761013,201042,1119267901,397711202
