conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
1,22528,67584,2,below,2718,597,218495,654467792,465673564
2,22528,90112,4,below,2600,551,218229,655883624,472193631
3,22528,112640,6,below,2418,591,218870,657996373,478343469
4,22528,135168,8,at,2635,659,218968,663015785,485917846
5,22528,157696,10,above,2481,590,218706,663275582,491225054
6,22528,180224,12,above,2664,637,219532,666292473,497226012
7,22528,202752,14,above,2539,691,217695,667134886,502979416
9,22528,247808,18,above,2808,744,218069,672684392,516419402
10,22528,270336,20,above,2680,588,218070,669553577,521515266
12,22528,315392,24,above,2654,686,215933,674399713,534545500
16,22528,405504,32,above,2587,712,201994,775380241,556059172
20,22528,495616,40,above,2584,618,194640,999018481,373708252
