stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,547580038,248992933,6108936512,1675548368,1495640867,1495640867
24,549354796,282392608,6430164785,1680740423,1563695797,1563695797
32,541250777,301600669,6564970467,1656286247,1605264165,1605264165
40,547565983,310565585,6036311973,1675242982,1462759815,1462759815
48,552885971,262801698,5869266591,1691222272,1423311948,1423311948
56,546509584,349982757,6487191991,1672012791,1574097053,1574097053
64,545699089,317523730,6665912694,1669559852,1612785756,1612785756
72,543816225,338717171,7201302572,1663883799,1741503998,1741503998
80,545811145,306069607,6947184338,1669875154,1687420053,1687420053
96,550227076,276246563,6171240040,1683149491,1495858076,1495858076
112,548038705,273713662,6621049368,1676549606,1603316865,1603316865
128,544033598,348245466,7234815506,1664493910,1756917409,1756917409
160,559142352,300090855,5483716973,1709946036,1329492361,1329492361
192,564253242,282263348,4695339279,1726316205,1143205211,1143205211
256,541563962,379338957,7898123417,1657035096,1921599162,1921599162
