bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
16384,16.0,False,341,643529024,244470,33512,28157,220576,2604408263,1920725656
18132,17.707,False,350,645474561,291475,11357,7174,276211,2615149605,1915183464
20066,19.596,False,353,645475014,224058,39784,33102,277694,2621932006,1921119977
22207,21.687,False,329,643793650,334617,51769,45120,244446,2612898368,1921166831
24576,24.0,False,326,645476573,477323,30361,25831,254766,2610172086,1913897984
27198,26.561,False,331,645080899,952439,22653,15828,327769,2638648502,1920316838
30099,29.394,False,360,643080824,2191851,155092,142924,326763,2660614769,1916259130
32768,32.0,True,334,642521188,9225176,92475,85254,216152,2684917983,1915183878
33310,32.529,True,331,640314545,20354457,43819,38377,255408,2779793462,1897513993
36864,36.0,True,345,623279612,86122443,99712,91212,255939,3232519030,1855006495
40797,39.841,False,321,610515030,142343136,78029,63448,412740,3609494363,1817194420
45149,44.091,False,336,605763867,188675613,116508,84572,489351,3968640091,1802141817
49966,48.795,False,365,600163747,228499700,142352,105927,529833,4274030429,1786947730
55296,54.0,False,345,596552795,263569945,269332,135469,402699,4544427343,1768213960
