bytes,kib,in_bracket,DTLB-read-miss,L1D-read-access,L1D-read-miss,LL-read-access,LL-read-miss,cache-misses,cycles,instructions
2621440,2560.0,False,2953,565338508,515850304,471792920,19787429,45815690,26901723705,1668183894
2895672,2827.805,False,4228,572723688,522099334,471265609,21317908,86030087,27686089423,1669814941
3198592,3123.625,False,5450,575237451,522504578,480859767,24504791,70300773,28658594322,1692068191
3533202,3450.393,False,9562,577200514,522161632,483905313,25443523,101787616,31076965090,1678284853
3902814,3811.342,False,14663,580325605,523617778,481636465,30073597,79485341,29702093350,1703300213
4311093,4210.052,False,28285,582496626,523432977,490680269,31197065,102286648,31571332382,1706671267
4762082,4650.471,False,47134,585025603,522670685,493202032,41961919,126872595,32763453259,1714961290
5242880,5120.0,True,111857,587561532,522288357,490123084,65464127,158691643,36481792844,1710297106
5260250,5136.963,True,117054,588458608,523497787,494901177,61181785,189147775,37113173128,1719621158
5767168,5632.0,True,363622,591351951,523306335,497087242,74488827,247415797,41912030653,1724657968
5810532,5674.348,False,702682,591789030,523839270,497873738,84182491,219611367,42040932542,1725803808
6418379,6267.948,False,13081721,591523300,530977897,503336400,93584291,275599430,46251677993,1733683771
7089814,6923.646,False,60453093,599298056,571934588,515316832,127701292,365418715,53532820007,1741634520
7831489,7647.938,False,103483889,602644215,597131711,517008480,153493759,427995036,62265279401,1750966537
8650752,8448.0,False,143152187,609479175,621603268,530964551,185756310,515760973,68466658689,1764129467
