conflict_count,period_bytes,bytes,batch,relation_to_ways_candidate,L1D-read-access,L1D-read-miss,cache-misses,cycles,instructions
1,4096,12288,2,below,129482278,287016,18871,632731162,401406058
2,4096,16384,4,below,131622835,287936,18752,632790687,406713220
3,4096,20480,6,below,132936034,288276,18975,635423857,413977540
4,4096,24576,8,below,134986019,288880,19132,635921368,419594155
5,4096,28672,10,below,137312364,289469,19214,634902374,424802689
6,4096,32768,12,below,139088933,302001,18981,637220513,431745189
7,4096,36864,14,below,141362650,388726,19156,638518315,437671531
8,4096,40960,16,at,142886123,10452436,18517,748336707,442074434
9,4096,45056,18,above,76486640,29381286,19671,833398369,243182280
10,4096,49152,20,above,90586502,45385706,19278,836891290,285637996
11,4096,53248,22,above,92565921,47360025,18525,826590504,291589155
13,4096,61440,26,above,96620768,51458698,18850,886918369,303194887
14,4096,65536,28,above,98679897,54478753,19234,925587659,309443533
16,4096,73728,32,above,103648867,63071560,19065,951977136,324727712
20,4096,90112,40,above,110647551,66471373,19729,1070912245,345696872
24,4096,106496,48,above,118661240,74452113,19336,1172831234,369218178
