stride_bytes,L1D-read-access,L1D-read-miss,cycles,instructions,time_enabled_ns,time_running_ns
16,558030358,316372681,4607276922,1696116383,1413114490,1413114490
24,556820055,303439701,4713289567,1692634960,1445951798,1445951798
32,558694911,324631246,4517806342,1698029697,1392353002,1392353002
40,556193927,410205439,4754266393,1690657487,1462491961,1462491961
48,558550957,304330283,4541691018,1697763104,1391083671,1391083671
56,556021912,410522526,4792251897,1689955980,1467044889,1467044889
64,557978216,405328686,4601113810,1695939454,1411558653,1411558653
72,555156263,441002800,4860022182,1687625533,1488872366,1488872366
80,556831160,300565766,4631862530,1692574855,1421664138,1421664138
96,558674837,313715643,4620816509,1698115930,1417359748,1417359748
112,556993629,276601778,4649550308,1693103272,1427966818,1427966818
128,557371704,376056821,4602403698,1694020745,1408633926,1408633926
160,557365597,277259101,4651656899,1694159221,1424782747,1424782747
192,560132457,322616295,4487707981,1702473388,1373034469,1373034469
256,557529814,408116965,4615703365,1694653080,1412240170,1412240170
